Location,Year,Fuel_Type,Transmission,Owner_Type,Consumation,Engine,Seats,Price,Brand,Model
Mumbai,2018,Diesel,Automatic,First,17.9,2143,5,48.5,Mercedes-Benz,GLC 220d 4MATIC Style
Mumbai,2016,Diesel,Automatic,First,21.5,1498,5,9.45,Volkswagen,Vento 1.5 TDI Highline AT
Ahmedabad,2015,Diesel,Manual,First,16.0,2179,7,12.5,Mahindra,XUV500 W10 2WD
Hyderabad,2014,Diesel,Manual,First,20.45,1461,5,6.9,Nissan,Terrano XL 85 PS
Jaipur,2012,Diesel,Manual,Second,22.32,1582,5,5.8,Hyundai,Verna 1.6 SX CRDi (O)
Coimbatore,2016,Diesel,Automatic,First,14.69,2993,5,44.56,BMW,5 Series 2013-2017 530d M Sport
Bangalore,2015,Diesel,Manual,Second,15.4,2179,7,8.5,Mahindra,Scorpio S4 Plus
Coimbatore,2017,Diesel,Manual,First,23.9,1582,5,10.7,Hyundai,Verna 1.6 CRDi SX
Pune,2009,Diesel,Automatic,Second,12.07,2967,7,12.0,Audi,Q7 3.0 TDI Quattro Premium Plus
Coimbatore,2010,Petrol,Manual,First,14.7,1150,5,2.44,Chevrolet,Aveo U-VA 1.2 LT
Kolkata,2000,Diesel,Manual,First,13.6,2523,7,1.95,Mahindra,Bolero ZLX BSIII
Mumbai,2014,Petrol,Manual,First,19.1,1197,5,4.35,Hyundai,Xcent 1.2 Kappa S
Hyderabad,2017,Diesel,Manual,First,13.68,2393,8,17.5,Toyota,Innova Crysta 2.4 GX MT 8S
Hyderabad,2015,Petrol,Manual,First,21.1,814,5,2.9,Hyundai,EON Era Plus
Delhi,2013,Diesel,Manual,First,22.07,1199,5,2.9,Volkswagen,Polo Diesel Comfortline 1.2L
Pune,2016,Diesel,Manual,First,24.3,1248,5,8.9,Maruti,Vitara Brezza ZDi
Mumbai,2013,Diesel,Automatic,First,18.88,1995,5,16.75,BMW,3 Series 320d Prestige
Coimbatore,2016,Petrol,Manual,First,21.1,814,5,3.95,Hyundai,EON Sportz
Mumbai,2009,Petrol,Manual,First,17.0,1497,5,2.1,Honda,City 1.5 S MT
Kochi,2011,Petrol,Manual,Second,12.8,2354,5,4.29,Honda,Accord 2.4 MT
Hyderabad,2009,Diesel,Manual,First,14.0,2498,8,3.85,Mahindra,Xylo E8
Chennai,2009,Diesel,Automatic,Second,13.2,1995,5,9.0,BMW,3 Series 320d
Pune,2013,Petrol,Manual,Second,16.8,1497,5,4.5,Honda,City V MT
Kochi,2016,Diesel,Manual,First,16.0,2179,7,12.46,Mahindra,XUV500 W10 2WD
Delhi,2014,Diesel,Manual,First,21.27,1396,5,4.65,Hyundai,i20 Asta 1.4 CRDi
Hyderabad,2014,Diesel,Manual,First,13.0,2982,7,20.5,Toyota,Fortuner 4x2 Manual
Chennai,2006,Diesel,Manual,First,13.6,2523,8,2.9,Mahindra,Bolero DI BSII
Chennai,2007,Petrol,Manual,First,15.9,1298,5,1.45,Maruti,Esteem Vxi - BSIII
Chennai,2002,Petrol,Manual,Third,0.0,1086,5,0.65,Hyundai,Santro LS zipPlus
Mumbai,2016,Diesel,Automatic,First,20.7,1496,5,29.5,Mini,Cooper 5 DOOR D
Hyderabad,2015,Diesel,Automatic,First,15.73,1968,5,25.0,Audi,Q3 35 TDI Quattro Premium
Delhi,2013,Petrol,Manual,Second,17.0,1197,5,3.5,Hyundai,i20 Sportz Option
Jaipur,2017,Diesel,Manual,First,14.1,2179,7,11.25,Tata,Safari Storme VX Varicor 400
Kochi,2017,Diesel,Manual,First,21.9,1498,7,10.79,Honda,BR-V i-DTEC VX MT
Kolkata,2013,Diesel,Manual,First,19.33,1968,5,5.9,Volkswagen,Jetta 2013-2015 2.0L TDI Highline
Jaipur,2017,Petrol,Manual,First,19.1,1197,5,5.12,Hyundai,Xcent 1.2 Kappa S Option
Mumbai,2017,Petrol,Manual,First,20.89,1197,5,5.7,Maruti,Ignis 1.2 Alpha
Coimbatore,2016,Diesel,Automatic,First,18.12,1995,5,35.84,BMW,5 Series 2013-2017 520d Luxury Line
Hyderabad,2007,Petrol,Manual,First,13.8,1299,5,1.25,Ford,Ikon 1.3 CLXi
Kolkata,2013,Petrol,Manual,First,20.36,1197,5,2.65,Hyundai,i10 Sportz
Coimbatore,2016,Diesel,Manual,First,22.32,1582,5,9.19,Hyundai,Verna 1.6 CRDI
Bangalore,2014,Diesel,Automatic,First,16.07,1995,5,23.5,BMW,3 Series 320d Highline
Delhi,2011,Petrol,Automatic,First,12.3,1796,5,12.5,Mercedes-Benz,E-Class 2009-2013 E200 CGI Blue Efficiency
Kolkata,2010,Petrol,Manual,Second,18.6,1199,5,1.5,Chevrolet,Beat Option Pack
Jaipur,2004,Petrol,Manual,First,0.0,1086,5,0.8,Hyundai,Santro Xing XP
Jaipur,2009,Diesel,Manual,Second,13.5,1405,5,0.75,Tata,Indica DLS
Delhi,2012,Diesel,Manual,First,15.1,2179,7,8.1,Mahindra,XUV500 W8 2WD
Jaipur,2017,Diesel,Manual,First,28.09,1248,5,9.75,Maruti,Ciaz ZDi Plus SHVS
Coimbatore,2017,Diesel,Automatic,First,19.71,2143,5,37.93,Mercedes-Benz,New C-Class C 250 CDI Avantgarde
Chennai,2005,Petrol,Automatic,Third,16.4,1497,5,1.96,Honda,City ZX CVT
Jaipur,2015,Diesel,Automatic,First,11.5,2982,7,20.5,Toyota,Fortuner 4x2 4 Speed AT
Bangalore,2011,Petrol,Manual,First,24.07,998,5,2.75,Maruti,Alto K10 VXI
Mumbai,2017,Petrol,Automatic,First,9.43,1999,5,75.0,Jaguar,XJ 2.0L Portfolio
Chennai,2009,Diesel,Manual,First,21.9,1396,5,2.8,Hyundai,i20 1.4 Magna ABS
Mumbai,2017,Petrol,Automatic,First,16.0,1497,7,9.25,Honda,BRV i-VTEC V CVT
Chennai,2007,Petrol,Manual,First,13.4,1794,5,3.0,Toyota,Corolla Executive (HE)
Coimbatore,2014,Diesel,Automatic,First,17.68,1968,5,23.89,Audi,A6 2011-2015 2.0 TDI Premium Plus
Mumbai,2014,Diesel,Manual,First,12.99,2494,7,12.75,Toyota,Innova 2.5 ZX Diesel 7 Seater BSIII
Jaipur,2014,Diesel,Manual,First,24.0,1120,5,4.15,Hyundai,Grand i10 CRDi Sportz
Mumbai,2013,Petrol,Automatic,First,14.8,1598,5,4.65,Volkswagen,Vento IPL II Petrol Highline AT
Delhi,2012,Diesel,Manual,First,12.8,2494,7,8.9,Toyota,Innova 2.5 VX (Diesel) 7 Seater BS IV
Jaipur,2008,Diesel,Manual,Second,16.8,1493,5,1.5,Hyundai,Verna CRDi SX
Pune,2015,Diesel,Manual,Second,23.2,1248,5,3.27,Maruti,Ritz VDi
Pune,2008,Diesel,Automatic,Second,12.07,2967,7,18.0,Audi,Q7 3.0 TDI Quattro Technology
Pune,2016,Petrol,Manual,First,18.6,1197,5,6.3,Hyundai,i20 Asta Option 1.2
Coimbatore,2017,Diesel,Manual,First,24.3,1248,5,11.31,Maruti,Vitara Brezza ZDi Plus Dual Tone
Pune,2014,Petrol,Manual,First,17.4,1497,5,6.16,Honda,City i VTEC S
Pune,2014,Petrol,Manual,First,20.73,1373,5,6.0,Maruti,Ciaz ZXi
Kochi,2013,Petrol,Automatic,First,17.5,1498,5,5.43,Nissan,Sunny XV CVT
Hyderabad,2012,Diesel,Manual,First,22.07,1199,5,4.65,Volkswagen,Polo Diesel Highline 1.2L
Hyderabad,2015,Diesel,Manual,First,20.77,1248,7,7.5,Maruti,Ertiga ZDI
Jaipur,2015,Diesel,Manual,First,26.59,1248,5,6.25,Maruti,Swift Dzire VDI
Bangalore,2007,Diesel,Automatic,First,14.84,2143,5,9.25,Mercedes-Benz,New C-Class C 220 CDI Elegance AT
Mumbai,2013,Petrol,Manual,First,19.4,1198,5,3.15,Honda,Brio S MT
Hyderabad,2008,Petrol,Manual,First,16.0,1086,5,2.3,Hyundai,i10 Magna Optional 1.1L
Jaipur,2012,Diesel,Manual,First,22.32,1582,5,5.25,Hyundai,Verna 1.6 SX CRDi (O)
Kochi,2017,Diesel,Manual,First,28.09,1248,5,7.4,Maruti,Ciaz VDI SHVS
Pune,2006,Petrol,Manual,Second,13.8,1299,5,1.55,Ford,Ikon 1.3 Flair
Pune,2017,Petrol,Manual,Second,16.2,1199,5,6.0,Volkswagen,Polo 1.2 MPI Highline
Chennai,2016,Petrol,Manual,First,18.7,1199,5,5.9,Honda,Jazz 1.2 V i VTEC
Bangalore,2013,Diesel,Manual,Second,25.8,1498,5,4.7,Honda,Amaze EX i-Dtech
Hyderabad,2015,Diesel,Manual,First,22.54,1396,5,6.5,Hyundai,i20 Asta 1.4 CRDi
Hyderabad,2012,Diesel,Manual,First,21.1,1248,5,3.55,Maruti,Ritz VDi
Chennai,2014,Petrol,Manual,First,16.8,1497,5,7.1,Honda,City V MT
Hyderabad,2010,Petrol,Manual,First,13.14,1798,5,6.0,Skoda,Superb 1.8 TSI MT
Pune,2017,Diesel,Manual,First,24.3,1248,5,7.99,Maruti,Vitara Brezza LDi Option
Bangalore,2009,Petrol,Manual,Second,17.0,1197,5,4.1,Hyundai,i20 Asta
Hyderabad,2017,Petrol,Automatic,First,24.07,998,5,3.95,Maruti,Alto K10 VXI AGS
Kochi,2016,Petrol,Manual,First,21.1,814,5,4.38,Hyundai,EON Era Plus
Mumbai,2011,Petrol,Manual,First,20.36,1197,5,2.75,Hyundai,i10 Sportz
Coimbatore,2016,Petrol,Automatic,First,18.1,3498,2,55.54,Mercedes-Benz,SLK-Class SLK 350
Hyderabad,2014,Diesel,Automatic,First,18.53,1968,5,29.0,Audi,A6 2.0 TDI Design Edition
Bangalore,2013,Diesel,Manual,First,22.77,1498,5,6.6,Ford,EcoSport 1.5 TDCi Titanium
Kolkata,2012,Diesel,Automatic,First,14.3,1968,5,6.99,Volkswagen,Passat Highline DSG
Bangalore,2017,Diesel,Manual,First,13.68,2393,7,18.75,Toyota,Innova Crysta 2.4 ZX MT
Jaipur,2010,Diesel,Manual,Third,20.0,1399,5,1.28,Ford,Figo Diesel ZXI
Pune,2006,Petrol,Manual,Third,14.49,1399,5,1.2,Chevrolet,Aveo 1.4
Coimbatore,2013,Petrol,Manual,First,18.5,1197,5,4.31,Maruti,Ritz LXi
Chennai,2011,Diesel,Automatic,First,12.39,2179,5,16.5,Land,Rover Freelander 2 SE
Coimbatore,2017,Petrol,Manual,First,18.9,1197,5,5.64,Hyundai,Grand i10 Asta
Coimbatore,2017,Diesel,Automatic,First,10.91,3198,7,31.12,Ford,Endeavour 3.2 Trend AT 4X4
Kochi,2013,Diesel,Automatic,First,12.8,1968,5,25.46,Audi,Q5 2008-2012 2.0 TDI
Kochi,2017,Petrol,Manual,First,17.01,1591,5,7.88,Hyundai,Verna 1.6 VTVT
Chennai,2017,Diesel,Automatic,First,13.0,2143,5,36.0,Mercedes-Benz,E-Class 2015-2017 E250 CDI Avantgarde
Pune,2014,Diesel,Automatic,First,0.0,2987,5,30.0,Mercedes-Benz,M-Class ML 350 4Matic
Pune,2008,Petrol,Manual,Second,17.5,1298,5,2.85,Maruti,Swift Dzire ZXi
Delhi,2011,Petrol,Manual,First,13.0,1343,5,3.5,Honda,City 1.3 EXI S
Jaipur,2014,Diesel,Manual,First,20.46,1461,5,7.5,Renault,Duster 85PS Diesel RxL Optional
Hyderabad,2012,Diesel,Automatic,First,14.84,2143,5,19.0,Mercedes-Benz,New C-Class 220 CDI AT
Hyderabad,2015,Diesel,Automatic,First,15.97,2993,5,54.0,BMW,X5 xDrive 30d Design Pure Experience 5 Seater
Kochi,2015,Petrol,Manual,First,19.1,1197,5,4.7,Hyundai,Xcent 1.2 Kappa SX Option
Hyderabad,2017,Petrol,Automatic,First,22.0,1197,5,8.5,Maruti,Dzire AMT ZXI Plus
Kolkata,2013,Diesel,Automatic,First,16.07,1995,4,17.0,BMW,3 Series 320d Corporate Edition
Kochi,2017,Petrol,Manual,First,22.74,796,5,3.51,Maruti,Alto 800 LXI
Bangalore,2013,Diesel,Automatic,Second,17.11,1968,5,19.5,Audi,A4 2.0 TDI 177 Bhp Premium Plus
Pune,2012,Petrol,Automatic,Second,13.6,1598,4,17.0,Mini,Cooper S
Coimbatore,2015,Diesel,Automatic,Second,12.07,2967,7,43.35,Audi,Q7 3.0 TDI Quattro Premium Plus
Bangalore,2012,Diesel,Manual,First,25.44,936,5,2.65,Chevrolet,Beat Diesel LT
Kochi,2015,Petrol,Manual,First,20.51,998,5,3.52,Maruti,Wagon R LXI BS IV
Kolkata,2016,Diesel,Manual,First,19.01,1461,5,6.25,Nissan,Terrano XV Premium 110 PS
Ahmedabad,2015,Diesel,Automatic,First,18.88,1995,5,24.75,BMW,3 Series 320d Luxury Plus
Mumbai,2015,Petrol,Manual,First,20.85,1197,5,5.25,Maruti,Swift Dzire VXI
Jaipur,2016,Diesel,Manual,First,17.72,1968,5,11.0,Skoda,Yeti Elegance 4X2
Kochi,2018,Petrol,Automatic,First,15.63,1499,5,9.1,Ford,EcoSport 1.5 Ti VCT AT Titanium
Chennai,2010,Petrol,Manual,First,18.5,1197,5,3.25,Hyundai,i20 1.2 Magna
Pune,2017,Diesel,Manual,First,15.0,1248,5,8.5,Maruti,S Cross DDiS 200 Sigma Option
Pune,2010,Petrol,Manual,First,16.2,1599,5,3.1,Hyundai,Verna Transform VTVT
Kochi,2015,Diesel,Automatic,First,18.88,1995,5,19.86,BMW,3 Series 320d Luxury Line
Kolkata,2017,Diesel,Manual,First,24.0,1186,5,4.9,Hyundai,Grand i10 1.2 CRDi Magna
Delhi,2014,Petrol,Manual,Second,17.4,1497,5,5.7,Honda,City i-VTEC V
Kolkata,2012,Diesel,Manual,First,25.2,1248,5,2.9,Maruti,Swift VDI BSIV
Coimbatore,2018,Diesel,Manual,First,27.39,1248,5,7.83,Maruti,Baleno Zeta 1.3
Kochi,2015,Diesel,Manual,First,14.0,2179,7,8.15,Tata,Safari Storme 2012-2015 LX
Bangalore,2008,Petrol,Manual,Second,13.2,1495,5,2.0,Hyundai,Accent GLS
Hyderabad,2016,Diesel,Manual,First,25.2,1248,5,6.25,Maruti,Swift LDI SP Limited Edition
Bangalore,2007,Diesel,Manual,Second,17.8,1248,5,3.4,Maruti,Swift VDI BSIV
Coimbatore,2016,Petrol,Automatic,First,21.9,624,4,3.19,Tata,Nano XTA
Ahmedabad,2017,Diesel,Manual,First,25.47,1248,7,7.75,Maruti,Ertiga VDI
Delhi,2014,Petrol,Automatic,Second,23.1,998,5,3.2,Maruti,Celerio VXI AMT
Delhi,2015,Diesel,Manual,First,25.2,1248,5,4.9,Maruti,Swift VDI BSIV
Kochi,2012,Petrol,Manual,First,15.04,1598,5,3.8,Volkswagen,Vento Petrol Highline
Chennai,2009,Diesel,Automatic,First,15.5,1896,5,4.0,Volkswagen,Jetta 2007-2011 1.9 Highline TDI
Hyderabad,2014,Diesel,Automatic,Second,20.7,1496,5,23.5,Mini,Cooper 5 DOOR D
Chennai,2008,Diesel,Manual,First,17.2,1396,5,1.15,Tata,Indica V2 DLS
Hyderabad,2007,Petrol,Manual,First,17.0,1086,5,2.2,Hyundai,Santro Xing XO
Bangalore,2015,Petrol,Automatic,First,18.0,1497,5,10.65,Honda,City i-VTEC CVT VX
Coimbatore,2016,Diesel,Automatic,First,16.36,2179,5,35.68,Jaguar,XF 2.2 Litre Luxury
Kochi,2017,Diesel,Automatic,First,15.0,2143,5,31.94,Mercedes-Benz,E-Class 2015-2017 E250 Edition E
Chennai,2011,Diesel,Manual,Third,18.3,1991,5,4.2,Chevrolet,Cruze LTZ
Ahmedabad,2015,Diesel,Manual,First,15.1,2179,7,9.9,Mahindra,XUV500 W8 2WD
Kochi,2014,Petrol,Automatic,First,11.74,1796,5,15.46,Mercedes-Benz,New C-Class C 200 CGI Avantgarde
Kochi,2018,Petrol,Manual,First,18.2,1199,5,8.46,Honda,Jazz VX
Kolkata,2013,Petrol,Manual,First,16.78,1496,5,3.25,Toyota,Etios G
Hyderabad,2012,Petrol,Manual,First,19.7,796,5,2.6,Maruti,Alto LXi BSIII
Coimbatore,2016,Petrol,Manual,First,20.4,1197,5,5.2,Maruti,Swift VXI BSIV
Pune,2009,Petrol,Manual,Third,19.0,998,5,1.8,Maruti,A-Star Vxi
Chennai,2011,Petrol,Manual,First,25.4,624,4,1.6,Tata,Nano Lx BSIV
Kolkata,2015,Diesel,Manual,First,25.5,1498,5,2.5,Ford,Figo Titanium Diesel
Jaipur,2011,Petrol,Manual,First,16.0,1368,5,2.5,Fiat,Linea Emotion
Coimbatore,2017,Petrol,Manual,First,18.16,1196,5,6.7,Ford,Figo Aspire 1.2 Ti-VCT Trend
Hyderabad,2005,Petrol,Manual,First,15.4,1590,5,1.2,Maruti,Baleno LXI
Coimbatore,2016,Diesel,Automatic,First,18.88,1995,5,35.55,BMW,3 Series 320d Luxury Line
Jaipur,2017,Diesel,Manual,First,17.9,1998,5,7.75,Chevrolet,Cruze LTZ
Chennai,2005,Diesel,Manual,First,12.7,2609,8,1.94,Mahindra,Scorpio 2.6 DX
Hyderabad,2016,Diesel,Manual,First,25.0,1396,5,2.2,Tata,Indica V2 eLS
Ahmedabad,2011,Diesel,Automatic,First,18.1,1991,4,3.8,Chevrolet,Cruze LTZ AT
Chennai,2016,Diesel,Manual,First,12.8,2494,8,15.65,Toyota,Innova 2.5 V Diesel 8-seater
Coimbatore,2018,Diesel,Automatic,First,19.27,2143,5,39.47,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C
Kolkata,2011,Petrol,Manual,Second,18.5,1197,5,1.5,Maruti,Ritz VXi
Ahmedabad,2013,Diesel,Manual,First,12.8,2494,8,8.85,Toyota,Innova 2.5 GX (Diesel) 8 Seater BS IV
Bangalore,2013,Diesel,Manual,Second,12.55,2982,7,17.9,Toyota,Fortuner 4x4 MT
Coimbatore,2014,Petrol,Automatic,Second,16.95,1197,5,5.08,Hyundai,i10 Sportz AT
Bangalore,2012,Diesel,Manual,First,22.32,1582,5,6.25,Hyundai,Verna 1.6 SX
Bangalore,2015,Diesel,Automatic,First,15.73,1968,5,22.75,Audi,Q3 2012-2015 35 TDI Quattro Premium Plus
Kolkata,2010,Petrol,Manual,First,18.6,1199,5,1.46,Chevrolet,Beat LS
Pune,2007,Diesel,Manual,Second,17.8,1399,5,2.05,Ford,Fiesta 1.4 Duratorq ZXI
Coimbatore,2014,Diesel,Manual,First,20.0,1399,5,4.08,Ford,Figo Diesel EXI
Hyderabad,2014,Petrol,Automatic,First,23.1,998,5,4.55,Maruti,Celerio VXI AT
Mumbai,2013,Diesel,Automatic,First,20.0,2143,5,14.0,Mercedes-Benz,A Class A180 CDI
Ahmedabad,2016,Petrol,Manual,First,15.8,1591,5,10.9,Hyundai,Creta 1.6 SX
Bangalore,2010,Petrol,Manual,First,18.9,998,5,2.45,Maruti,Wagon R VXI BS IV
Delhi,2013,Diesel,Automatic,First,10.0,2148,5,15.8,Mercedes-Benz,E-Class 2009-2013 E 220 CDI Avantgarde
Mumbai,2017,Petrol,Manual,First,18.88,1499,5,8.25,Ford,EcoSport 1.5 Ti VCT MT Titanium BE
Delhi,2013,Diesel,Automatic,Second,13.73,1995,5,8.5,Renault,Koleos 2.0 Diesel
Coimbatore,2016,Diesel,Manual,First,16.0,2179,7,15.54,Mahindra,XUV500 W10 2WD
Hyderabad,2013,Petrol,Manual,First,16.8,796,8,2.35,Maruti,Omni E 8 Str STD
Coimbatore,2015,Petrol,Manual,First,22.5,998,5,4.32,Maruti,Wagon R VXI
Jaipur,2008,Diesel,Manual,Second,13.1,2499,7,3.9,Ford,Endeavour XLT TDCi 4X2
Hyderabad,2011,Diesel,Manual,Second,22.32,1582,5,5.2,Hyundai,Verna 1.6 SX
Mumbai,2018,Petrol,Manual,First,18.6,1197,5,5.85,Hyundai,i20 Magna 1.2
Bangalore,2013,Petrol,Manual,Second,16.02,1373,7,6.25,Maruti,Ertiga ZXI
Coimbatore,2019,Diesel,Automatic,First,14.0,2179,7,17.63,Mahindra,XUV500 W9 AT
Mumbai,2017,Diesel,Manual,First,23.65,1248,5,9.75,Maruti,SX4 S Cross DDiS 200 Zeta
Bangalore,2015,Petrol,Automatic,First,18.1,3498,2,55.0,Mercedes-Benz,SLK-Class SLK 350
Hyderabad,2011,Diesel,Manual,First,22.07,1199,5,4.1,Volkswagen,Polo Diesel Comfortline 1.2L
Hyderabad,2011,Diesel,Manual,First,12.55,2982,7,11.99,Toyota,Fortuner 4x4 MT
Kochi,2017,Diesel,Manual,First,16.0,2179,7,13.54,Mahindra,XUV500 W10 2WD
Mumbai,2016,Diesel,Automatic,First,17.9,2143,5,56.0,Mercedes-Benz,GLE 250d
Chennai,2016,Petrol,Manual,First,18.7,1199,5,6.5,Honda,Jazz 1.2 VX i VTEC
Pune,2013,Diesel,Manual,First,23.4,1248,5,4.75,Maruti,Swift Dzire VDI
Hyderabad,2014,Petrol,Manual,First,17.01,1591,5,5.6,Hyundai,Verna 1.6 SX VTVT
Coimbatore,2017,Diesel,Automatic,First,10.91,3198,7,29.2,Ford,Endeavour 3.2 Titanium AT 4X4
Kolkata,2018,Petrol,Manual,First,18.6,1197,5,6.35,Hyundai,i20 1.2 Asta Option
Mumbai,2013,Petrol,Manual,First,16.8,1497,5,4.95,Honda,City 1.5 V MT Sunroof
Hyderabad,2018,Diesel,Manual,First,27.4,1498,5,8.5,Honda,Amaze VX Diesel
Kolkata,2013,Petrol,Manual,First,17.1,1591,5,4.5,Hyundai,Verna 1.6 SX VTVT (O)
Chennai,2015,Diesel,Manual,First,24.2,1498,7,5.5,Honda,Mobilio S i DTEC
Kochi,2013,Diesel,Manual,First,20.77,1248,7,6.56,Maruti,Ertiga ZDI
Pune,2014,Petrol,Manual,First,24.07,998,5,2.3,Maruti,Alto K10 LXI
Kochi,2016,Petrol,Manual,First,20.36,1197,5,4.55,Hyundai,i10 Sportz
Bangalore,2009,Diesel,Automatic,Second,17.0,1896,5,7.75,Skoda,Laura 1.9 TDI AT Ambiente
Mumbai,2015,Petrol,Manual,Second,18.6,1197,5,5.25,Hyundai,i20 Asta Option 1.2
Coimbatore,2013,Diesel,Automatic,First,11.5,2993,5,23.29,BMW,5 Series 2003-2012 530d Highline
Mumbai,2016,Diesel,Automatic,First,22.69,1995,5,23.99,BMW,3 Series 320d M Sport
Pune,2010,Petrol,Manual,First,14.49,1399,5,1.79,Chevrolet,Aveo 1.4 LT ABS BSIV
Mumbai,2011,Diesel,Automatic,Second,14.21,2143,5,13.9,Mercedes-Benz,E-Class 2009-2013 E250 CDI Elegance
Kolkata,2013,Diesel,Automatic,First,17.68,1968,5,18.95,Audi,A6 2011-2015 2.0 TDI Premium Plus
Kolkata,2014,Petrol,Manual,First,20.51,998,5,2.49,Maruti,Wagon R LXI BS IV
Jaipur,2016,Petrol,Manual,First,25.17,799,5,3.15,Renault,KWID RXT
Mumbai,2017,Diesel,Manual,First,21.66,1498,5,6.45,Volkswagen,Ameo 1.5 TDI Highline
Ahmedabad,2013,Diesel,Manual,First,22.07,1199,5,4.25,Volkswagen,Polo Diesel Comfortline 1.2L
Hyderabad,2014,Petrol,Manual,First,22.74,796,5,2.75,Maruti,Alto 800 LXI
Kochi,2017,Petrol,Manual,First,18.6,1197,5,7.14,Hyundai,i20 Asta Option 1.2
Mumbai,2012,Petrol,Manual,First,18.3,1197,5,2.44,Toyota,Etios Liva G
Jaipur,2012,Petrol,Manual,Third,17.0,1197,5,3.5,Hyundai,i20 1.2 Sportz
Chennai,2017,Diesel,Manual,First,22.54,1396,5,7.3,Hyundai,i20 1.4 Asta
Kolkata,2014,Petrol,Manual,First,20.51,998,5,2.75,Maruti,Wagon R LXI Optional
Bangalore,2017,Diesel,Manual,Second,22.54,1396,5,8.2,Hyundai,i20 1.4 Asta Option
Mumbai,2015,Petrol,Automatic,First,17.21,1197,5,6.51,Volkswagen,Polo GT TSI
Pune,2015,Diesel,Manual,First,20.0,1399,5,4.25,Ford,Figo Diesel Titanium
Coimbatore,2014,Petrol,Manual,Second,18.6,1197,5,6.21,Maruti,Swift ZXI
Kochi,2016,Diesel,Manual,First,24.0,1120,5,4.58,Hyundai,Grand i10 CRDi Magna
Chennai,2016,Diesel,Manual,First,14.02,2179,7,7.5,Mahindra,Xylo H4
Delhi,2012,CNG,Manual,First,26.83,796,5,2.1,Maruti,Alto Green LXi (CNG)
Coimbatore,2014,Petrol,Manual,First,19.81,1086,5,4.09,Hyundai,i10 Magna 1.1
Mumbai,2014,Diesel,Automatic,First,19.3,1968,5,10.75,Skoda,Octavia Elegance 2.0 TDI AT
Mumbai,2014,Diesel,Automatic,First,15.97,2993,7,41.5,BMW,X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater
Hyderabad,2014,Petrol,Automatic,First,23.1,998,5,4.4,Maruti,Celerio VXI AT
Jaipur,2013,Diesel,Manual,Second,20.54,1598,5,6.25,Volkswagen,Vento Diesel Comfortline
Pune,2011,Diesel,Automatic,Second,16.07,1995,5,10.5,BMW,3 Series 320d Highline
Mumbai,2014,Diesel,Manual,First,20.77,1248,7,7.25,Maruti,Ertiga ZDI
Hyderabad,2013,Diesel,Manual,First,20.0,1399,5,3.2,Ford,Figo Diesel ZXI
Mumbai,2014,Petrol,Manual,First,16.47,1198,5,3.95,Volkswagen,Polo 1.2 MPI Highline
Coimbatore,2009,Diesel,Automatic,Second,16.77,2967,5,12.07,Audi,A6 3.0 TDI quattro
Pune,2017,Diesel,Manual,First,13.68,2393,7,18.6,Toyota,Innova Crysta 2.4 ZX MT
Delhi,2013,Diesel,Automatic,First,22.32,1582,5,5.7,Hyundai,Verna 1.6 CRDi EX AT
Kolkata,2013,Petrol,Manual,First,17.92,1086,5,1.75,Hyundai,Santro Xing GL Plus
Delhi,2011,Diesel,Automatic,Second,16.55,1968,5,10.99,Audi,A4 2.0 TDI
Kolkata,2012,Diesel,Automatic,First,16.55,1968,5,14.5,Audi,A4 2.0 TDI
Jaipur,2009,Diesel,Manual,First,17.0,1896,5,3.11,Skoda,Laura 1.9 TDI MT Ambiente
Coimbatore,2015,Petrol,Automatic,First,13.7,1997,5,13.96,Honda,CR-V 2.0L 2WD AT
Coimbatore,2015,Diesel,Manual,First,22.32,1582,5,7.11,Hyundai,Verna 1.6 SX CRDi (O)
Chennai,2014,Diesel,Manual,First,24.5,1498,7,6.9,Honda,Mobilio RS i DTEC
Coimbatore,2018,Petrol,Manual,First,18.6,1197,5,7.77,Hyundai,i20 1.2 Asta Option
Kolkata,2011,Diesel,Manual,Second,12.8,2494,8,5.5,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV
Hyderabad,2014,Petrol,Manual,First,18.6,1197,5,5.35,Hyundai,i20 Magna 1.2
Chennai,2011,Diesel,Manual,Second,13.6,2523,7,4.5,Mahindra,Bolero VLX BS IV
Jaipur,2014,Diesel,Manual,First,20.34,1498,5,4.75,Volkswagen,Vento 1.5 TDI Comfortline
Coimbatore,2015,Diesel,Automatic,First,16.36,2179,5,32.8,Jaguar,XF 2.2 Litre Luxury
Mumbai,2005,Petrol,Manual,First,17.3,993,5,0.7,Maruti,Zen LXi - BS III
Coimbatore,2018,Diesel,Automatic,First,13.0,2987,5,50.29,Mercedes-Benz,E-Class Facelift
Mumbai,2010,Diesel,Manual,Second,11.5,2982,7,10.99,Toyota,Fortuner 3.0 Diesel
Coimbatore,2015,Petrol,Automatic,First,18.9,1197,5,5.57,Hyundai,Grand i10 AT Asta
Jaipur,2018,Diesel,Manual,First,25.4,1186,5,5.9,Hyundai,Xcent 1.2 CRDi S
Coimbatore,2016,Petrol,Manual,First,15.29,1591,5,9.43,Hyundai,Creta 1.6 VTVT S
