Location,Fuel_Type,Transmission,Owner_Type,Consumation,Seats,Price,Brand,Model,KM_bin_encoded,Engine-bins,Power_bins,Power_to_Engine_Ratio,Performance_Index,Economy_Index
Ahmedabad,Diesel,Manual,First,12.99,8,8.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,2,4,1,0.04009623093821322,249.4,3.7178019461934744
Chennai,Petrol,Manual,First,25.17,5,2.6,Renault,KWID RXT,0,0,0,0.06670838539836246,42.5867,13.991106170094499
Hyderabad,Petrol,Manual,First,19.0,5,2.45,Maruti,A-Star Vxi,1,0,0,0.06623246486349452,65.96779999999998,9.50950950950951
Kochi,Petrol,Automatic,First,14.8,5,11.57,Mercedes-Benz,B Class B180,0,2,1,0.07567398114377806,192.5165,5.703275529865126
Kolkata,Petrol,Manual,First,18.9,5,2.3,Maruti,Wagon R LXI BS IV,0,0,0,0.06723446887050653,66.96579999999999,9.45945945945946
Jaipur,Diesel,Manual,First,25.2,5,5.9,Maruti,Swift VDI BSIV,0,1,0,0.059294871747359874,92.352,11.209964412811386
Mumbai,Petrol,Automatic,First,17.0,5,7.2,Hyundai,Verna VTVT 1.6 AT SX Option,0,2,1,0.07624135758878607,192.98829999999998,6.561173292165186
Ahmedabad,Diesel,Automatic,First,22.0,5,5.9,Hyundai,Verna CRDi 1.6 AT SX Option,1,2,1,0.07977243989900604,199.64839999999998,8.520526723470178
Chennai,Petrol,Manual,Second,16.8,5,6.0,Honda,City V MT,0,2,1,0.07768871070294675,174.1011,6.728073688426112
Kolkata,Petrol,Manual,First,16.0,5,1.95,Hyundai,i10 Magna Optional 1.1L,0,1,0,0.061418047825581905,72.4362,7.670182166826461
Coimbatore,Diesel,Manual,First,23.59,5,6.55,Toyota,Etios GD SP,1,1,0,0.04914956008126865,91.44256000000001,9.978849407783418
Hyderabad,Diesel,Automatic,First,27.03,5,25.0,Volvo,S60 D4 Momentum,1,3,3,0.09649568303885439,374.11,9.104075446278207
Kolkata,Diesel,Manual,First,20.0,5,2.65,Ford,Figo Diesel EXI,0,1,0,0.04864188702741823,95.20195,8.336807002917881
Mumbai,Diesel,Automatic,First,13.0,5,69.5,Mercedes-Benz,E-Class 2015-2017 E350 CDI Avantgrade,0,5,4,0.08871777700411189,791.555,3.2605969400551795
Chennai,Diesel,Automatic,First,22.69,5,14.0,BMW,3 Series 320d Luxury Line,1,3,3,0.09523809519035684,379.05,7.5759599332220375
Pune,Petrol,Manual,Second,22.74,5,2.1,Maruti,Alto 800 VXI,0,0,0,0.059422110478112924,37.6508,12.661469933184854
Hyderabad,Diesel,Manual,First,13.68,7,20.4,Toyota,Innova Crysta 2.4 VX MT,0,4,2,0.06176347678154473,353.6854,4.031830238726791
Hyderabad,Petrol,Manual,First,18.78,5,5.68,Volkswagen,Polo 1.0 MPI Trendline,0,0,0,0.07507507499992486,74.925,9.394697348674336
Mumbai,Petrol,Manual,First,13.24,5,5.55,Nissan,Terrano XL,0,2,1,0.06414267830779556,163.795,5.096227867590454
Mumbai,Diesel,Manual,First,13.5,7,12.75,Mitsubishi,Pajero Sport 4X4,1,4,3,0.07087605972108355,434.86212,3.8826574633304576
Mumbai,Petrol,Manual,Second,14.8,5,3.35,Honda,Civic 2010-2013 1.8 S MT,1,2,2,0.07237354081580125,234.22979999999998,5.287602715255449
Kolkata,Petrol,Manual,First,22.74,5,1.55,Maruti,Alto 800 LXI,1,0,0,0.059422110478112924,37.6508,12.661469933184854
Coimbatore,Diesel,Manual,Second,20.54,5,5.9,Volkswagen,Vento Diesel Highline,1,2,1,0.064831038757928,165.5528,7.906081601231716
Hyderabad,Diesel,Automatic,First,12.35,5,18.98,Land,Rover Freelander 2 HSE,1,3,3,0.08615878839552145,409.08546,3.884869455803712
Mumbai,Petrol,Manual,First,13.7,5,11.51,Honda,CR-V 2.0L 2WD MT,0,3,2,0.07704556831394814,307.25842000000006,4.571237904571238
Mumbai,Diesel,Manual,First,20.77,7,7.75,Maruti,Ertiga VDI,1,1,1,0.07112179481480625,110.77248000000002,9.239323843416368
Chennai,Diesel,Manual,First,12.99,7,13.9,Toyota,Innova 2.5 GX (Diesel) 7 Seater,1,4,1,0.040336808323842496,250.8964,3.7178019461934744
Kolkata,Petrol,Manual,First,15.0,5,1.35,Tata,Manza Aura Safire,0,1,1,0.0657894736361188,123.12,6.334459459459459
Mumbai,Diesel,Automatic,Second,12.07,7,38.0,Audi,Q7 35 TDI Quattro Premium Plus,1,5,4,0.08136164473159366,716.2338000000001,3.0426014620620117
Mumbai,Petrol,Automatic,First,17.1,5,11.6,Hyundai,Verna 1.6 SX VTVT (O) AT,0,2,1,0.07630421113997221,193.14740000000003,6.5997684291779235
Hyderabad,Diesel,Automatic,First,21.5,5,12.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,0,2,1,0.072429906493705,162.533,8.606885508406725
Jaipur,Petrol,Manual,First,17.0,5,3.8,Honda,City 1.5 S MT,1,2,1,0.07882431524460633,176.646,6.8081698037645175
Mumbai,Diesel,Manual,First,20.0,5,3.25,Ford,Figo Diesel Titanium,1,1,0,0.04864188702741823,95.20195,8.336807002917881
Mumbai,Petrol,Manual,First,18.7,5,6.4,Honda,Jazz 1.2 VX i VTEC,0,1,1,0.07397831520101891,106.35130000000001,8.503865393360618
Bangalore,Petrol,Manual,Second,16.47,5,3.95,Volkswagen,Polo Petrol Highline 1.2L,1,1,0,0.061686143521130096,88.53220000000002,7.4931756141947226
Delhi,Petrol,Manual,First,17.4,5,3.57,Honda,City i-VTEC S,1,2,1,0.07835671337451121,175.59810000000002,6.96836203444133
Mumbai,Petrol,Manual,Second,17.7,5,1.25,Honda,City ZX GXi,1,2,0,0.052104208382027915,116.766,7.088506207448939
Pune,CNG,Manual,First,26.2,5,3.65,Maruti,Wagon R LXI CNG,1,0,0,0.05831663320809957,58.083600000000004,13.113113113113114
Kolkata,Petrol,Automatic,Second,12.0,5,12.5,Honda,CR-V 2.4L 4WD AT AVN,0,4,3,0.07960917583703944,441.13960000000003,3.5778175313059033
Ahmedabad,Diesel,Automatic,Second,18.12,5,23.0,BMW,5 Series 2013-2017 520d Luxury Line,0,3,3,0.09523809519035684,379.05,6.050083472454091
Chennai,Diesel,Manual,Third,12.8,5,1.35,Other,Classic Nova Diesel,1,2,0,0.023841504349334113,52.8595,5.142627561269587
Coimbatore,Diesel,Manual,First,12.05,8,6.32,Mahindra,Scorpio VLX 2.2 mHawk BSIII,1,3,1,0.05507113352222527,261.48,3.7905001572821644
Kolkata,Diesel,Manual,First,20.54,5,3.4,Volkswagen,Vento Diesel Comfortline,0,2,1,0.064831038757928,165.5528,7.906081601231716
Jaipur,Petrol,Manual,Second,17.3,5,0.77,Maruti,Zen VX,1,0,0,0.06042296066422662,59.58,8.680381334671349
Jaipur,Petrol,Manual,First,16.1,4,0.9,Maruti,800 DX BSII,0,0,0,0.04648241200190652,29.452,8.964365256124722
Delhi,Petrol,Automatic,First,14.28,5,18.0,Toyota,Corolla Altis 1.8 VL CVT,0,2,2,0.07676863177042902,248.17794,5.103645461043603
Pune,Petrol,Automatic,First,14.59,5,19.0,BMW,3 Series 328i Sport Line,0,3,4,0.12268402597762441,489.265,4.868201534868202
Chennai,Petrol,Manual,Third,13.8,5,1.1,Ford,Ikon 1.3 Flair,0,1,0,0.05388760580917043,90.93,6.002609830361027
Pune,Petrol,Manual,Second,18.6,5,2.0,Chevrolet,Beat LT,1,1,0,0.06622185148772156,95.20060000000001,8.458390177353344
Ahmedabad,Diesel,Manual,First,21.43,5,6.5,Toyota,Corolla Altis 1.4 DG,1,1,1,0.06362903221141566,118.38156000000001,9.065143824027073
Bangalore,Diesel,Manual,First,16.0,7,9.45,Mahindra,XUV500 W4,1,3,2,0.06424965577592949,305.06,5.033029254482542
Mumbai,Diesel,Manual,First,24.4,5,4.0,Hyundai,Xcent 1.1 CRDi Base,3,1,0,0.06339285708625637,79.52,11.509433962264149
Kochi,Diesel,Automatic,First,13.0,5,32.25,Mercedes-Benz,E-Class 2015-2017 E250 CDI Avantgarde,0,3,3,0.09519365371199551,437.172,4.136175628380529
Pune,Petrol,Manual,First,20.36,5,2.1,Hyundai,i10 Sportz,1,1,0,0.06591478691235189,94.44330000000001,9.267182521620391
Mumbai,Petrol,Automatic,Second,14.28,5,9.75,Toyota,Corolla Altis VL AT,1,2,2,0.07676863177042902,248.17794,5.103645461043603
Kolkata,Petrol,Manual,First,14.53,5,6.3,Toyota,Corolla 1.8 J,0,2,2,0.07675194656465409,248.124,5.192994996426018
Hyderabad,Diesel,Automatic,First,17.32,5,21.0,Audi,Q3 2.0 TDI Quattro,1,3,3,0.0934959349118415,362.112,5.835579514824798
Mumbai,Diesel,Manual,First,21.9,5,4.65,Hyundai,i20 Magna Optional 1.4 CRDi,0,1,1,0.06361031514068029,123.9648,9.140233722871452
Mumbai,Diesel,Automatic,Second,19.27,5,17.0,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,1,3,2,0.0782174521333563,359.20966000000004,6.13108495068406
Pune,Diesel,Manual,First,21.1,5,4.35,Maruti,Ritz VDi,0,1,0,0.059214743542295875,92.22720000000001,9.386120996441282
Coimbatore,Diesel,Manual,First,19.67,5,14.82,Hyundai,Creta 1.6 SX Plus Diesel,1,2,1,0.07977243989900604,199.64839999999998,7.618125484120838
Delhi,Diesel,Automatic,First,13.6,5,40.0,Jaguar,XE 2.0L Diesel Prestige,0,3,3,0.08854427209177375,353.823,4.534844948316105
Chennai,Diesel,Manual,First,14.95,7,6.15,Mahindra,Xylo D4,1,4,1,0.03764564080448146,233.2193,4.284895385497277
Ahmedabad,Diesel,Manual,First,12.99,7,11.25,Toyota,Innova 2.5 G (Diesel) 7 Seater,0,4,1,0.040336808323842496,250.8964,3.7178019461934744
Pune,Petrol,Automatic,First,19.16,5,32.0,Toyota,Camry 2.5 Hybrid,0,4,2,0.06323175618956224,393.30379999999997,5.483686319404693
Coimbatore,Diesel,Automatic,First,13.22,5,45.62,Audi,Q5 3.0 TDI Quattro,0,5,4,0.08136164473159366,716.2338000000001,3.332493067809428
Kochi,Diesel,Manual,First,28.4,5,6.24,Maruti,Swift VDI,0,1,0,0.059294871747359874,92.352,12.633451957295371
Chennai,Diesel,Manual,First,20.77,7,4.8,Maruti,Ertiga VDI Limited Edition,3,1,1,0.07112179481480625,110.77248000000002,9.239323843416368
Chennai,Petrol,Manual,Second,16.1,5,4.5,Maruti,Swift VXi BSIV,1,1,1,0.07101086042522066,101.745,7.3281747837960864
Kochi,Petrol,Manual,First,20.36,5,3.87,Hyundai,i10 Sportz,0,1,0,0.06591478691235189,94.44330000000001,9.267182521620391
Delhi,Petrol,Manual,First,20.36,5,2.75,Hyundai,i10 Sportz,1,1,0,0.06591478691235189,94.44330000000001,9.267182521620391
Kochi,Petrol,Manual,First,21.4,5,6.57,Maruti,Baleno Sigma 1.2,0,1,1,0.06942355883924514,99.4707,9.740555302685479
Jaipur,Petrol,Manual,First,16.36,5,2.0,Hyundai,Accent Executive,1,2,1,0.06267558524235746,140.0815,6.557114228456913
Ahmedabad,Petrol,Manual,First,19.4,5,3.65,Honda,Brio S MT,0,1,1,0.0724540900897712,103.98639999999999,8.826205641492265
Hyderabad,Diesel,Manual,First,22.9,5,6.95,Maruti,Swift ZDi,1,1,0,0.059294871747359874,92.352,10.186832740213521
Bangalore,Petrol,Manual,First,20.14,5,5.5,Hyundai,Xcent 1.2 VTVT S,1,1,1,0.06838763569892427,97.98642,9.1670459717797
Kolkata,Diesel,Manual,First,16.0,7,7.0,Mahindra,XUV500 W8 2WD,0,3,2,0.06424965577592949,305.06,5.033029254482542
Delhi,Diesel,Automatic,First,13.0,5,24.0,Mercedes-Benz,E-Class E250 CDI Avantgrade,0,3,3,0.09384041059550144,430.9573,4.136175628380529
Bangalore,Diesel,Automatic,First,19.27,5,32.5,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,1,3,2,0.07932804475999625,364.31,6.13108495068406
Kochi,Diesel,Manual,First,21.27,5,6.45,Hyundai,i20 Asta 1.4 CRDi,0,1,1,0.06358166184557187,123.90896000000001,8.877295492487479
Mumbai,Diesel,Automatic,First,19.3,5,15.75,Skoda,Octavia Elegance 2.0 TDI AT,0,3,2,0.07164634142700897,277.488,6.502695417789758
Mumbai,Petrol,Manual,First,17.0,5,5.5,Honda,City 1.5 S MT,1,2,1,0.07882431524460633,176.646,6.8081698037645175
Kochi,Diesel,Automatic,First,12.55,7,19.03,Toyota,Fortuner 4x2 AT,1,5,2,0.05650570085294913,502.467,3.1516825715720747
Kolkata,Diesel,Automatic,First,17.32,5,15.25,Audi,Q3 2.0 TDI Quattro,0,3,3,0.0934959349118415,362.112,5.835579514824798
Hyderabad,Petrol,Manual,First,20.92,5,2.4,Maruti,Alto K10 2010-2014 VXI,0,0,0,0.06723446887050653,66.96579999999999,10.470470470470472
Chennai,Diesel,Manual,First,23.03,5,2.3,Tata,Indigo eCS LX BSIV,2,1,0,0.049426934062015086,96.324,9.611853088480801
Kochi,Diesel,Automatic,First,17.11,5,14.35,Audi,A4 2.0 TDI 177 Bhp Premium Plus,1,3,3,0.0885823170281594,343.08144,5.764824797843666
Kochi,Petrol,Automatic,First,18.0,5,11.97,Honda,City i-VTEC CVT VX,0,2,1,0.07835671337451121,175.59810000000002,7.2086503804565485
Ahmedabad,Diesel,Manual,First,14.24,7,18.9,Toyota,Fortuner 2.8 2WD MT,1,5,3,0.0633393829171182,480.7475,3.7922769640479363
Ahmedabad,Petrol,Manual,First,18.9,5,5.4,Hyundai,Grand i10 Sportz,0,1,1,0.06850459476315406,98.154,8.602639963586709
Hyderabad,Petrol,Manual,First,15.1,7,2.95,Maruti,Eeco 7 Seater Standard,1,1,0,0.06103678924662475,87.308,6.876138433515483
Bangalore,Petrol,Manual,First,16.47,5,5.1,Volkswagen,Polo Petrol Highline 1.2L,0,1,0,0.061686143521130096,88.53220000000002,7.4931756141947226
Jaipur,Petrol,Manual,First,18.9,5,1.5,Maruti,Wagon R LXI Minor,1,1,0,0.06314797355028466,71.087,9.170305676855895
Bangalore,Petrol,Manual,First,17.0,5,4.9,Honda,City 1.5 V MT,1,2,1,0.07882431524460633,176.646,6.8081698037645175
Mumbai,Petrol,Manual,First,14.8,5,2.9,Honda,Civic 2010-2013 1.8 S MT,1,2,2,0.07237354081580125,234.22979999999998,5.287602715255449
Pune,Petrol,Manual,First,13.0,5,1.15,Honda,City 1.5 EXI,1,2,1,0.06697923639184243,149.3,5.2146008824709185
Kolkata,Petrol,Manual,First,18.5,5,2.3,Hyundai,i20 1.2 Magna,0,1,0,0.06683375098844298,95.76,8.420573509330906
Kochi,Diesel,Manual,First,24.0,5,5.99,Hyundai,Grand i10 CRDi Sportz Celebration Edition,0,1,0,0.06249999994419642,78.4,11.320754716981131
Pune,Petrol,Automatic,Third,14.4,5,3.4,Volkswagen,Vento Petrol Highline AT,0,2,1,0.064831038757928,165.5528,5.542725173210162
Kolkata,Petrol,Manual,First,20.36,5,1.7,Hyundai,i10 Sportz 1.2,0,1,0,0.06591478691235189,94.44330000000001,9.267182521620391
Kolkata,Petrol,Manual,First,17.0,5,1.99,Hyundai,i20 Asta,0,1,0,0.06683375098844298,95.76,7.737824305871643
Pune,Petrol,Manual,First,18.6,5,2.5,Chevrolet,Beat LS,1,1,0,0.06622185148772156,95.20060000000001,8.458390177353344
Hyderabad,Diesel,Manual,First,22.07,5,4.85,Volkswagen,Polo Diesel Highline 1.2L,1,1,0,0.061634695528244625,88.60610000000001,10.03638017280582
Hyderabad,Petrol,Manual,First,15.6,5,2.65,Ford,Figo Petrol LXI,1,1,0,0.05852842804470867,83.72,7.103825136612023
Kochi,Petrol,Automatic,First,9.9,2,27.35,Audi,TT 2.0 TFSI,0,3,3,0.10473790317301516,412.2752,3.3176943699731907
Jaipur,Diesel,Manual,Second,25.1,5,6.9,Honda,City i DTEC VX,1,2,1,0.06582109474911808,147.7028,10.048038430744596
Hyderabad,Diesel,Manual,First,20.0,5,3.5,Ford,Figo Diesel Titanium,1,1,0,0.04864188702741823,95.20195,8.336807002917881
Delhi,Diesel,Manual,First,12.99,7,12.5,Toyota,Innova 2.5 ZX Diesel 7 Seater,1,4,1,0.040336808323842496,250.8964,3.7178019461934744
Delhi,Petrol,Automatic,First,19.12,5,9.2,Maruti,Ciaz 1.4 AT Alpha,0,1,1,0.06635105603324758,125.0803,8.057311420143279
Mumbai,Petrol,Automatic,First,18.9,5,4.9,Hyundai,Grand i10 AT Asta,0,1,1,0.06850459476315406,98.154,8.602639963586709
Kochi,Petrol,Manual,First,18.88,5,5.55,Ford,EcoSport 1.0 Ecoboost Titanium Plus BE,1,0,1,0.12336336323987651,123.11676,9.444722361180588
Ahmedabad,Petrol,Automatic,First,14.7,5,13.5,Skoda,Octavia Ambition 1.8 TSI AT,0,2,3,0.09877641818755482,319.3248,5.253752680486061
Kolkata,Diesel,Manual,First,20.4,5,2.6,Fiat,Linea Emotion (Diesel),2,1,1,0.07347756404368784,114.44160000000001,9.074733096085408
Jaipur,Petrol,Manual,First,16.1,5,4.5,Maruti,Swift Lxi BSIII,1,1,1,0.06795069332207188,114.48360000000001,7.00609225413403
Delhi,Diesel,Automatic,Second,11.8,7,34.0,Land,Rover Discovery 4 TDV6 SE,1,5,3,0.060140327410577905,538.74,2.9551715502128726
Hyderabad,Diesel,Manual,First,12.8,7,12.0,Toyota,Innova 2.5 V Diesel 7-seater,2,4,1,0.040898155556977484,254.388,3.6634230108757873
Mumbai,Diesel,Manual,First,28.4,5,5.25,Maruti,Swift LDI,0,1,0,0.059294871747359874,92.352,12.633451957295371
Kochi,Diesel,Automatic,First,17.68,5,21.56,Audi,A6 2011-2015 2.0 TDI Premium Plus,1,3,3,0.0885823170281594,343.08144,5.9568733153638815
Coimbatore,Diesel,Automatic,First,22.48,5,24.68,BMW,5 Series 520d Luxury Line,0,3,3,0.09523809519035684,379.05,7.505843071786311
Delhi,Petrol,Manual,First,18.5,5,3.67,Hyundai,i20 Magna Optional 1.2,1,1,1,0.06925647446177403,99.2313,8.420573509330906
Mumbai,Diesel,Automatic,First,17.05,5,29.5,BMW,X1 M Sport sDrive 20d,0,3,3,0.09523809519035684,379.05,5.692821368948247
Delhi,Petrol,Manual,First,17.6,5,3.1,Toyota,Etios G,1,2,1,0.059311497286556485,132.74008,7.051282051282052
Ahmedabad,Diesel,Manual,First,17.0,5,2.9,Tata,Indigo LX,1,1,0,0.04982206402147896,98.35,7.068607068607068
Mumbai,Petrol,Automatic,First,10.98,4,15.95,Volkswagen,Beetle 2.0,0,3,1,0.05766129029351749,226.9696,3.679624664879357
Hyderabad,Diesel,Manual,First,19.7,5,4.5,Volkswagen,Polo GT TDI,1,2,1,0.064831038757928,165.5528,7.58275596612779
Delhi,Diesel,Manual,First,24.0,5,3.49,Hyundai,Grand i10 CRDi Magna,0,1,0,0.06249999994419642,78.4,11.320754716981131
Delhi,Diesel,Manual,First,25.2,5,4.25,Maruti,Swift VDI BSIV,1,1,0,0.059294871747359874,92.352,11.209964412811386
Chennai,Diesel,Manual,Second,24.0,5,1.9,Hyundai,Verna CRDi 1.4 E,2,1,1,0.06358166184557187,123.90896000000001,10.016694490818029
Mumbai,Diesel,Automatic,First,16.73,5,16.57,BMW,5 Series 2003-2012 525d,1,3,3,0.10927318290261995,434.91,5.585976627712855
Bangalore,Petrol,Manual,First,17.0,5,5.75,Honda,City 1.5 S MT,1,2,1,0.07882431524460633,176.646,6.8081698037645175
Delhi,Diesel,Automatic,Second,16.55,5,14.0,Audi,A4 2.0 TDI,0,3,2,0.0749542682545964,290.29967999999997,5.576145552560647
Jaipur,Diesel,Manual,Second,19.5,5,2.5,Fiat,Linea Classic Plus 1.3 Multijet,1,1,0,0.060096153797999874,93.6,8.674377224199288
Ahmedabad,Petrol,Manual,First,13.0,5,1.2,Honda,City 1.3 EXI,1,1,1,0.0670141473812255,120.87,5.548442168160478
Pune,Petrol,Manual,Second,15.5,5,0.85,Fiat,Petra 1.2 EL,2,1,1,0.09120522837501191,140.68990201634878,6.913470115967886
Kochi,Diesel,Automatic,First,22.69,5,13.95,BMW,3 Series 320d Luxury Line,0,3,3,0.09523809519035684,379.05,7.5759599332220375
Chennai,Petrol,Manual,First,16.6,5,1.6,Ford,Fiesta 1.4 Duratec EXI,1,1,0,0.04899135443156242,94.384,6.951423785594641
Coimbatore,Petrol,Automatic,First,21.9,4,3.6,Tata,Nano XTA,0,0,0,0.060064102467845985,23.38752,13.485221674876845
Mumbai,CNG,Manual,First,15.1,5,4.5,Maruti,Eeco 5 STR With AC Plus HTR CNG,0,1,0,0.06103678924662475,87.308,6.876138433515483
Coimbatore,Petrol,Manual,First,20.89,5,6.06,Maruti,Ignis 1.2 Delta,0,1,1,0.06833751038568293,97.9146,9.508420573509332
Coimbatore,Petrol,Manual,Second,17.5,5,5.29,Maruti,Swift Dzire ZXi,1,1,1,0.06610169486432843,111.3684,7.6153176675369885
Jaipur,Diesel,Manual,First,22.7,5,5.75,Ford,Ecosport 1.5 DV5 MT Titanium,1,2,1,0.059973297690271495,134.58032,9.08726981585268
Coimbatore,Petrol,Manual,First,19.1,5,5.72,Maruti,Swift Dzire VXI,0,1,1,0.07167919793510509,102.70259999999999,8.69367319071461
Kochi,Petrol,Automatic,First,16.95,5,4.39,Hyundai,i10 Sportz AT,1,1,0,0.06591478691235189,94.44330000000001,7.715065999089667
Coimbatore,Diesel,Manual,First,15.1,7,11.05,Mahindra,XUV500 W6 2WD,1,3,2,0.06424965577592949,305.06,4.749921358917899
Delhi,Diesel,Manual,Second,22.54,5,4.83,Hyundai,i20 Magna 1.4 CRDi,1,1,1,0.06356017187424057,123.86708,9.407345575959933
Chennai,Diesel,Manual,Second,21.27,5,4.5,Hyundai,i20 Asta 1.4 CRDi,2,1,1,0.06358166184557187,123.90896000000001,8.877295492487479
Mumbai,Diesel,Automatic,Second,16.46,5,19.5,BMW,7 Series 730Ld,1,5,4,0.08620113595516167,772.194,4.12221387427999
Mumbai,Petrol,Automatic,First,14.3,5,8.75,Skoda,Rapid 1.6 MPI AT Style Plus,0,2,1,0.06478097617973655,165.42496,5.504234026173981
Mumbai,Diesel,Automatic,First,14.75,7,67.0,Audi,Q7 45 TDI Quattro Technology,0,5,4,0.08257499154614932,726.915,3.718174943282077
Kochi,Petrol,Manual,First,17.4,5,8.4,Honda,City i VTEC VX,1,2,1,0.07835671337451121,175.59810000000002,6.96836203444133
Mumbai,Petrol,Manual,First,19.1,5,4.99,Hyundai,Xcent 1.2 Kappa SX,0,1,1,0.06850459476315406,98.154,8.69367319071461
Coimbatore,Diesel,Manual,First,26.0,5,8.18,Honda,City i DTec E,0,2,1,0.06582109474911808,147.7028,10.408326661329061
Pune,Petrol,Manual,First,18.4,5,2.9,Honda,Brio S Option MT,1,1,1,0.0724540900897712,103.98639999999999,8.371246587807097
Jaipur,Diesel,Manual,First,28.09,5,7.1,Maruti,Ciaz ZDi Plus SHVS,0,1,1,0.07091346148163985,110.448,12.495551601423486
Pune,Diesel,Manual,First,26.59,5,7.05,Maruti,Swift Dzire VDI Optional,0,1,0,0.059294871747359874,92.352,11.828291814946619
Pune,Petrol,Automatic,First,11.1,5,17.5,Honda,CR-V 2.4L 4WD AT,1,4,2,0.0674596431319203,373.8152,3.3094812164579603
Mumbai,Petrol,Automatic,Second,14.53,5,3.41,Toyota,Corolla Altis 2008-2013 1.8 VL AT,1,2,2,0.07697881824025705,247.7514,5.200429491768074
Coimbatore,Petrol,Manual,First,17.0,5,5.68,Honda,City 1.5 V MT,1,2,1,0.07882431524460633,176.646,6.8081698037645175
Bangalore,Diesel,Manual,First,12.05,9,4.1,Mahindra,Scorpio LX BS IV,1,3,1,0.05507113352222527,261.48,3.7905001572821644
Delhi,Petrol,Manual,First,13.4,5,4.0,Skoda,Laura 1.8 TSI Ambiente,1,2,2,0.08776418237610446,283.7244,4.789135096497498
Hyderabad,Diesel,Automatic,First,18.88,5,30.0,BMW,3 Series 320d Sport Line,0,3,3,0.09223057639487188,367.08,6.303839732888147
Chennai,Petrol,Manual,First,15.0,5,1.8,Maruti,SX4 Zxi BSIII,1,2,1,0.06600252202648012,166.02248,5.800464037122969
Kochi,Petrol,Manual,First,20.73,5,6.93,Maruti,Ciaz VXi Plus,0,1,1,0.06635105603324758,125.0803,8.735777496839443
Bangalore,Diesel,Automatic,First,10.2,7,70.0,Land,Rover Range Rover 3.6 TDV8 Vogue SE Diesel,1,9,5,0.07052896723825762,1345.036,1.9005030743432083
Ahmedabad,Diesel,Manual,First,12.99,7,7.9,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,1,4,1,0.04009623093821322,249.4,3.7178019461934744
Chennai,Diesel,Automatic,First,13.01,7,14.4,Hyundai,Santa Fe 4WD AT,2,3,3,0.0883583446619562,427.26570000000004,4.066895904970303
Mumbai,Petrol,Automatic,Second,11.74,5,13.5,Mercedes-Benz,New C-Class C250 Avantgarde,0,2,3,0.10356347432986443,334.056,4.198855507868384
Mumbai,CNG,Manual,Second,26.6,5,3.15,Maruti,Wagon R LXI CNG,0,0,0,0.058276553047819084,58.043679999999995,13.313313313313316
Coimbatore,Petrol,Manual,First,19.7,5,2.88,Maruti,Alto LXi,0,0,0,0.05816582907265599,36.8548,10.96881959910913
Kolkata,Petrol,Manual,First,24.7,5,2.15,Maruti,Alto 800 2016-2019 LXI,0,0,0,0.059422110478112924,37.6508,13.752783964365255
Pune,Petrol,Manual,First,16.95,5,3.75,Nissan,Sunny 2011-2014 XV,0,2,1,0.06522029368142837,146.3546,6.785428342674138
Mumbai,Petrol,Manual,First,24.7,5,3.6,Maruti,Alto 800 2016-2019 VXI,0,0,0,0.059422110478112924,37.6508,13.752783964365255
Kolkata,Petrol,Manual,First,24.07,5,3.6,Maruti,Alto K10 VXI,0,0,0,0.06723446887050653,66.96579999999999,12.047047047047048
Coimbatore,Petrol,Automatic,First,18.9,5,7.55,Hyundai,Grand i10 1.2 Kappa Sportz AT,0,1,1,0.06838763569892427,97.98642,8.602639963586709
Kolkata,Diesel,Manual,First,24.2,7,4.7,Honda,Mobilio S i DTEC,0,2,1,0.06582109474911808,147.7028,9.687750200160126
Jaipur,Diesel,Manual,Second,18.8,5,1.6,Tata,Manza Aqua Quadrajet,1,1,1,0.07211538455759985,112.32,8.362989323843415
Pune,Diesel,Manual,First,16.52,5,3.34,Chevrolet,Optra Magnum 2.0 LT,1,3,1,0.06212958309285305,246.28670000000002,5.523236375794048
Kochi,Petrol,Automatic,First,18.0,5,9.1,Honda,City i VTEC CVT VX,1,2,1,0.07835671337451121,175.59810000000002,7.2086503804565485
Kochi,Petrol,Manual,First,18.9,5,6.17,Hyundai,Grand i10 1.2 Kappa Sportz,0,1,1,0.06838763569892427,97.98642,8.602639963586709
Hyderabad,Diesel,Manual,First,22.0,5,2.5,Hyundai,Verna CRDi 1.6 SX,1,2,1,0.07977243989900604,199.64839999999998,8.520526723470178
Kolkata,Petrol,Manual,First,18.44,5,3.0,Nissan,Micra XL,0,1,0,0.06260434051535531,89.85,8.389444949954505
Jaipur,Diesel,Manual,First,22.32,5,5.75,Hyundai,Verna 1.6 SX,1,2,1,0.07984829324914772,199.83823999999998,8.644461657629744
Bangalore,Petrol,Manual,First,15.29,5,10.75,Hyundai,Creta 1.6 VTVT E Plus,0,2,1,0.07624135758878607,192.98829999999998,5.901196449247394
Jaipur,Petrol,Manual,Second,20.51,5,2.85,Maruti,Wagon R VXI BS IV,1,0,0,0.06717434863008583,66.90592000000001,10.265265265265267
Chennai,Petrol,Automatic,First,10.2,5,6.5,Honda,Accord 2.4 Elegance A/T,1,4,3,0.07646559045179882,423.72,3.0411449016100174
