Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Consumation,Engine,Power,Seats,Price,Brand,Model,car_age,km/age
Kochi,2011,36411,Petrol,Manual,First,18.9,998,67.1,5,3.08,Maruti,Wagon R VXI BS IV,15,2427.4
Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999,148.31,7,41.5,Land,Rover Discovery Sport TD4 HSE 7S,9,4444.444444444444
Pune,2016,27300,Petrol,Manual,First,17.8,1497,117.3,5,7.0,Honda,City i VTEC SV,10,2730.0
Kochi,2011,29813,Petrol,Automatic,Second,14.74,1991,181.03,5,11.5,Mercedes-Benz,New C-Class C 200 Avantgarde Edition C,15,1987.5333333333333
Pune,2011,71000,Petrol,Manual,First,20.51,998,67.04,5,2.6,Maruti,Wagon R LX BS IV,15,4733.333333333333
Kolkata,2014,32000,Diesel,Manual,First,22.32,1582,126.3,5,4.3,Hyundai,Verna 1.6 CRDI,12,2666.6666666666665
Mumbai,2017,19234,CNG,Manual,First,17.5,1373,80.46,7,8.35,Maruti,Ertiga VXI CNG,9,2137.1111111111113
Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968,141.0,5,24.9,Volkswagen,Tiguan 2.0 TDI Highline,9,5612.222222222223
Pune,2011,102000,Diesel,Automatic,First,15.06,1995,177.0,5,13.75,BMW,X1 sDrive 20d Exclusive,15,6800.0
Kolkata,2014,42277,Diesel,Manual,First,24.0,1186,73.97,5,3.85,Hyundai,Grand i10 1.2 CRDi Sportz Option,12,3523.0833333333335
Mumbai,2014,46000,Diesel,Automatic,First,13.0,2143,201.1,5,23.25,Mercedes-Benz,E-Class E250 CDI Avantgrade,12,3833.3333333333335
Chennai,2012,35000,Diesel,Manual,First,13.6,2523,113.27689373297004,7,7.0,Mahindra,Bolero ZLX,14,2500.0
Bangalore,2015,50000,Petrol,Manual,First,18.9,1197,82.0,5,5.75,Hyundai,Grand i10 Asta Option,11,4545.454545454545
Mumbai,2008,62000,Petrol,Manual,Second,20.36,1197,78.9,5,1.65,Hyundai,i10 Magna 1.2,18,3444.4444444444443
Mumbai,2012,78000,Diesel,Manual,First,19.33,1968,138.1,5,6.5,Volkswagen,Jetta 2012-2014 2.0L TDI Comfortline,14,5571.428571428572
Chennai,2011,79000,Diesel,Manual,First,17.67,1968,138.08,5,7.5,Skoda,Yeti Elegance,15,5266.666666666667
Kochi,2019,6773,Diesel,Automatic,First,14.75,2967,245.0,7,72.94,Audi,Q7 45 TDI Quattro Premium Plus,7,967.5714285714286
Chennai,2010,135000,Diesel,Manual,Second,11.5,2982,171.0,7,11.0,Toyota,Fortuner 3.0 Diesel,16,8437.5
Kochi,2013,36716,Petrol,Manual,First,18.9,1061,67.0,5,3.02,Maruti,Wagon R VXI Minor ABS,13,2824.3076923076924
Coimbatore,2013,65060,Petrol,Manual,First,21.1,814,55.2,5,3.32,Hyundai,EON Era,13,5004.615384615385
Delhi,2013,33000,Petrol,Manual,First,19.4,1198,86.8,5,3.24,Honda,Brio S MT,13,2538.4615384615386
Kolkata,2015,11110,Petrol,Manual,First,22.74,796,47.3,5,2.35,Maruti,Alto 800 VXI,11,1010.0
Jaipur,2013,63000,Diesel,Manual,First,15.96,2523,62.1,7,5.5,Mahindra,Bolero ZLX,13,4846.153846153846
Mumbai,2015,27030,Petrol,Manual,First,17.8,1497,117.3,5,6.75,Honda,City i VTEC SV,11,2457.2727272727275
Mumbai,2015,19600,Petrol,Manual,First,15.0,1598,103.52,5,6.15,Skoda,Rapid 1.6 MPI Elegance Black Package,11,1781.8181818181818
Pune,2016,27755,Petrol,Manual,First,22.0,1197,81.8,5,5.45,Maruti,Swift VVT VXI,10,2775.5
Hyderabad,2013,20000,Petrol,Manual,Second,21.1,814,55.2,5,2.3,Hyundai,EON Magna Plus,13,1538.4615384615386
Kochi,2015,24782,Petrol,Manual,First,20.85,1197,83.14,5,6.21,Maruti,Swift Dzire ZXI,11,2252.909090909091
Coimbatore,2014,47303,Petrol,Automatic,First,19.34,1198,76.0,5,5.21,Nissan,Micra XV CVT,12,3941.9166666666665
Delhi,2008,71000,Petrol,Automatic,First,8.3,4134,250.0,7,11.99,Audi,Q7 4.2 FSI quattro,18,3944.4444444444443
Pune,2010,135000,Diesel,Manual,First,17.8,1248,75.0,5,3.1,Maruti,Swift Vdi BSIII,16,8437.5
Jaipur,2017,1000,Diesel,Manual,First,13.49,2179,138.03,5,7.5,Tata,Xenon XT EX 4X2,9,111.11111111111111
Kolkata,2016,29000,Diesel,Manual,First,20.14,1498,88.8,5,4.0,Volkswagen,Polo 1.5 TDI Comfortline,10,2900.0
Kochi,2016,36367,Petrol,Manual,First,17.8,1497,117.3,5,7.73,Honda,City i VTEC SV,10,3636.7
Bangalore,2015,38000,Petrol,Manual,First,17.4,1497,117.3,5,7.8,Honda,City i VTEC V,11,3454.5454545454545
Hyderabad,2011,83969,Petrol,Manual,First,16.1,796,37.0,4,1.3,Maruti,800 AC BSIII,15,5597.933333333333
Jaipur,2014,82621,Diesel,Manual,First,20.14,1498,88.8,5,4.42,Volkswagen,Polo 1.5 TDI Trendline,12,6885.083333333333
Pune,2009,89000,Diesel,Automatic,First,12.5,1991,147.9,7,4.0,Chevrolet,Captiva LTZ VCDi,17,5235.294117647059
Kolkata,2016,54000,Diesel,Manual,First,16.0,2179,140.0,7,13.0,Mahindra,XUV500 W10 2WD,10,5400.0
Kochi,2015,61691,Diesel,Manual,First,25.8,1498,98.6,5,5.38,Honda,Amaze VX i-DTEC,11,5608.272727272727
Chennai,2011,32200,Petrol,Manual,Second,17.0,1197,80.0,5,3.25,Hyundai,i20 1.2 Sportz Option,15,2146.6666666666665
Jaipur,2016,68630,Petrol,Automatic,First,20.51,998,67.0,5,3.87,Maruti,Wagon R AMT VXI,10,6863.0
Mumbai,2014,61000,Diesel,Automatic,Second,16.96,1968,138.03,5,8.25,Volkswagen,Jetta 2013-2015 2.0L TDI Highline AT,12,5083.333333333333
Mumbai,2018,32644,Petrol,Manual,First,20.73,1373,91.1,5,9.28,Maruti,Ciaz 1.4 Zeta,8,4080.5
Delhi,2012,85000,Diesel,Automatic,First,11.79,2179,120.0,7,6.25,Mahindra,Scorpio 2009-2014 VLX 4WD AT 7S BSIV,14,6071.428571428572
Mumbai,2008,75000,Petrol,Manual,Second,15.26,1150,74.9,5,1.15,Chevrolet,Aveo U-VA 1.2 LS,18,4166.666666666667
Kochi,2016,40347,Petrol,Manual,First,20.73,1373,91.2,5,7.8,Maruti,Ciaz ZXi Option,10,4034.7
Hyderabad,2012,60788,Diesel,Manual,First,23.0,1396,90.0,5,4.5,Hyundai,i20 1.4 CRDi Asta,14,4342.0
Kochi,2018,18664,Petrol,Manual,First,18.7,1199,88.7,5,7.56,Honda,Jazz 1.2 SV i VTEC,8,2333.0
Coimbatore,2017,57847,Diesel,Manual,First,16.0,2179,140.0,7,16.08,Mahindra,XUV500 W10 2WD,9,6427.444444444444
Bangalore,2012,52237,Petrol,Manual,First,17.0,1197,80.0,5,4.5,Hyundai,i20 1.2 Sportz,14,3731.214285714286
Chennai,2012,128000,Diesel,Manual,First,22.32,1582,126.32,5,5.0,Hyundai,Verna 1.6 SX,14,9142.857142857143
Delhi,2011,54000,Petrol,Manual,First,19.81,1086,68.05,5,2.2,Hyundai,i10 Era 1.1,15,3600.0
Bangalore,2014,49800,Petrol,Automatic,First,23.1,998,67.04,5,4.0,Maruti,Celerio VXI AT,12,4150.0
Kolkata,2012,98000,Diesel,Manual,First,20.86,1199,73.9,5,2.51,Skoda,Fabia 1.2 TDI Ambition,14,7000.0
Delhi,2015,60095,Diesel,Manual,First,25.2,1248,74.0,5,4.75,Maruti,Swift VDI BSIV,11,5463.181818181818
Pune,2008,68000,Petrol,Manual,Second,16.0,1086,66.7,5,2.0,Hyundai,i10 Magna(O) with Sun Roof,18,3777.777777777778
Jaipur,2010,81402,Petrol,Manual,Second,20.36,1197,78.9,5,2.1,Hyundai,i10 Magna 1.2,16,5087.625
Mumbai,2013,38000,Petrol,Automatic,First,16.5,1499,110.0,5,6.25,Ford,Ecosport 1.5 Ti VCT AT Titanium,13,2923.076923076923
Kochi,2011,92239,Diesel,Automatic,Second,11.5,2987,210.0,5,10.6,Mercedes-Benz,E-Class 2009-2013 E350 CDI Avantgarde,15,6149.266666666666
Ahmedabad,2017,49224,Diesel,Manual,First,25.2,1248,74.0,5,6.0,Maruti,Swift VDI BSIV,9,5469.333333333333
Jaipur,2004,12000,Petrol,Manual,Second,16.1,796,37.0,4,0.45,Maruti,800 Std BSIII,22,545.4545454545455
Pune,2010,54898,Petrol,Manual,Third,16.1,1298,88.2,5,2.5,Maruti,Swift Lxi BSIII,16,3431.125
Mumbai,2018,2500,Petrol,Manual,First,15.29,1591,121.3,5,12.75,Hyundai,Creta 1.6 SX Plus Dual Tone Petrol,8,312.5
Kochi,2017,32838,Diesel,Automatic,First,17.05,1995,190.0,5,30.29,BMW,X1 M Sport sDrive 20d,9,3648.6666666666665
Hyderabad,2006,27076,Petrol,Manual,First,13.8,1299,70.0,5,1.6,Ford,Ikon 1.3 Flair,20,1353.8
Kochi,2017,75445,Diesel,Manual,First,22.7,1498,89.84,5,7.54,Ford,Ecosport 1.5 DV5 MT Titanium Optional,9,8382.777777777777
Kochi,2015,46601,Petrol,Manual,First,20.73,1373,91.1,5,6.84,Maruti,Ciaz VXi Plus,11,4236.454545454545
Kolkata,2012,72000,Diesel,Automatic,First,18.33,1968,167.7,5,6.0,Volkswagen,Passat Diesel Highline 2.0 TDI,14,5142.857142857143
Pune,2017,27000,Diesel,Manual,First,27.3,1498,98.6,5,8.0,Honda,Jazz 1.5 VX i DTEC,9,3000.0
Coimbatore,2016,68193,Diesel,Automatic,First,17.11,1968,174.33,5,24.74,Audi,A4 35 TDI Premium,10,6819.3
Kochi,2017,34429,Diesel,Manual,First,24.0,1120,70.0,5,5.5,Hyundai,Grand i10 CRDi Sportz Celebration Edition,9,3825.4444444444443
Delhi,2013,46000,Diesel,Automatic,First,12.0,2987,224.0,7,36.0,Mercedes-Benz,GL-Class 2007 2012 350 CDI Luxury,13,3538.4615384615386
Coimbatore,2013,80544,Diesel,Manual,First,12.99,2494,100.6,7,11.79,Toyota,Innova 2.5 G (Diesel) 7 Seater,13,6195.692307692308
Jaipur,2011,42000,Petrol,Manual,Second,16.95,1498,97.7,5,3.0,Nissan,Sunny 2011-2014 XL,15,2800.0
Bangalore,2011,94821,Diesel,Automatic,Second,20.0,1968,138.1,5,6.75,Skoda,Laura Ambiente 2.0 TDI CR AT,15,6321.4
Jaipur,2006,100000,Petrol,Manual,First,14.49,1399,92.7,5,1.4,Chevrolet,Aveo 1.4 LS,20,5000.0
Mumbai,2014,57000,Diesel,Manual,First,24.2,1498,98.6,7,5.75,Honda,Mobilio V i DTEC,12,4750.0
Hyderabad,2010,79894,Diesel,Manual,First,21.1,1248,73.9,5,3.4,Maruti,Ritz VDi,16,4993.375
Coimbatore,2011,44748,Petrol,Manual,Second,16.47,1198,73.9,5,4.89,Volkswagen,Polo Petrol Highline 1.2L,15,2983.2
Mumbai,2013,31000,Petrol,Manual,First,13.24,1598,102.5,5,4.95,Nissan,Terrano XL,13,2384.6153846153848
Coimbatore,2013,60587,Petrol,Automatic,Second,16.98,998,66.1,5,3.49,Maruti,A-Star AT Vxi Aktiv,13,4660.538461538462
Pune,2011,32000,Diesel,Manual,First,23.59,1364,113.27689373297004,5,3.85,Toyota,Etios Liva GD,15,2133.3333333333335
Pune,2014,43772,Petrol,Manual,First,17.0,1497,118.0,5,6.35,Honda,City 1.5 S MT,12,3647.6666666666665
Coimbatore,2017,23576,Petrol,Automatic,First,18.9,1197,82.0,5,7.08,Hyundai,Grand i10 AT Asta,9,2619.5555555555557
Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999,177.0,5,38.0,Jaguar,XE 2.0L Diesel Prestige,9,444.44444444444446
Kolkata,2012,62000,Diesel,Manual,First,12.05,2179,120.0,8,6.25,Mahindra,Scorpio VLX,14,4428.571428571428
Mumbai,2011,36000,Petrol,Automatic,First,11.74,1796,186.0,5,10.15,Mercedes-Benz,New C-Class C 200 Kompressor Elegance AT,15,2400.0
Delhi,2014,80000,Petrol,Automatic,First,13.7,1798,157.75,5,10.75,Skoda,Superb Elegance 1.8 TSI AT,12,6666.666666666667
Pune,2012,137008,Diesel,Automatic,First,18.1,1991,147.9,4,4.65,Chevrolet,Cruze LTZ AT,14,9786.285714285714
Delhi,2010,61001,Diesel,Manual,First,12.05,2179,120.0,8,4.75,Mahindra,Scorpio VLX,16,3812.5625
Coimbatore,2015,52191,Petrol,Manual,First,17.1,1591,121.3,5,7.78,Hyundai,Verna 1.6 SX VTVT (O),11,4744.636363636364
Hyderabad,2016,77076,Diesel,Manual,First,23.0,1396,90.0,5,6.75,Hyundai,i20 1.4 Asta CRDi with AVN,10,7707.6
Hyderabad,2008,56000,Petrol,Automatic,First,16.4,1497,78.0,5,2.99,Honda,City ZX CVT,18,3111.1111111111113
Kolkata,2013,21000,Petrol,Manual,First,20.36,1197,78.9,5,2.35,Hyundai,i10 Magna,13,1615.3846153846155
Delhi,2013,89429,Diesel,Manual,First,25.8,1498,98.6,5,3.65,Honda,Amaze S i-Dtech,13,6879.153846153846
Delhi,2012,45631,Petrol,Manual,Second,22.5,998,67.04,5,2.74,Maruti,Wagon R LXI,14,3259.3571428571427
Jaipur,2013,53959,Petrol,Manual,First,19.4,1198,86.8,5,3.5,Honda,Brio S MT,13,4150.692307692308
Kochi,2014,55804,Petrol,Manual,First,17.0,1197,80.0,5,4.76,Hyundai,i20 1.2 Sportz Option,12,4650.333333333333
Kochi,2016,25899,Petrol,Manual,First,15.04,1598,103.2,5,6.2,Volkswagen,Vento 2013-2015 1.6 Comfortline,10,2589.9
Pune,2008,82000,Diesel,Manual,Second,18.7,1896,66.0,5,2.35,Skoda,Octavia Rider 1.9 TDI MT,18,4555.555555555556
Mumbai,2014,52000,Diesel,Automatic,First,13.0,2143,204.0,5,24.5,Mercedes-Benz,E-Class 2015-2017 E250 CDI Avantgarde,12,4333.333333333333
Pune,2013,20000,Petrol,Manual,First,13.24,1598,102.57,5,6.0,Renault,Duster Petrol RxL,13,1538.4615384615386
Hyderabad,2017,31829,Petrol,Manual,First,21.1,814,55.2,5,3.65,Hyundai,EON Sportz,9,3536.5555555555557
Coimbatore,2016,18094,Petrol,Manual,Second,18.6,1197,85.8,5,6.26,Maruti,Swift VXI,10,1809.4
Jaipur,2011,80000,Diesel,Manual,Second,19.5,1461,113.27689373297004,5,2.1,Nissan,Micra Diesel,15,5333.333333333333
Mumbai,2015,11964,Diesel,Automatic,First,13.22,2967,241.4,5,32.95,Audi,Q5 3.0 TDI Quattro Technology,11,1087.6363636363637
Coimbatore,2018,22684,Petrol,Manual,First,18.6,1197,81.83,5,7.8,Hyundai,i20 1.2 Spotz,8,2835.5
Bangalore,2014,43521,Petrol,Manual,First,19.4,1198,86.8,5,4.25,Honda,Brio S MT,12,3626.75
Kochi,2014,49386,Petrol,Manual,First,17.5,1298,85.8,5,4.86,Maruti,Swift Dzire ZXi,12,4115.5
Delhi,2017,12248,Petrol,Manual,First,18.9,1197,81.86,5,4.9,Hyundai,Grand i10 1.2 Kappa Magna,9,1360.888888888889
Coimbatore,2014,67771,Diesel,Manual,First,11.68,2498,112.0,8,7.06,Mahindra,Xylo E8 ABS BS IV,12,5647.583333333333
Delhi,2015,60007,Petrol,Automatic,First,17.21,1798,189.0,4,4.5,Volkswagen,Polo GTI,11,5455.181818181818
Coimbatore,2011,48624,Petrol,Manual,First,24.07,998,67.1,5,3.22,Maruti,Alto K10 VXI,15,3241.6
Kolkata,2014,30000,Diesel,Manual,First,22.07,1199,73.9,5,3.25,Volkswagen,Polo Diesel Comfortline 1.2L,12,2500.0
Delhi,2016,81605,Petrol,Manual,First,18.9,1197,82.0,5,4.53,Hyundai,Grand i10 Sportz,10,8160.5
Coimbatore,2017,32642,Diesel,Automatic,First,14.84,2143,170.0,5,34.78,Mercedes-Benz,New C-Class C 220 CDI Elegance AT,9,3626.8888888888887
Pune,2014,34200,Petrol,Automatic,First,15.74,1591,121.3,5,6.5,Hyundai,Verna 1.6 SX VTVT AT,12,2850.0
Chennai,2010,72204,Petrol,Manual,First,15.7,1172,67.0,5,2.25,Fiat,Punto EVO 1.2 Emotion,16,4512.75
Pune,2011,156347,Diesel,Manual,Second,12.99,2494,100.0,8,8.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,15,10423.133333333333
Kochi,2017,47357,Diesel,Automatic,First,18.49,1493,100.0,7,8.37,Mahindra,TUV 300 2015-2019 mHAWK100 T8 AMT,9,5261.888888888889
Coimbatore,2015,61738,Diesel,Manual,First,20.14,1498,88.8,5,5.39,Volkswagen,Polo 1.5 TDI Comfortline,11,5612.545454545455
Kochi,2018,32586,Diesel,Automatic,First,22.48,1995,190.0,5,37.3,BMW,5 Series 520d Luxury Line,8,4073.25
Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987,254.79,5,70.8,Mercedes-Benz,GLE 350d,8,5016.125
Mumbai,2012,51000,Diesel,Automatic,First,11.74,2987,254.8,5,22.25,Mercedes-Benz,M-Class ML 350 CDI,14,3642.8571428571427
Kochi,2018,10393,Petrol,Manual,First,18.9,1197,81.86,5,6.03,Hyundai,Grand i10 1.2 Kappa Sportz,8,1299.125
Mumbai,2011,46000,Petrol,Automatic,First,13.7,1798,157.75,5,4.9,Skoda,Superb Elegance 1.8 TSI AT,15,3066.6666666666665
Chennai,2013,21000,Petrol,Automatic,First,16.95,1197,78.9,5,3.96,Hyundai,i10 Sportz AT,13,1615.3846153846155
Hyderabad,2011,113562,Diesel,Manual,First,23.0,1396,90.0,5,4.6,Hyundai,i20 1.4 CRDi Asta,15,7570.8
Mumbai,2011,100010,Diesel,Manual,Second,12.05,2179,120.0,8,5.5,Mahindra,Scorpio VLX,15,6667.333333333333
Mumbai,2013,63107,Petrol,Manual,First,19.4,1198,86.8,5,3.25,Honda,Brio V MT,13,4854.384615384615
Jaipur,2017,58500,Petrol,Manual,First,18.6,1197,81.83,5,6.25,Hyundai,i20 1.2 Magna Executive,9,6500.0
Pune,2007,90000,Diesel,Manual,Fourth & Above,10.9,2499,143.0,7,3.0,Ford,Endeavour 4x2 XLT Limited Edition,19,4736.8421052631575
Chennai,2011,108242,Diesel,Manual,First,16.8,1493,110.0,5,4.25,Hyundai,Verna CRDi SX,15,7216.133333333333
Pune,2011,146300,Diesel,Manual,First,11.5,2982,171.0,7,12.25,Toyota,Fortuner 3.0 Diesel,15,9753.333333333334
Pune,2011,62943,Diesel,Automatic,Second,17.05,1995,184.0,5,10.95,BMW,X1 sDrive20d,15,4196.2
Delhi,2013,65000,Diesel,Automatic,First,12.55,2982,168.5,7,16.5,Toyota,Fortuner 4x2 AT,13,5000.0
Pune,2018,1700,Petrol,Automatic,First,19.0,1199,88.76,5,7.8,Honda,Amaze V CVT Petrol,8,212.5
Kochi,2013,34697,Petrol,Manual,First,19.81,1086,68.05,5,3.7,Hyundai,i10 Era 1.1,13,2669.0
Hyderabad,2012,58000,Petrol,Manual,First,17.0,1197,80.0,5,4.0,Hyundai,i20 1.2 Sportz,14,4142.857142857143
Mumbai,2015,32500,Diesel,Automatic,First,19.59,1995,187.74,5,26.75,BMW,3 Series 320d GT Luxury Line,11,2954.5454545454545
Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968,181.0,5,28.03,Audi,Q3 35 TDI Quattro Premium Plus,10,5866.1
Kochi,2017,37124,Petrol,Manual,First,20.4,1197,81.8,5,5.44,Maruti,Swift VXI Optional,9,4124.888888888889
Delhi,2017,44000,Petrol,Automatic,First,21.4,1197,83.1,5,6.2,Maruti,Baleno Delta Automatic,9,4888.888888888889
Kolkata,2005,45200,Petrol,Manual,First,13.2,1495,94.0,5,0.9,Hyundai,Accent GLE,21,2152.3809523809523
Mumbai,2016,11000,Petrol,Manual,First,18.5,1197,85.8,5,3.95,Maruti,Ritz LXi,10,1100.0
Pune,2011,65000,Petrol,Manual,Second,26.0,624,35.0,4,0.44,Tata,Nano Lx,15,4333.333333333333
Ahmedabad,2012,55005,Diesel,Manual,First,20.0,1399,68.0,5,2.75,Ford,Figo Diesel EXI,14,3928.9285714285716
Hyderabad,2011,81650,Diesel,Automatic,First,18.33,1968,167.7,5,7.5,Volkswagen,Passat Diesel Highline 2.0 TDI,15,5443.333333333333
Chennai,2010,160000,Diesel,Manual,Second,19.0,1248,93.0,5,2.5,Fiat,Linea Emotion Pack (Diesel),16,10000.0
Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489,93.7,7,5.0,Mahindra,Xylo D4,11,15363.636363636364
Hyderabad,2013,67263,Petrol,Manual,First,18.9,998,67.1,5,3.6,Maruti,Wagon R VXI,13,5174.076923076923
Kochi,2012,44223,Petrol,Manual,First,17.6,1496,88.7,5,3.99,Toyota,Etios G Safety,14,3158.785714285714
Coimbatore,2015,36840,Petrol,Manual,First,18.9,1197,82.0,5,5.64,Hyundai,Grand i10 Sportz,11,3349.090909090909
Pune,2014,160000,Diesel,Manual,First,12.99,2494,100.0,8,12.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,12,13333.333333333334
Kolkata,2008,133000,Diesel,Manual,First,16.8,1405,62.0,5,0.7,Tata,Indica V2 DLS TC,18,7388.888888888889
Mumbai,2015,69123,Diesel,Automatic,First,18.88,1995,184.0,5,19.0,BMW,3 Series 320d Sport Line,11,6283.909090909091
Delhi,2017,38000,Diesel,Automatic,First,10.91,3198,197.0,7,30.48,Ford,Endeavour 3.2 Titanium AT 4X4,9,4222.222222222223
Mumbai,2017,5500,Petrol,Manual,First,21.56,1462,103.25,5,8.2,Maruti,Ciaz Zeta,9,611.1111111111111
Kolkata,2015,1001,Diesel,Manual,First,25.83,1498,99.0,5,7.55,Ford,Figo 1.5D Titanium Plus MT,11,91.0
Pune,2007,59000,Petrol,Manual,Third,15.26,1150,74.9,5,0.99,Chevrolet,Aveo U-VA 1.2 LS,19,3105.2631578947367
Delhi,2011,78256,Petrol,Automatic,First,16.8,1497,118.0,5,4.15,Honda,City 1.5 V AT,15,5217.066666666667
Chennai,2016,90000,Petrol,Manual,First,16.95,1498,97.6,5,6.2,Nissan,Sunny XL,10,9000.0
Kolkata,2016,18000,Petrol,Manual,First,19.1,1197,85.8,5,4.4,Maruti,Swift Dzire VXI,10,1800.0
Kolkata,2012,60000,Diesel,Manual,First,20.0,1399,68.0,5,2.1,Ford,Figo Diesel Titanium,14,4285.714285714285
Jaipur,2011,130000,Diesel,Manual,First,20.3,1248,75.0,5,2.2,Fiat,Grande Punto 1.3 Emotion (Diesel),15,8666.666666666666
Coimbatore,2018,32851,Petrol,Manual,First,18.6,1197,81.86,5,8.34,Hyundai,Elite i20 Petrol Asta,8,4106.375
Kolkata,2014,32000,Diesel,Manual,First,23.4,1248,74.0,5,4.35,Maruti,Swift Dzire VDI,12,2666.6666666666665
Hyderabad,2014,62700,Diesel,Manual,First,22.7,1498,89.84,5,6.8,Ford,Ecosport 1.5 DV5 MT Titanium,12,5225.0
Jaipur,2010,71000,Diesel,Manual,First,19.3,1248,73.9,5,3.3,Maruti,Swift Dzire VDi,16,4437.5
Kochi,2016,19947,Petrol,Manual,First,18.9,1197,82.0,5,5.04,Hyundai,Grand i10 Sportz,10,1994.7
Hyderabad,2012,91000,Diesel,Automatic,First,11.4,2953,153.86,7,9.2,Ford,Endeavour 3.0L 4X4 AT,14,6500.0
Hyderabad,2014,74000,Diesel,Manual,First,22.07,1199,73.9,5,5.7,Volkswagen,Polo Diesel Highline 1.2L,12,6166.666666666667
Kochi,2018,55594,Diesel,Manual,First,18.49,1493,100.0,7,8.48,Mahindra,TUV 300 2015-2019 mHAWK100 T8,8,6949.25
Hyderabad,2013,58000,Diesel,Automatic,First,11.2,2993,306.0,4,48.0,BMW,X6 xDrive 40d,13,4461.538461538462
Hyderabad,2012,110224,Diesel,Manual,First,19.01,1461,108.45,5,6.1,Renault,Duster 110PS Diesel RxZ,14,7873.142857142857
Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998,67.04,5,2.75,Maruti,Wagon R LXI,16,1312.625
Pune,2017,121000,Diesel,Manual,First,24.52,1248,88.5,7,8.0,Maruti,Ertiga SHVS VDI,9,13444.444444444445
Jaipur,2010,73513,Petrol,Manual,First,19.7,796,46.3,5,1.85,Maruti,Alto LXi BSIII,16,4594.5625
Jaipur,2015,34000,Petrol,Automatic,First,20.51,998,67.0,5,3.85,Maruti,Wagon R AMT VXI Option,11,3090.909090909091
Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196,73.0,7,4.74,Maruti,Eeco 7 Seater Standard,9,3152.3333333333335
Kochi,2013,74755,Diesel,Manual,First,19.6,1461,108.45,5,5.63,Renault,Duster 110PS Diesel RxL,13,5750.384615384615
Kochi,2011,25805,Petrol,Manual,First,18.2,1061,64.0,5,2.62,Maruti,Zen Estilo 1.1 LX BSIII,15,1720.3333333333333
Kochi,2015,82603,Petrol,Manual,First,13.06,1598,102.53,5,4.9,Renault,Duster Petrol RxL,11,7509.363636363636
Chennai,2006,110000,Petrol,Manual,First,13.5,1799,130.0,5,2.65,Honda,Civic 2006-2010 1.8 S MT,20,5500.0
Delhi,2012,88000,Diesel,Manual,First,16.0,2179,140.0,7,5.99,Mahindra,XUV500 W8 2WD,14,6285.714285714285
Chennai,2011,110000,Diesel,Manual,Second,21.0,1461,64.1,5,2.4,Mahindra,Verito 1.5 D6 BSIV,15,7333.333333333333
Delhi,2017,15000,Petrol,Manual,First,21.7,999,67.0,5,4.25,Renault,KWID Climber 1.0 MT,9,1666.6666666666667
Mumbai,2013,70000,Diesel,Automatic,First,15.15,2967,240.0,5,40.0,Porsche,Cayenne Diesel,13,5384.615384615385
Pune,2008,150000,Diesel,Manual,Second,28.4,1248,74.0,5,2.7,Maruti,Swift DDiS VDI,18,8333.333333333334
Hyderabad,2016,19000,Petrol,Manual,First,20.63,1198,67.0,5,2.99,Datsun,GO T Option,10,1900.0
Chennai,2011,37442,Petrol,Manual,First,18.5,1197,80.0,5,3.4,Hyundai,i20 1.2 Magna,15,2496.133333333333
Coimbatore,2016,63111,Diesel,Automatic,Second,18.12,1995,190.0,5,30.8,BMW,5 Series 2013-2017 520d Luxury Line,10,6311.1
Mumbai,2012,88000,Diesel,Manual,First,20.77,1248,88.8,7,5.85,Maruti,Ertiga ZDI,14,6285.714285714285
Jaipur,2014,42355,Petrol,Manual,First,18.9,1197,82.0,5,4.0,Hyundai,Grand i10 Magna,12,3529.5833333333335
Coimbatore,2011,75871,Petrol,Automatic,First,9.43,2996,254.0,5,14.12,BMW,3 Series 330i,15,5058.066666666667
Mumbai,2011,65000,Diesel,Manual,First,17.9,1998,163.7,5,4.55,Chevrolet,Cruze LTZ,15,4333.333333333333
Pune,2015,69000,Diesel,Automatic,First,0.0,2987,165.0,5,38.0,Mercedes-Benz,M-Class ML 350 4Matic,11,6272.727272727273
Jaipur,2011,79232,Diesel,Manual,First,21.1,1248,73.9,5,2.9,Maruti,Ritz LDi,15,5282.133333333333
Pune,2007,220000,Petrol,Automatic,Second,11.74,1796,186.0,5,6.0,Mercedes-Benz,New C-Class C 200 Kompressor Elegance AT,19,11578.947368421053
Kochi,2016,28470,Petrol,Manual,First,18.6,1197,81.83,5,6.95,Hyundai,i20 1.2 Magna Executive,10,2847.0
Kolkata,2014,9759,Petrol,Manual,First,20.3,998,68.05,5,2.75,Hyundai,EON 1.0 Kappa Magna Plus Optional,12,813.25
Pune,2014,75216,Diesel,Manual,First,22.9,1248,74.0,5,5.1,Maruti,Swift VDI,12,6268.0
