Location,Fuel_Type,Transmission,Owner_Type,Consumation,Price,Brand,Model,car_age,Power_bins
Pune,Petrol,Automatic,First,13.7,4.35,Skoda,Superb Elegance 1.8 TSI AT,17,2
Hyderabad,Diesel,Automatic,First,10.0,24.5,Mercedes-Benz,E-Class 2009-2013 E 220 CDI Avantgarde,13,2
Pune,Diesel,Manual,First,17.8,5.75,Maruti,Swift VDi BSIII W/ ABS,11,0
Kochi,Petrol,Automatic,First,18.0,9.19,Honda,City i VTEC CVT VX,10,1
Pune,Petrol,Automatic,Second,8.45,10.75,BMW,7 Series 2007-2012 740Li,18,6
Bangalore,Petrol,Automatic,First,19.2,2.99,Hyundai,i10 Magna AT,17,0
Kolkata,Diesel,Manual,First,26.59,3.89,Maruti,Swift Dzire VDI,12,0
Coimbatore,Diesel,Manual,First,26.0,11.73,Honda,City i DTec VX,8,1
Coimbatore,Petrol,Manual,First,14.0,3.11,Maruti,Omni 8 Seater BSIV,10,0
Jaipur,Diesel,Manual,Second,17.2,14.45,Skoda,Superb 2009-2014 Elegance 2.0 TDI MT,12,2
Ahmedabad,Diesel,Manual,First,24.52,8.7,Maruti,Ertiga SHVS VDI,8,1
Kochi,Diesel,Manual,First,24.0,5.04,Hyundai,Grand i10 CRDi Magna,10,0
Jaipur,Diesel,Manual,First,28.09,8.5,Maruti,Ciaz VDi Plus SHVS,9,1
Delhi,Diesel,Automatic,First,19.27,15.65,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,12,2
Mumbai,Diesel,Manual,First,20.5,5.65,Fiat,Avventura MULTIJET Emotion,11,1
Bangalore,Petrol,Automatic,First,10.93,16.5,Mercedes-Benz,E-Class 2009-2013 E 250 Elegance,16,3
Pune,Petrol,Manual,First,15.04,3.9,Volkswagen,Vento Petrol Highline,14,1
Jaipur,Diesel,Automatic,First,18.88,14.5,BMW,3 Series 320d Luxury Line,13,3
Bangalore,Diesel,Automatic,First,14.69,44.0,BMW,5 Series 2013-2017 530d M Sport,11,4
Delhi,Petrol,Manual,First,18.9,5.0,Hyundai,Grand i10 1.2 Kappa Magna,9,1
Hyderabad,Diesel,Automatic,First,11.36,19.75,Toyota,Innova Crysta 2.8 ZX AT,10,2
Coimbatore,Diesel,Automatic,First,19.6,11.44,Renault,Duster 110PS Diesel RxZ AMT,9,1
Chennai,Diesel,Manual,First,18.0,1.75,Tata,Indica Vista Aura 1.3 Quadrajet,15,0
Bangalore,Diesel,Manual,First,17.8,5.6,Maruti,Swift VDI BSIV,13,1
Kochi,Petrol,Manual,First,12.3,30.42,Mercedes-Benz,E-Class 2009-2013 E 200 CGI Avantgarde,10,3
Coimbatore,Diesel,Manual,First,15.1,9.57,Mahindra,XUV500 W8 4WD,13,2
Mumbai,Diesel,Manual,First,15.96,3.5,Mahindra,Bolero ZLX,10,0
Coimbatore,Diesel,Manual,First,24.3,10.46,Maruti,Vitara Brezza ZDi,8,1
Pune,Diesel,Manual,First,20.5,4.85,Fiat,Avventura MULTIJET Emotion,12,1
Kochi,Petrol,Manual,First,19.5,5.68,Honda,Amaze S Petrol,10,1
Mumbai,Petrol,Automatic,First,13.7,13.25,Skoda,Superb Elegance 1.8 TSI AT,11,2
Bangalore,Diesel,Automatic,First,14.74,16.0,Jaguar,XF 3.0 Litre S Premium Luxury,15,5
Chennai,Petrol,Manual,First,18.9,3.0,Maruti,Wagon R VXI BSIII,13,0
Kolkata,Petrol,Manual,First,17.0,0.99,Hyundai,Santro Xing XL eRLX Euro III,19,1
Mumbai,Petrol,Automatic,First,14.53,5.0,Toyota,Corolla Altis VL,16,2
Delhi,Petrol,Manual,First,16.1,4.75,Maruti,Swift VXi BSIV,10,1
Bangalore,Petrol,Manual,First,16.47,5.35,Volkswagen,Polo 1.2 MPI Highline,12,0
Hyderabad,Petrol,Manual,First,18.9,5.98,Hyundai,Grand i10 1.2 Kappa Asta,9,1
Chennai,Diesel,Manual,Third,21.5,3.5,Maruti,SX4 ZDI,15,1
Kochi,Petrol,Manual,First,18.9,4.77,Hyundai,Grand i10 1.2 Kappa Magna,8,1
Delhi,Petrol,Manual,First,21.4,5.45,Maruti,Baleno Delta 1.2,10,1
Ahmedabad,Petrol,Automatic,First,20.3,6.85,Tata,Tigor 1.2 Revotron XTA,8,1
Jaipur,Diesel,Automatic,First,26.59,7.3,Maruti,Swift Dzire AMT ZDI,10,0
Pune,Petrol,Manual,First,15.3,1.25,Tata,Indica GLS BS IV,19,0
Chennai,Diesel,Manual,First,22.7,8.25,Maruti,SX4 S Cross DDiS 320 Zeta,11,1
Ahmedabad,Petrol,Manual,First,16.1,2.71,Maruti,Swift VXI BSIII,18,1
Kolkata,Petrol,Manual,First,19.1,3.6,Hyundai,Xcent 1.2 Kappa SX,10,1
Ahmedabad,Petrol,Manual,First,18.5,3.0,Hyundai,i20 1.2 Magna,16,0
Hyderabad,Petrol,Automatic,First,23.1,4.65,Maruti,Celerio VXI AT,10,0
Mumbai,Diesel,Automatic,First,14.84,9.5,Mercedes-Benz,New C-Class C 220 CDI Elegance AT,16,2
Mumbai,Petrol,Manual,First,17.5,2.95,Maruti,Swift Dzire VXi,15,1
Mumbai,Petrol,Manual,First,15.04,3.0,Volkswagen,Vento Petrol Trendline,15,1
Hyderabad,Diesel,Manual,First,25.2,5.95,Maruti,Swift ZDi,11,0
Delhi,Petrol,Automatic,First,14.53,4.0,Toyota,Corolla Altis VL,18,2
Delhi,Petrol,Manual,First,13.5,2.5,Honda,Civic 2006-2010 1.8 V MT,18,2
Kolkata,Petrol,Automatic,First,16.05,11.37,Ford,EcoSport 1.5 Ti VCT AT Titanium BE,9,1
Pune,Diesel,Manual,Second,19.0,2.25,Fiat,Linea Emotion Pack (Diesel),16,1
Jaipur,Petrol,Manual,First,19.81,3.1,Hyundai,i10 Era,13,0
Kochi,Diesel,Automatic,First,11.2,17.18,Volvo,XC60 D5 Inscription,12,3
Jaipur,Petrol,Manual,First,18.6,6.5,Hyundai,i20 1.2 Asta,8,1
Ahmedabad,Diesel,Manual,First,26.0,5.7,Honda,City i DTEC S,12,1
Ahmedabad,Diesel,Manual,First,12.99,8.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,13,1
Chennai,Petrol,Manual,First,25.17,2.6,Renault,KWID RXT,10,0
Hyderabad,Petrol,Manual,First,19.0,2.45,Maruti,A-Star Vxi,17,0
Kochi,Petrol,Automatic,First,14.8,11.57,Mercedes-Benz,B Class B180,12,1
Kolkata,Petrol,Manual,First,18.9,2.3,Maruti,Wagon R LXI BS IV,14,0
Jaipur,Diesel,Manual,First,25.2,5.9,Maruti,Swift VDI BSIV,10,0
Mumbai,Petrol,Automatic,First,17.0,7.2,Hyundai,Verna VTVT 1.6 AT SX Option,11,1
Ahmedabad,Diesel,Automatic,First,22.0,5.9,Hyundai,Verna CRDi 1.6 AT SX Option,13,1
Chennai,Petrol,Manual,Second,16.8,6.0,Honda,City V MT,12,1
Kolkata,Petrol,Manual,First,16.0,1.95,Hyundai,i10 Magna Optional 1.1L,16,0
Coimbatore,Diesel,Manual,First,23.59,6.55,Toyota,Etios GD SP,10,0
Hyderabad,Diesel,Automatic,First,27.03,25.0,Volvo,S60 D4 Momentum,11,3
Kolkata,Diesel,Manual,First,20.0,2.65,Ford,Figo Diesel EXI,14,0
Mumbai,Diesel,Automatic,First,13.0,69.5,Mercedes-Benz,E-Class 2015-2017 E350 CDI Avantgrade,9,4
Chennai,Diesel,Automatic,First,22.69,14.0,BMW,3 Series 320d Luxury Line,14,3
Pune,Petrol,Manual,Second,22.74,2.1,Maruti,Alto 800 VXI,12,0
Hyderabad,Diesel,Manual,First,13.68,20.4,Toyota,Innova Crysta 2.4 VX MT,9,2
Hyderabad,Petrol,Manual,First,18.78,5.68,Volkswagen,Polo 1.0 MPI Trendline,7,0
Mumbai,Petrol,Manual,First,13.24,5.55,Nissan,Terrano XL,12,1
Mumbai,Diesel,Manual,First,13.5,12.75,Mitsubishi,Pajero Sport 4X4,13,3
Mumbai,Petrol,Manual,Second,14.8,3.35,Honda,Civic 2010-2013 1.8 S MT,14,2
Kolkata,Petrol,Manual,First,22.74,1.55,Maruti,Alto 800 LXI,13,0
Coimbatore,Diesel,Manual,Second,20.54,5.9,Volkswagen,Vento Diesel Highline,13,1
Hyderabad,Diesel,Automatic,First,12.35,18.98,Land,Rover Freelander 2 HSE,14,3
Mumbai,Petrol,Manual,First,13.7,11.51,Honda,CR-V 2.0L 2WD MT,12,2
Mumbai,Diesel,Manual,First,20.77,7.75,Maruti,Ertiga VDI,10,1
Chennai,Diesel,Manual,First,12.99,13.9,Toyota,Innova 2.5 GX (Diesel) 7 Seater,10,1
Kolkata,Petrol,Manual,First,15.0,1.35,Tata,Manza Aura Safire,16,1
Mumbai,Diesel,Automatic,Second,12.07,38.0,Audi,Q7 35 TDI Quattro Premium Plus,11,4
Mumbai,Petrol,Automatic,First,17.1,11.6,Hyundai,Verna 1.6 SX VTVT (O) AT,9,1
Hyderabad,Diesel,Automatic,First,21.5,12.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,9,1
Jaipur,Petrol,Manual,First,17.0,3.8,Honda,City 1.5 S MT,15,1
Mumbai,Diesel,Manual,First,20.0,3.25,Ford,Figo Diesel Titanium,12,0
Mumbai,Petrol,Manual,First,18.7,6.4,Honda,Jazz 1.2 VX i VTEC,10,1
Bangalore,Petrol,Manual,Second,16.47,3.95,Volkswagen,Polo Petrol Highline 1.2L,14,0
Delhi,Petrol,Manual,First,17.4,3.57,Honda,City i-VTEC S,16,1
Mumbai,Petrol,Manual,Second,17.7,1.25,Honda,City ZX GXi,21,0
Kolkata,Petrol,Automatic,Second,12.0,12.5,Honda,CR-V 2.4L 4WD AT AVN,13,3
Ahmedabad,Diesel,Automatic,Second,18.12,23.0,BMW,5 Series 2013-2017 520d Luxury Line,12,3
Coimbatore,Diesel,Manual,First,12.05,6.32,Mahindra,Scorpio VLX 2.2 mHawk BSIII,14,1
Kolkata,Diesel,Manual,First,20.54,3.4,Volkswagen,Vento Diesel Comfortline,14,1
Jaipur,Petrol,Manual,Second,17.3,0.77,Maruti,Zen VX,27,0
Jaipur,Petrol,Manual,First,16.1,0.9,Maruti,800 DX BSII,17,0
Delhi,Petrol,Automatic,First,14.28,18.0,Toyota,Corolla Altis 1.8 VL CVT,9,2
Pune,Petrol,Automatic,First,14.59,19.0,BMW,3 Series 328i Sport Line,13,4
Chennai,Petrol,Manual,Third,13.8,1.1,Ford,Ikon 1.3 Flair,19,0
Pune,Petrol,Manual,Second,18.6,2.0,Chevrolet,Beat LT,14,0
Ahmedabad,Diesel,Manual,First,21.43,6.5,Toyota,Corolla Altis 1.4 DG,14,1
Bangalore,Diesel,Manual,First,16.0,9.45,Mahindra,XUV500 W4,12,2
Mumbai,Diesel,Manual,First,24.4,4.0,Hyundai,Xcent 1.1 CRDi Base,10,0
Kochi,Diesel,Automatic,First,13.0,32.25,Mercedes-Benz,E-Class 2015-2017 E250 CDI Avantgarde,9,3
Pune,Petrol,Manual,First,20.36,2.1,Hyundai,i10 Sportz,17,0
Mumbai,Petrol,Automatic,Second,14.28,9.75,Toyota,Corolla Altis VL AT,11,2
Kolkata,Petrol,Manual,First,14.53,6.3,Toyota,Corolla 1.8 J,12,2
Hyderabad,Diesel,Automatic,First,17.32,21.0,Audi,Q3 2.0 TDI Quattro,13,3
Mumbai,Diesel,Manual,First,21.9,4.65,Hyundai,i20 Magna Optional 1.4 CRDi,12,1
Mumbai,Diesel,Automatic,Second,19.27,17.0,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,13,2
Pune,Diesel,Manual,First,21.1,4.35,Maruti,Ritz VDi,13,0
Coimbatore,Diesel,Manual,First,19.67,14.82,Hyundai,Creta 1.6 SX Plus Diesel,9,1
Delhi,Diesel,Automatic,First,13.6,40.0,Jaguar,XE 2.0L Diesel Prestige,8,3
Chennai,Diesel,Manual,First,14.95,6.15,Mahindra,Xylo D4,10,1
Ahmedabad,Diesel,Manual,First,12.99,11.25,Toyota,Innova 2.5 G (Diesel) 7 Seater,12,1
Pune,Petrol,Automatic,First,19.16,32.0,Toyota,Camry 2.5 Hybrid,8,2
Coimbatore,Diesel,Automatic,First,13.22,45.62,Audi,Q5 3.0 TDI Quattro,8,4
Kochi,Diesel,Manual,First,28.4,6.24,Maruti,Swift VDI,9,0
Chennai,Diesel,Manual,First,20.77,4.8,Maruti,Ertiga VDI Limited Edition,11,1
Chennai,Petrol,Manual,Second,16.1,4.5,Maruti,Swift VXi BSIV,12,1
Kochi,Petrol,Manual,First,20.36,3.87,Hyundai,i10 Sportz,11,0
Delhi,Petrol,Manual,First,20.36,2.75,Hyundai,i10 Sportz,13,0
Kochi,Petrol,Manual,First,21.4,6.57,Maruti,Baleno Sigma 1.2,8,1
Jaipur,Petrol,Manual,First,16.36,2.0,Hyundai,Accent Executive,16,1
Ahmedabad,Petrol,Manual,First,19.4,3.65,Honda,Brio S MT,14,1
Hyderabad,Diesel,Manual,First,22.9,6.95,Maruti,Swift ZDi,10,0
Bangalore,Petrol,Manual,First,20.14,5.5,Hyundai,Xcent 1.2 VTVT S,12,1
Kolkata,Diesel,Manual,First,16.0,7.0,Mahindra,XUV500 W8 2WD,13,2
Delhi,Diesel,Automatic,First,13.0,24.0,Mercedes-Benz,E-Class E250 CDI Avantgrade,12,3
Bangalore,Diesel,Automatic,First,19.27,32.5,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,10,2
Kochi,Diesel,Manual,First,21.27,6.45,Hyundai,i20 Asta 1.4 CRDi,11,1
Mumbai,Diesel,Automatic,First,19.3,15.75,Skoda,Octavia Elegance 2.0 TDI AT,11,2
Mumbai,Petrol,Manual,First,17.0,5.5,Honda,City 1.5 S MT,12,1
Kochi,Diesel,Automatic,First,12.55,19.03,Toyota,Fortuner 4x2 AT,11,2
Kolkata,Diesel,Automatic,First,17.32,15.25,Audi,Q3 2.0 TDI Quattro,13,3
Hyderabad,Petrol,Manual,First,20.92,2.4,Maruti,Alto K10 2010-2014 VXI,14,0
Chennai,Diesel,Manual,First,23.03,2.3,Tata,Indigo eCS LX BSIV,15,0
Kochi,Diesel,Automatic,First,17.11,14.35,Audi,A4 2.0 TDI 177 Bhp Premium Plus,12,3
Kochi,Petrol,Automatic,First,18.0,11.97,Honda,City i-VTEC CVT VX,8,1
Ahmedabad,Diesel,Manual,First,14.24,18.9,Toyota,Fortuner 2.8 2WD MT,11,3
Ahmedabad,Petrol,Manual,First,18.9,5.4,Hyundai,Grand i10 Sportz,9,1
Hyderabad,Petrol,Manual,First,15.1,2.95,Maruti,Eeco 7 Seater Standard,11,0
Bangalore,Petrol,Manual,First,16.47,5.1,Volkswagen,Polo Petrol Highline 1.2L,13,0
Jaipur,Petrol,Manual,First,18.9,1.5,Maruti,Wagon R LXI Minor,20,0
Bangalore,Petrol,Manual,First,17.0,4.9,Honda,City 1.5 V MT,15,1
Mumbai,Petrol,Manual,First,14.8,2.9,Honda,Civic 2010-2013 1.8 S MT,16,2
Pune,Petrol,Manual,First,13.0,1.15,Honda,City 1.5 EXI,21,1
Kolkata,Petrol,Manual,First,18.5,2.3,Hyundai,i20 1.2 Magna,16,0
Kochi,Diesel,Manual,First,24.0,5.99,Hyundai,Grand i10 CRDi Sportz Celebration Edition,8,0
Pune,Petrol,Automatic,Third,14.4,3.4,Volkswagen,Vento Petrol Highline AT,15,1
Kolkata,Petrol,Manual,First,20.36,1.7,Hyundai,i10 Sportz 1.2,17,0
Kolkata,Petrol,Manual,First,17.0,1.99,Hyundai,i20 Asta,17,0
Pune,Petrol,Manual,First,18.6,2.5,Chevrolet,Beat LS,14,0
Hyderabad,Diesel,Manual,First,22.07,4.85,Volkswagen,Polo Diesel Highline 1.2L,13,0
Hyderabad,Petrol,Manual,First,15.6,2.65,Ford,Figo Petrol LXI,16,0
Kochi,Petrol,Automatic,First,9.9,27.35,Audi,TT 2.0 TFSI,12,3
Jaipur,Diesel,Manual,Second,25.1,6.9,Honda,City i DTEC VX,11,1
Hyderabad,Diesel,Manual,First,20.0,3.5,Ford,Figo Diesel Titanium,13,0
Delhi,Diesel,Manual,First,12.99,12.5,Toyota,Innova 2.5 ZX Diesel 7 Seater,11,1
Delhi,Petrol,Automatic,First,19.12,9.2,Maruti,Ciaz 1.4 AT Alpha,9,1
Mumbai,Petrol,Automatic,First,18.9,4.9,Hyundai,Grand i10 AT Asta,11,1
Kochi,Petrol,Manual,First,18.88,5.55,Ford,EcoSport 1.0 Ecoboost Titanium Plus BE,12,1
Ahmedabad,Petrol,Automatic,First,14.7,13.5,Skoda,Octavia Ambition 1.8 TSI AT,12,3
Kolkata,Diesel,Manual,First,20.4,2.6,Fiat,Linea Emotion (Diesel),16,1
Jaipur,Petrol,Manual,First,16.1,4.5,Maruti,Swift Lxi BSIII,11,1
Delhi,Diesel,Automatic,Second,11.8,34.0,Land,Rover Discovery 4 TDV6 SE,13,3
Hyderabad,Diesel,Manual,First,12.8,12.0,Toyota,Innova 2.5 V Diesel 7-seater,14,1
Mumbai,Diesel,Manual,First,28.4,5.25,Maruti,Swift LDI,11,0
Kochi,Diesel,Automatic,First,17.68,21.56,Audi,A6 2011-2015 2.0 TDI Premium Plus,12,3
Coimbatore,Diesel,Automatic,First,22.48,24.68,BMW,5 Series 520d Luxury Line,14,3
Delhi,Petrol,Manual,First,18.5,3.67,Hyundai,i20 Magna Optional 1.2,13,1
Mumbai,Diesel,Automatic,First,17.05,29.5,BMW,X1 M Sport sDrive 20d,10,3
Delhi,Petrol,Manual,First,17.6,3.1,Toyota,Etios G,14,1
Ahmedabad,Diesel,Manual,First,17.0,2.9,Tata,Indigo LX,11,0
Mumbai,Petrol,Automatic,First,10.98,15.95,Volkswagen,Beetle 2.0,17,1
Hyderabad,Diesel,Manual,First,19.7,4.5,Volkswagen,Polo GT TDI,15,1
Delhi,Diesel,Manual,First,24.0,3.49,Hyundai,Grand i10 CRDi Magna,12,0
Delhi,Diesel,Manual,First,25.2,4.25,Maruti,Swift VDI BSIV,12,0
Chennai,Diesel,Manual,Second,24.0,1.9,Hyundai,Verna CRDi 1.4 E,18,1
Mumbai,Diesel,Automatic,First,16.73,16.57,BMW,5 Series 2003-2012 525d,15,3
Bangalore,Petrol,Manual,First,17.0,5.75,Honda,City 1.5 S MT,14,1
Delhi,Diesel,Automatic,Second,16.55,14.0,Audi,A4 2.0 TDI,13,2
Jaipur,Diesel,Manual,Second,19.5,2.5,Fiat,Linea Classic Plus 1.3 Multijet,13,0
Ahmedabad,Petrol,Manual,First,13.0,1.2,Honda,City 1.3 EXI,24,1
Pune,Petrol,Manual,Second,15.5,0.85,Fiat,Petra 1.2 EL,21,1
Kochi,Diesel,Automatic,First,22.69,13.95,BMW,3 Series 320d Luxury Line,13,3
Chennai,Petrol,Manual,First,16.6,1.6,Ford,Fiesta 1.4 Duratec EXI,19,0
Coimbatore,Petrol,Automatic,First,21.9,3.6,Tata,Nano XTA,10,0
Coimbatore,Petrol,Manual,First,20.89,6.06,Maruti,Ignis 1.2 Delta,7,1
Coimbatore,Petrol,Manual,Second,17.5,5.29,Maruti,Swift Dzire ZXi,13,1
Jaipur,Diesel,Manual,First,22.7,5.75,Ford,Ecosport 1.5 DV5 MT Titanium,12,1
Coimbatore,Petrol,Manual,First,19.1,5.72,Maruti,Swift Dzire VXI,12,1
Kochi,Petrol,Automatic,First,16.95,4.39,Hyundai,i10 Sportz AT,12,0
Coimbatore,Diesel,Manual,First,15.1,11.05,Mahindra,XUV500 W6 2WD,10,2
Delhi,Diesel,Manual,Second,22.54,4.83,Hyundai,i20 Magna 1.4 CRDi,11,1
Chennai,Diesel,Manual,Second,21.27,4.5,Hyundai,i20 Asta 1.4 CRDi,14,1
Mumbai,Diesel,Automatic,Second,16.46,19.5,BMW,7 Series 730Ld,15,4
Mumbai,Petrol,Automatic,First,14.3,8.75,Skoda,Rapid 1.6 MPI AT Style Plus,9,1
Mumbai,Diesel,Automatic,First,14.75,67.0,Audi,Q7 45 TDI Quattro Technology,10,4
Kochi,Petrol,Manual,First,17.4,8.4,Honda,City i VTEC VX,10,1
Mumbai,Petrol,Manual,First,19.1,4.99,Hyundai,Xcent 1.2 Kappa SX,10,1
Coimbatore,Diesel,Manual,First,26.0,8.18,Honda,City i DTec E,10,1
Pune,Petrol,Manual,First,18.4,2.9,Honda,Brio S Option MT,14,1
Jaipur,Diesel,Manual,First,28.09,7.1,Maruti,Ciaz ZDi Plus SHVS,11,1
Pune,Diesel,Manual,First,26.59,7.05,Maruti,Swift Dzire VDI Optional,10,0
Pune,Petrol,Automatic,First,11.1,17.5,Honda,CR-V 2.4L 4WD AT,11,2
Mumbai,Petrol,Automatic,Second,14.53,3.41,Toyota,Corolla Altis 2008-2013 1.8 VL AT,18,2
Coimbatore,Petrol,Manual,First,17.0,5.68,Honda,City 1.5 V MT,14,1
Bangalore,Diesel,Manual,First,12.05,4.1,Mahindra,Scorpio LX BS IV,19,1
Delhi,Petrol,Manual,First,13.4,4.0,Skoda,Laura 1.8 TSI Ambiente,15,2
Hyderabad,Diesel,Automatic,First,18.88,30.0,BMW,3 Series 320d Sport Line,11,3
Chennai,Petrol,Manual,First,15.0,1.8,Maruti,SX4 Zxi BSIII,19,1
Kochi,Petrol,Manual,First,20.73,6.93,Maruti,Ciaz VXi Plus,11,1
Bangalore,Diesel,Automatic,First,10.2,70.0,Land,Rover Range Rover 3.6 TDV8 Vogue SE Diesel,14,5
Ahmedabad,Diesel,Manual,First,12.99,7.9,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,13,1
Chennai,Diesel,Automatic,First,13.01,14.4,Hyundai,Santa Fe 4WD AT,12,3
Mumbai,Petrol,Automatic,Second,11.74,13.5,Mercedes-Benz,New C-Class C250 Avantgarde,15,3
Coimbatore,Petrol,Manual,First,19.7,2.88,Maruti,Alto LXi,14,0
Kolkata,Petrol,Manual,First,24.7,2.15,Maruti,Alto 800 2016-2019 LXI,10,0
Pune,Petrol,Manual,First,16.95,3.75,Nissan,Sunny 2011-2014 XV,13,1
Mumbai,Petrol,Manual,First,24.7,3.6,Maruti,Alto 800 2016-2019 VXI,7,0
Kolkata,Petrol,Manual,First,24.07,3.6,Maruti,Alto K10 VXI,8,0
Coimbatore,Petrol,Automatic,First,18.9,7.55,Hyundai,Grand i10 1.2 Kappa Sportz AT,8,1
Kolkata,Diesel,Manual,First,24.2,4.7,Honda,Mobilio S i DTEC,11,1
Jaipur,Diesel,Manual,Second,18.8,1.6,Tata,Manza Aqua Quadrajet,16,1
Pune,Diesel,Manual,First,16.52,3.34,Chevrolet,Optra Magnum 2.0 LT,15,1
Kochi,Petrol,Automatic,First,18.0,9.1,Honda,City i VTEC CVT VX,10,1
Kochi,Petrol,Manual,First,18.9,6.17,Hyundai,Grand i10 1.2 Kappa Sportz,7,1
Hyderabad,Diesel,Manual,First,22.0,2.5,Hyundai,Verna CRDi 1.6 SX,18,1
Kolkata,Petrol,Manual,First,18.44,3.0,Nissan,Micra XL,10,0
Jaipur,Diesel,Manual,First,22.32,5.75,Hyundai,Verna 1.6 SX,14,1
Bangalore,Petrol,Manual,First,15.29,10.75,Hyundai,Creta 1.6 VTVT E Plus,9,1
Jaipur,Petrol,Manual,Second,20.51,2.85,Maruti,Wagon R VXI BS IV,13,0
Chennai,Petrol,Automatic,First,10.2,6.5,Honda,Accord 2.4 Elegance A/T,18,3
Bangalore,Petrol,Automatic,First,16.8,9.45,Honda,City 1.5 S AT,10,1
Delhi,Diesel,Manual,First,27.39,6.75,Maruti,Baleno Alpha 1.3,10,0
Coimbatore,Diesel,Manual,First,26.0,7.75,Honda,City i DTec V,9,1
Kochi,Diesel,Manual,First,22.54,4.4,Hyundai,i20 Era 1.4 CRDi,12,1
Jaipur,Diesel,Automatic,First,13.0,42.0,Mercedes-Benz,E-Class 2015-2017 E350 Edition E,11,4
Kochi,Diesel,Manual,First,19.01,5.67,Nissan,Terrano XV 110 PS,12,1
Bangalore,Diesel,Automatic,First,19.6,11.5,Renault,Duster 110PS Diesel RxZ AMT,10,1
Pune,Petrol,Manual,First,18.9,1.69,Maruti,Wagon R LXI Minor,17,0
Jaipur,Diesel,Manual,Second,17.1,1.8,Hyundai,Getz 1.5 CRDi GVS,17,1
Mumbai,Petrol,Manual,First,18.5,3.2,Maruti,Ritz LXi,10,1
Kochi,Diesel,Automatic,First,22.48,45.86,BMW,5 Series 520d Sport Line,7,3
Hyderabad,Petrol,Manual,First,16.47,5.1,Volkswagen,Polo 1.2 MPI Highline,10,0
Pune,Diesel,Manual,First,17.8,4.85,Maruti,Swift VDI BSIV,13,1
Mumbai,Petrol,Manual,Second,15.6,2.4,Ford,Figo Petrol ZXI,16,0
Hyderabad,Diesel,Automatic,First,18.88,22.0,BMW,3 Series 320d Luxury Line,13,3
Delhi,Diesel,Manual,First,22.32,4.28,Hyundai,Verna 1.6 SX CRDi (O),14,1
Coimbatore,Diesel,Manual,First,20.45,5.67,Renault,Duster 85PS Diesel RxL,11,1
Bangalore,Petrol,Automatic,First,18.9,6.2,Hyundai,Grand i10 1.2 Kappa Magna AT,8,1
Bangalore,Diesel,Automatic,Second,17.05,14.49,BMW,X1 sDrive20d,13,3
Pune,Diesel,Manual,First,21.1,3.0,Maruti,Ritz VDi,16,0
Jaipur,Petrol,Manual,Second,19.81,2.25,Hyundai,i10 Era 1.1 iTech SE,16,0
Kochi,Diesel,Automatic,First,15.97,43.78,BMW,X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,10,4
Kochi,Petrol,Manual,First,16.8,11.45,Honda,City V MT Exclusive,7,1
Delhi,Diesel,Automatic,First,11.18,10.5,Mahindra,Ssangyong Rexton RX7,12,3
Coimbatore,Diesel,Manual,First,22.7,7.48,Ford,Ecosport 1.5 DV5 MT Titanium Optional,11,1
Coimbatore,Petrol,Manual,First,19.7,3.1,Maruti,Alto LXi,16,0
Mumbai,Petrol,Manual,First,16.47,2.55,Volkswagen,Polo 1.2 MPI Highline,15,0
Jaipur,Diesel,Manual,First,22.07,3.5,Volkswagen,Polo Diesel Comfortline 1.2L,13,0
Kolkata,Diesel,Manual,First,22.07,2.59,Volkswagen,Polo Diesel Highline 1.2L,14,0
Kolkata,Diesel,Manual,First,20.77,5.45,Maruti,Ertiga ZDI,13,1
Kolkata,Diesel,Manual,First,22.77,6.0,Ford,EcoSport 1.5 TDCi Ambiente,9,1
Kolkata,Diesel,Automatic,First,11.36,15.49,Toyota,Innova Crysta 2.8 ZX AT,10,2
Mumbai,Petrol,Automatic,Second,10.8,12.5,BMW,5 Series 523i Sedan,16,2
Kolkata,Diesel,Manual,First,23.4,4.75,Maruti,Swift Dzire Tour LDI,9,0
Mumbai,Petrol,Manual,First,18.88,7.85,Ford,Ecosport 1.0 Ecoboost Platinum Edition,9,1
Ahmedabad,Diesel,Manual,First,16.8,6.0,Hyundai,Verna CRDi SX,13,1
Mumbai,Petrol,Manual,First,17.57,4.0,Tata,Zest Revotron 1.2T XM,10,1
Mumbai,Diesel,Automatic,First,14.4,28.75,Audi,A7 2011-2015 3.0 TDI Quattro,15,4
Pune,Diesel,Manual,First,22.3,2.5,Tata,Indica Vista Quadrajet VX,14,0
Delhi,Diesel,Manual,First,26.59,5.5,Maruti,Swift Dzire VDI,11,0
Kolkata,Petrol,Manual,First,16.0,1.59,Fiat,Linea Emotion,16,1
Mumbai,Petrol,Manual,First,18.6,6.22,Hyundai,i20 1.2 Spotz,9,1
Kolkata,Petrol,Manual,First,21.1,2.75,Hyundai,EON Era Plus,10,0
Pune,Diesel,Automatic,First,17.9,25.0,Mercedes-Benz,GLA Class 200 CDI SPORT,9,2
Delhi,Petrol,Manual,First,23.1,2.8,Maruti,Celerio VXI,12,0
