Location,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Price,Model,Brand,Power_bins
Kochi,2017,Petrol,Manual,First,18.6,1197.0,81.83,7.14,i20 Asta Option 1.2,Hyundai,1
Mumbai,2012,Petrol,Manual,First,18.3,1197.0,113.25304969366915,2.44,Etios Liva G,Toyota,1
Jaipur,2012,Petrol,Manual,Third,17.0,1197.0,80.0,3.5,i20 1.2 Sportz,Hyundai,0
Chennai,2017,Diesel,Manual,First,22.54,1396.0,88.73,7.3,i20 1.4 Asta,Hyundai,1
Kolkata,2014,Petrol,Manual,First,20.51,998.0,67.04,2.75,Wagon R LXI Optional,Maruti,0
Bangalore,2017,Diesel,Manual,Second,22.54,1396.0,88.73,8.2,i20 1.4 Asta Option,Hyundai,1
Mumbai,2015,Petrol,Automatic,First,17.21,1197.0,103.6,6.51,Polo GT TSI,Volkswagen,1
Pune,2015,Diesel,Manual,First,20.0,1399.0,68.05,4.25,Figo Diesel Titanium,Ford,0
Coimbatore,2014,Petrol,Manual,Second,18.6,1197.0,85.8,6.21,Swift ZXI,Maruti,1
Kochi,2016,Diesel,Manual,First,24.0,1120.0,70.0,4.58,Grand i10 CRDi Magna,Hyundai,0
Chennai,2016,Diesel,Manual,First,14.02,2179.0,118.3,7.5,Xylo H4,Mahindra,1
Coimbatore,2014,Petrol,Manual,First,19.81,1086.0,68.05,4.09,i10 Magna 1.1,Hyundai,0
Mumbai,2014,Diesel,Automatic,First,19.3,1968.0,141.0,10.75,Octavia Elegance 2.0 TDI AT,Skoda,2
Mumbai,2014,Diesel,Automatic,First,15.97,2993.0,258.0,41.5,X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,4
Hyderabad,2014,Petrol,Automatic,First,23.1,998.0,67.04,4.4,Celerio VXI AT,Maruti,0
Jaipur,2013,Diesel,Manual,Second,20.54,1598.0,103.6,6.25,Vento Diesel Comfortline,Volkswagen,1
Pune,2011,Diesel,Automatic,Second,16.07,1995.0,181.0,10.5,3 Series 320d Highline,BMW,3
Mumbai,2014,Diesel,Manual,First,20.77,1248.0,88.8,7.25,Ertiga ZDI,Maruti,1
Hyderabad,2013,Diesel,Manual,First,20.0,1399.0,68.05,3.2,Figo Diesel ZXI,Ford,0
Mumbai,2014,Petrol,Manual,First,16.47,1198.0,74.0,3.95,Polo 1.2 MPI Highline,Volkswagen,0
Coimbatore,2009,Diesel,Automatic,Second,16.77,2967.0,241.38,12.07,A6 3.0 TDI quattro,Audi,4
Pune,2017,Diesel,Manual,First,13.68,2393.0,147.8,18.6,Innova Crysta 2.4 ZX MT,Toyota,2
Delhi,2013,Diesel,Automatic,First,22.32,1582.0,126.3,5.7,Verna 1.6 CRDi EX AT,Hyundai,1
Kolkata,2013,Petrol,Manual,First,17.92,1086.0,62.1,1.75,Santro Xing GL Plus,Hyundai,0
Delhi,2011,Diesel,Automatic,Second,16.55,1968.0,147.51,10.99,A4 2.0 TDI,Audi,2
Kolkata,2012,Diesel,Automatic,First,16.55,1968.0,147.51,14.5,A4 2.0 TDI,Audi,2
Jaipur,2009,Diesel,Manual,First,17.0,1896.0,105.0,3.11,Laura 1.9 TDI MT Ambiente,Skoda,1
Coimbatore,2015,Petrol,Automatic,First,13.7,1997.0,153.86,13.96,CR-V 2.0L 2WD AT,Honda,2
Coimbatore,2015,Diesel,Manual,First,22.32,1582.0,126.32,7.11,Verna 1.6 SX CRDi (O),Hyundai,1
Chennai,2014,Diesel,Manual,First,24.5,1498.0,98.6,6.9,Mobilio RS i DTEC,Honda,1
Coimbatore,2018,Petrol,Manual,First,18.6,1197.0,81.83,7.77,i20 1.2 Asta Option,Hyundai,1
Kolkata,2011,Diesel,Manual,Second,12.8,2494.0,102.0,5.5,Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,1
Hyderabad,2014,Petrol,Manual,First,18.6,1197.0,81.83,5.35,i20 Magna 1.2,Hyundai,1
Chennai,2011,Diesel,Manual,Second,13.6,2523.0,63.0,4.5,Bolero VLX BS IV,Mahindra,0
Jaipur,2014,Diesel,Manual,First,20.34,1498.0,103.2,4.75,Vento 1.5 TDI Comfortline,Volkswagen,1
Coimbatore,2015,Diesel,Automatic,First,16.36,2179.0,187.7,32.8,XF 2.2 Litre Luxury,Jaguar,3
Mumbai,2005,Petrol,Manual,First,17.3,993.0,60.0,0.7,Zen LXi - BS III,Maruti,0
Coimbatore,2018,Diesel,Automatic,First,13.0,2987.0,258.0,50.29,E-Class Facelift,Mercedes-Benz,4
Mumbai,2010,Diesel,Manual,Second,11.5,2982.0,171.0,10.99,Fortuner 3.0 Diesel,Toyota,2
Coimbatore,2015,Petrol,Automatic,First,18.9,1197.0,82.0,5.57,Grand i10 AT Asta,Hyundai,1
Jaipur,2018,Diesel,Manual,First,25.4,1186.0,73.97,5.9,Xcent 1.2 CRDi S,Hyundai,0
Coimbatore,2016,Petrol,Manual,First,15.29,1591.0,121.3,9.43,Creta 1.6 VTVT S,Hyundai,1
Bangalore,2010,Petrol,Manual,First,20.36,1197.0,78.9,2.9,i10 Sportz,Hyundai,0
Delhi,2016,Petrol,Manual,First,19.4,1198.0,86.8,3.68,Brio S MT,Honda,1
Coimbatore,2015,Diesel,Automatic,First,12.55,2982.0,168.5,21.67,Fortuner 4x2 AT,Toyota,2
Ahmedabad,2011,Diesel,Automatic,First,16.55,1968.0,140.0,12.5,A4 2.0 TDI Multitronic,Audi,2
Kochi,2018,Diesel,Automatic,First,11.36,2755.0,171.5,19.92,Innova Crysta 2.8 ZX AT,Toyota,2
Jaipur,2014,Diesel,Manual,First,25.1,1498.0,98.6,6.75,City i DTEC VX,Honda,1
Kochi,2015,Diesel,Manual,First,25.1,1498.0,98.6,6.96,City i DTEC VX,Honda,1
Jaipur,2017,Petrol,Manual,First,21.7,999.0,67.0,3.25,KWID 1.0 RXT Optional,Renault,0
Hyderabad,2018,Diesel,Manual,First,28.4,1248.0,74.0,8.65,Swift DDiS ZDI Plus,Maruti,0
Pune,2017,Petrol,Automatic,First,23.1,998.0,67.04,5.0,Celerio VXI Optional AMT,Maruti,0
Delhi,2011,Diesel,Manual,First,15.1,2179.0,140.0,5.5,XUV500 W8 2WD,Mahindra,2
Jaipur,2010,Petrol,Manual,Second,20.36,1197.0,78.9,2.6,i10 Magna,Hyundai,0
Kochi,2014,Petrol,Manual,First,19.81,1086.0,68.05,3.41,i10 Magna 1.1,Hyundai,0
Kolkata,2011,Petrol,Manual,First,22.0,1197.0,81.8,2.7,Dzire VXI,Maruti,1
Chennai,2008,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.5,Grand Vitara AT,Maruti,2
Kolkata,2012,Petrol,Automatic,First,14.33,1984.0,226.6,35.0,TT 40 TFSI,Audi,4
Mumbai,2011,Petrol,Automatic,Second,14.74,1991.0,184.0,9.75,New C-Class C 200 CGI,Mercedes-Benz,3
Mumbai,2013,Diesel,Manual,First,21.64,1461.0,84.8,4.25,Sunny 2011-2014 Diesel XV,Nissan,1
Ahmedabad,2015,Petrol,Manual,First,18.9,998.0,67.1,3.2,Wagon R LXI,Maruti,0
Bangalore,2014,Diesel,Manual,Second,23.4,1248.0,74.0,6.85,Swift Dzire ZDI,Maruti,0
Delhi,2015,Diesel,Manual,First,25.8,1498.0,98.6,4.5,Amaze S i-Dtech,Honda,1
Delhi,2012,Diesel,Manual,First,28.4,1248.0,74.0,3.55,Swift ZDI,Maruti,0
Hyderabad,2008,Diesel,Manual,First,10.5,2609.0,120.0,3.6,Scorpio LX 2.6 Turbo,Mahindra,1
Kochi,2015,Diesel,Automatic,First,13.0,2143.0,201.1,21.8,E-Class E250 CDI Avantgrade,Mercedes-Benz,3
Mumbai,2012,Diesel,Manual,Second,13.0,2982.0,168.5,13.5,Fortuner 4x2 Manual,Toyota,2
Delhi,2010,Petrol,Manual,Second,16.8,1497.0,116.3,3.75,City V MT,Honda,1
Pune,2018,Petrol,Automatic,First,19.16,2494.0,158.2,32.0,Camry Hybrid,Toyota,2
Coimbatore,2016,Diesel,Manual,First,26.0,1498.0,98.6,8.07,City i DTec V,Honda,1
Kochi,2012,Diesel,Manual,First,19.33,1968.0,138.1,5.64,Jetta 2012-2014 2.0L TDI Trendline,Volkswagen,2
Hyderabad,2013,Diesel,Automatic,First,17.68,1968.0,174.33,23.99,A6 2011-2015 2.0 TDI,Audi,3
Coimbatore,2016,Diesel,Manual,First,20.77,1248.0,88.76,7.5,Ertiga VDI,Maruti,1
Jaipur,2016,Diesel,Automatic,First,19.27,2143.0,167.62,27.0,New C-Class C 220 CDI Style,Mercedes-Benz,2
Mumbai,2008,Diesel,Manual,Second,19.3,1248.0,73.9,2.85,Swift Dzire Vdi BSIV,Maruti,0
Pune,2012,Diesel,Manual,First,19.01,1461.0,108.45,6.35,Duster 110PS Diesel RxZ Pack,Renault,1
Hyderabad,2010,Diesel,Manual,First,21.1,1248.0,73.9,3.3,Ritz VDi,Maruti,0
Bangalore,2013,Petrol,Manual,First,19.1,1197.0,85.8,5.0,Swift Dzire VXI,Maruti,1
Coimbatore,2014,Diesel,Manual,First,22.9,1248.0,74.0,6.46,Swift ZDi,Maruti,0
Jaipur,2017,Petrol,Manual,First,21.1,814.0,55.2,3.75,EON Sportz,Hyundai,0
Kochi,2003,Petrol,Manual,Third,17.3,993.0,60.0,1.52,Zen VXI BSII,Maruti,0
Coimbatore,2012,Petrol,Manual,First,15.1,1196.0,73.0,3.61,Eeco 7 Seater Standard,Maruti,0
Coimbatore,2017,Diesel,Automatic,First,14.16,1968.0,174.3,43.74,Q5 30 TDI quattro Premium,Audi,3
Chennai,2014,Diesel,Automatic,First,15.73,1968.0,174.33,20.0,Q3 2.0 TDI,Audi,3
Hyderabad,2010,Diesel,Manual,First,19.3,1248.0,73.9,3.65,Swift Dzire VDi,Maruti,0
Mumbai,2013,Diesel,Manual,First,14.07,1978.0,83.1,5.25,Sumo DX,Tata,1
Hyderabad,2016,Diesel,Automatic,First,15.97,2993.0,258.0,58.0,X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,4
Mumbai,2015,Petrol,Automatic,First,18.0,1497.0,117.3,8.65,City i-VTEC CVT VX,Honda,1
Delhi,2015,Diesel,Manual,First,25.0,1396.0,69.01,2.5,Indigo eCS eLX BS IV,Tata,0
Chennai,2014,Petrol,Automatic,First,16.93,1197.0,103.6,7.75,Vento TSI,Volkswagen,1
Bangalore,2015,Petrol,Manual,First,23.1,998.0,67.04,4.15,Celerio VXI,Maruti,0
Delhi,2011,Diesel,Manual,First,11.5,2982.0,171.0,10.85,Fortuner 3.0 Diesel,Toyota,2
Delhi,2010,Petrol,Automatic,Second,11.3,2360.0,170.0,5.53,Outlander 2.4,Mitsubishi,2
Pune,2014,Diesel,Automatic,First,15.5,1896.0,105.0,11.5,Jetta 2007-2011 1.9 Highline TDI,Volkswagen,1
Hyderabad,2010,Petrol,Manual,First,9.0,3436.0,113.25304969366915,40.0,Cayman 2009-2012 S,Porsche,1
Kolkata,2015,Diesel,Manual,First,19.67,1582.0,126.2,9.25,Creta 1.6 CRDi SX,Hyundai,1
Pune,2011,Petrol,Manual,First,17.5,1198.0,75.0,2.29,Fabia 1.2 MPI Ambiente Petrol,Skoda,0
Chennai,2015,Diesel,Manual,First,22.77,1498.0,98.59,7.0,EcoSport 1.5 TDCi Titanium,Ford,1
Bangalore,2007,Petrol,Manual,Second,18.2,1061.0,64.0,1.65,Zen Estilo 1.1 LXI BSIII,Maruti,0
Ahmedabad,2017,Petrol,Manual,First,20.73,1373.0,91.1,8.25,Ciaz 1.4 Delta,Maruti,1
Kochi,2011,Petrol,Automatic,First,14.74,1991.0,181.03,9.14,New C-Class C 200 Avantgarde Edition C,Mercedes-Benz,3
Hyderabad,2016,Petrol,Manual,First,17.8,1198.0,86.7,6.5,Amaze SX i-VTEC,Honda,1
Kolkata,2012,Diesel,Manual,First,23.59,1364.0,113.25304969366915,2.95,Etios GD,Toyota,1
Jaipur,2015,Diesel,Manual,First,19.87,1461.0,83.8,5.75,Duster 85PS Diesel RxL,Renault,1
Kolkata,2011,Petrol,Manual,Second,16.47,1198.0,73.9,2.1,Polo Petrol Highline 1.2L,Volkswagen,0
Coimbatore,2017,Diesel,Manual,First,19.67,1582.0,126.2,13.55,Creta 1.6 SX Plus Diesel,Hyundai,1
Kolkata,2012,Diesel,Automatic,First,14.74,2993.0,270.9,20.5,XF Diesel,Jaguar,5
Mumbai,2017,Diesel,Manual,First,16.3,1956.0,170.0,20.0,Compass 2.0 Limited 4X4,Jeep,2
Kochi,2018,Diesel,Automatic,First,15.68,1999.0,177.0,59.72,Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Land,3
Kolkata,2016,Diesel,Manual,First,27.39,1248.0,74.0,6.5,Baleno Alpha Diesel,Maruti,0
Ahmedabad,2016,Diesel,Manual,First,28.09,1248.0,88.5,7.5,Ciaz ZDi SHVS,Maruti,1
Jaipur,2007,Petrol,Manual,Second,15.0,1586.0,104.68,2.15,SX4 Vxi BSIII,Maruti,1
Coimbatore,2015,Diesel,Manual,First,22.7,1582.0,126.24,8.44,Elantra CRDi SX,Hyundai,1
Bangalore,2013,Diesel,Manual,First,13.5,2477.0,175.56,12.49,Pajero Sport 4X4,Mitsubishi,3
Pune,2017,Petrol,Manual,First,17.0,1198.0,73.75,5.48,Ameo 1.2 MPI Comfortline,Volkswagen,0
Hyderabad,2013,Petrol,Manual,First,18.5,1197.0,85.8,4.2,Ritz VXi,Maruti,1
Hyderabad,2013,Diesel,Manual,First,16.8,1493.0,110.0,7.2,Verna CRDi SX,Hyundai,1
Jaipur,2014,Diesel,Manual,First,23.4,1248.0,74.0,4.8,Swift Dzire Tour LDI,Maruti,0
Kochi,2017,Diesel,Manual,First,25.32,1198.0,77.0,5.83,KUV 100 mFALCON D75 K6,Mahindra,0
Coimbatore,2018,Diesel,Manual,First,13.68,2393.0,147.8,18.39,Innova Crysta 2.4 ZX MT,Toyota,2
Pune,2016,Petrol,Manual,First,21.4,1197.0,83.1,5.85,Baleno Delta 1.2,Maruti,1
Mumbai,2016,Diesel,Manual,First,27.3,1498.0,98.6,6.21,Jazz VX Diesel,Honda,1
Delhi,2013,Petrol,Manual,First,17.0,1197.0,80.0,3.65,i20 1.2 Asta,Hyundai,0
Delhi,2012,Diesel,Manual,First,23.0,1396.0,90.0,3.7,i20 Sportz Diesel,Hyundai,1
Pune,2015,Diesel,Automatic,First,19.27,2143.0,167.62,30.0,New C-Class C 220d Avantgarde Edition C,Mercedes-Benz,2
Kochi,2016,Petrol,Manual,First,19.1,1197.0,82.0,4.85,Xcent 1.2 Kappa Base,Hyundai,1
Coimbatore,2017,Petrol,Automatic,First,18.9,1197.0,82.0,6.93,Grand i10 AT Asta,Hyundai,1
Kolkata,2016,Petrol,Manual,First,22.74,796.0,47.3,2.6,Alto 800 VXI,Maruti,0
Kolkata,2014,Petrol,Manual,First,18.2,1199.0,82.5,1.89,Sail Hatchback 1.2 LS,Chevrolet,1
Mumbai,2012,Petrol,Automatic,First,13.7,1798.0,157.75,10.0,Superb Elegance 1.8 TSI AT,Skoda,2
Kolkata,2009,Diesel,Automatic,First,16.55,1968.0,147.51,9.95,A4 2.0 TDI,Audi,2
Mumbai,2014,Diesel,Manual,Second,12.8,2494.0,102.0,9.45,Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,1
Coimbatore,2017,Diesel,Automatic,First,17.9,2143.0,136.0,28.25,CLA 200 CDI Sport,Mercedes-Benz,2
Jaipur,2008,Petrol,Manual,Second,19.81,1086.0,68.05,1.8,i10 Era,Hyundai,0
Kolkata,2008,Petrol,Manual,Second,17.5,1298.0,85.8,1.4,Swift Dzire VXi,Maruti,1
Ahmedabad,2015,Diesel,Automatic,First,21.66,1498.0,103.52,7.25,Rapid 1.5 TDI AT Ambition,Skoda,1
Hyderabad,2012,Diesel,Manual,First,21.1,1248.0,73.9,3.6,Ritz VDi,Maruti,0
Jaipur,2004,Petrol,Manual,Second,14.4,1599.0,94.0,1.2,Accent GLS 1.6,Hyundai,1
Coimbatore,2014,Petrol,Manual,Second,17.8,1198.0,86.7,4.94,Amaze SX i-VTEC,Honda,1
Delhi,2007,Petrol,Manual,Second,18.9,998.0,67.1,1.25,Wagon R LXI,Maruti,0
Chennai,2013,Diesel,Manual,Second,22.07,1199.0,73.9,4.8,Polo Diesel Comfortline 1.2L,Volkswagen,0
Kochi,2019,Diesel,Automatic,First,12.62,2198.0,158.0,31.15,Endeavour 2.2 Trend AT 4X2,Ford,2
Pune,2011,Petrol,Manual,Second,17.0,1197.0,80.0,3.3,i20 1.2 Sportz,Hyundai,0
Bangalore,2012,Diesel,Manual,First,25.44,936.0,57.6,2.4,Beat Diesel PS,Chevrolet,0
Kolkata,2010,Petrol,Manual,First,14.8,1799.0,130.2,2.0,Civic 2010-2013 1.8 V MT,Honda,2
Pune,2014,Petrol,Manual,First,20.51,998.0,67.04,3.1,Wagon R VXI BS IV,Maruti,0
Kochi,2014,Petrol,Manual,First,15.0,1598.0,103.6,5.09,Rapid 1.6 MPI Ambition Plus,Skoda,1
Pune,2006,Petrol,Manual,Second,15.4,1590.0,94.0,1.05,Baleno Vxi - BSIII,Maruti,1
Bangalore,2015,Diesel,Manual,Second,22.77,1498.0,98.59,7.0,EcoSport 1.5 TDCi Titanium,Ford,1
Ahmedabad,2010,Petrol,Manual,Second,13.2,1495.0,94.0,2.5,Accent GLE,Hyundai,1
Mumbai,2012,Diesel,Automatic,First,22.48,1995.0,190.0,17.5,5 Series 520d Luxury Line,BMW,3
Chennai,2011,Petrol,Manual,First,20.92,998.0,67.1,2.1,Alto K10 2010-2014 VXI,Maruti,0
Bangalore,2013,Diesel,Automatic,First,15.73,1968.0,174.33,17.75,Q3 2012-2015 2.0 TDI Quattro Premium Plus,Audi,3
Bangalore,2005,Petrol,Automatic,Second,11.3,1794.0,125.0,2.45,Corolla H4,Toyota,1
Pune,2011,Diesel,Automatic,First,13.5,2400.0,215.0,13.8,XC60 D5,Volvo,3
Kolkata,2016,Diesel,Manual,First,27.3,1498.0,98.6,5.85,Jazz 1.5 VX i DTEC,Honda,1
Delhi,2017,Diesel,Manual,First,28.09,1248.0,88.5,8.9,Ciaz 1.3 Alpha,Maruti,1
Mumbai,2016,Petrol,Manual,First,20.4,1197.0,81.8,5.15,Swift VXI BSIV,Maruti,1
Kochi,2015,Diesel,Automatic,First,19.27,2143.0,170.0,16.56,New C-Class C 220 CDI Avantgarde,Mercedes-Benz,2
Chennai,2010,Petrol,Manual,Second,18.9,1061.0,67.0,1.65,Wagon R VXI Minor,Maruti,0
Pune,2015,Petrol,Automatic,First,15.5,1595.0,120.7,16.0,A Class A180 Sport,Mercedes-Benz,1
Coimbatore,2017,Diesel,Automatic,First,26.59,1248.0,74.0,8.08,Swift Dzire AMT ZDI,Maruti,0
Pune,2014,Petrol,Automatic,First,18.9,1197.0,82.0,4.5,Grand i10 AT Asta,Hyundai,1
Chennai,2013,Petrol,Manual,Second,16.95,1498.0,97.7,4.3,Sunny 2011-2014 XV Special Edition,Nissan,1
Hyderabad,2010,Petrol,Manual,First,19.0,998.0,66.1,2.6,A-Star Lxi,Maruti,0
Hyderabad,2018,Petrol,Manual,First,25.17,799.0,53.3,4.45,KWID RXT Optional,Renault,0
Coimbatore,2012,Petrol,Automatic,First,17.1,1591.0,121.4,5.37,Verna 1.6 SX VTVT (O) AT,Hyundai,1
Chennai,2008,Petrol,Manual,Second,18.9,1061.0,67.0,1.75,Wagon R LXI Minor,Maruti,0
Kolkata,2013,Diesel,Automatic,First,18.88,1995.0,184.0,16.5,3 Series 320d Sport Line,BMW,3
Delhi,2013,Diesel,Automatic,First,18.48,1995.0,177.0,19.0,5 Series 2003-2012 520d,BMW,3
Jaipur,2016,Diesel,Manual,First,25.0,1396.0,69.01,2.8,Indigo CS eVX,Tata,0
Hyderabad,2015,Diesel,Manual,First,22.54,1396.0,88.73,6.2,i20 Sportz 1.4 CRDi,Hyundai,1
Kochi,2019,Petrol,Manual,First,16.8,796.0,34.2,3.8,Omni E MPI STD BS IV,Maruti,0
Hyderabad,2014,Diesel,Manual,First,25.2,1248.0,74.0,6.1,Swift ZDi,Maruti,0
Coimbatore,2019,Diesel,Manual,First,23.0,1498.0,98.96,11.65,Ecosport Signature Edition Diesel,Ford,1
Mumbai,2014,Petrol,Automatic,First,16.5,1198.0,86.8,4.15,Brio VX AT,Honda,1
Chennai,2017,Diesel,Manual,First,13.68,2393.0,147.8,16.5,Innova Crysta 2.4 GX MT,Toyota,2
Bangalore,2008,Diesel,Manual,Second,10.5,2179.0,120.0,4.3,Scorpio 2.6 LX,Mahindra,1
Kolkata,2010,Petrol,Manual,First,18.5,1197.0,80.0,2.25,i20 1.2 Magna,Hyundai,0
Ahmedabad,2014,Diesel,Manual,First,22.32,1582.0,126.32,6.75,Verna 1.6 SX,Hyundai,1
Chennai,2014,Diesel,Manual,First,15.1,2179.0,140.0,9.4,XUV500 W6 2WD,Mahindra,2
Coimbatore,2014,Diesel,Manual,First,20.64,1498.0,108.5,5.39,Vento 1.5 TDI Comfortline,Volkswagen,1
Kochi,2019,Diesel,Manual,First,26.59,1248.0,74.0,8.51,Swift Dzire VDI Optional,Maruti,0
Pune,2010,Petrol,Manual,First,13.7,1368.0,88.8,1.85,Manza Aura Safire BS IV,Tata,1
Kolkata,2012,Diesel,Manual,Second,22.9,1248.0,74.0,2.5,Swift VDI,Maruti,0
Chennai,2013,Diesel,Manual,First,22.07,1199.0,73.9,4.75,Polo Diesel Highline 1.2L,Volkswagen,0
Pune,2009,Petrol,Manual,Second,17.0,1497.0,118.0,3.5,City 1.5 V MT,Honda,1
Bangalore,2014,Diesel,Manual,First,23.0,1396.0,90.0,5.5,i20 Asta (o) 1.4 CRDi (Diesel),Hyundai,1
Coimbatore,2012,Petrol,Manual,First,17.0,1497.0,118.0,6.33,City 1.5 V MT,Honda,1
Kochi,2014,Diesel,Manual,First,25.44,936.0,57.6,2.47,Beat Diesel,Chevrolet,0
Kochi,2014,Petrol,Manual,First,16.2,995.0,62.1,3.3,Spark 1.0 LS,Chevrolet,0
Delhi,2011,Diesel,Manual,Second,11.57,2179.0,138.1,3.5,New Safari DICOR 2.2 EX 4x2,Tata,2
Delhi,2014,Diesel,Automatic,First,11.3,2987.0,254.8,38.75,GL-Class 350 CDI Blue Efficiency,Mercedes-Benz,4
Pune,2008,Diesel,Automatic,First,11.5,2993.0,235.0,7.99,5 Series 2003-2012 530d Highline,BMW,4
Kochi,2013,Diesel,Manual,First,14.24,2755.0,174.5,13.28,Fortuner 2.8 4WD MT,Toyota,3
Pune,2012,Petrol,Automatic,First,11.25,1995.0,150.0,9.5,X1 sDrive 18i,BMW,2
Kochi,2019,Diesel,Manual,First,20.37,1461.0,108.45,14.01,Captur 1.5 Diesel Platine Mono,Renault,1
Coimbatore,2016,Diesel,Manual,First,24.4,1120.0,71.0,6.99,Xcent 1.1 CRDi S,Hyundai,0
Hyderabad,2010,Diesel,Automatic,Second,13.2,1995.0,170.0,11.0,3 Series 320d,BMW,2
Hyderabad,2008,Petrol,Automatic,Second,10.8,2497.0,215.0,11.0,5 Series 2010-2013 525i,BMW,3
Pune,2010,Petrol,Manual,Second,18.06,1198.0,75.0,2.3,Micra XE,Nissan,0
Delhi,2014,Diesel,Automatic,First,16.36,2179.0,187.7,26.5,XF 2.2 Litre Luxury,Jaguar,3
Bangalore,2011,Diesel,Automatic,First,10.2,4367.0,308.0,67.0,Rover Range Rover TDV8 (Diesel),Land,5
Mumbai,2017,Petrol,Automatic,First,16.0,1368.0,160.0,17.75,Compass 1.4 Limited Option,Jeep,2
Delhi,2010,Petrol,Automatic,Second,10.1,2354.0,152.0,4.8,CR-V 2.4 AT,Honda,2
Coimbatore,2013,Petrol,Manual,First,18.6,1197.0,85.8,4.57,Swift VXI,Maruti,1
Chennai,2016,Diesel,Manual,First,24.4,1120.0,71.0,3.5,Xcent 1.1 CRDi S,Hyundai,0
Kochi,2015,Diesel,Manual,First,19.01,1461.0,108.5,7.61,Terrano XV Premium 110 PS,Nissan,1
Hyderabad,2015,Diesel,Automatic,First,18.25,1968.0,187.74,25.0,A4 35 TDI Technology,Audi,3
Coimbatore,2016,Petrol,Manual,First,18.9,1197.0,82.0,5.88,Grand i10 Asta Option,Hyundai,1
Hyderabad,2015,Diesel,Manual,First,12.99,2494.0,100.6,13.5,Innova 2.5 G (Diesel) 8 Seater,Toyota,1
Kolkata,2015,Petrol,Manual,First,18.5,1197.0,80.0,4.6,i20 1.2 Magna,Hyundai,0
Kolkata,2013,Diesel,Manual,First,22.77,1498.0,98.59,4.9,EcoSport 1.5 TDCi Titanium,Ford,1
Hyderabad,2012,Petrol,Manual,First,17.0,1497.0,118.0,5.25,City 1.5 S MT,Honda,1
Coimbatore,2018,Petrol,Automatic,First,14.8,1497.0,121.36,12.41,EcoSport 1.5 Petrol Titanium Plus AT,Ford,1
Kolkata,2014,Diesel,Manual,First,22.07,1199.0,73.9,3.8,Polo Diesel Highline 1.2L,Volkswagen,0
Mumbai,2010,Diesel,Automatic,First,19.27,2143.0,170.0,8.95,New C-Class C 220 CDI Avantgarde,Mercedes-Benz,2
Hyderabad,2013,Diesel,Manual,First,22.7,1498.0,89.84,7.2,Ecosport 1.5 DV5 MT Titanium,Ford,1
Hyderabad,2017,Petrol,Manual,First,14.4,1396.0,65.0,4.5,Indigo GLE,Tata,0
Delhi,2014,Diesel,Manual,First,26.59,1248.0,74.0,4.15,Swift Dzire LDI,Maruti,0
Coimbatore,2016,Diesel,Manual,First,25.1,1248.0,88.5,7.94,S-Cross Zeta DDiS 200 SH,Maruti,1
Pune,2014,Diesel,Manual,First,19.01,1461.0,108.45,7.25,Duster 110PS Diesel RxZ Pack,Renault,1
Delhi,2016,Petrol,Manual,First,18.9,998.0,67.1,3.7,Wagon R VXI,Maruti,0
Chennai,2011,Diesel,Manual,Third,25.44,936.0,57.6,1.5,Beat Diesel LT,Chevrolet,0
Delhi,2017,Diesel,Manual,First,16.0,1997.0,140.0,12.0,XUV500 W4 1.99 mHawk,Mahindra,2
Delhi,2012,Petrol,Manual,Second,19.81,1086.0,68.05,2.2,i10 Era 1.1,Hyundai,0
Hyderabad,2007,Diesel,Manual,First,13.93,2179.0,138.0,3.6,New Safari DICOR 2.2 EX 4x4,Tata,2
Kolkata,2009,Petrol,Manual,First,20.36,1197.0,78.9,1.92,i10 Sportz,Hyundai,0
Bangalore,2016,Diesel,Automatic,First,11.36,2755.0,171.5,20.5,Innova Crysta 2.8 ZX AT,Toyota,2
Jaipur,2010,Diesel,Manual,First,17.5,1896.0,106.0,4.25,Laura Elegance MT,Skoda,1
Kolkata,2013,Petrol,Manual,First,18.9,1197.0,82.0,3.2,Grand i10 Sportz,Hyundai,1
Pune,2012,Diesel,Manual,Second,23.59,1364.0,113.25304969366915,2.6,Etios Liva GD,Toyota,1
Kolkata,2014,Diesel,Manual,First,23.4,1248.0,74.0,3.85,Swift Dzire VDI,Maruti,0
Kochi,2010,Diesel,Manual,First,23.0,1396.0,90.0,3.48,i20 Asta 1.4 CRDi (Diesel),Hyundai,1
Hyderabad,2017,Diesel,Manual,Second,25.83,1498.0,99.0,4.55,Figo 2015-2019 1.5D Trend MT,Ford,1
Pune,2016,Diesel,Manual,First,25.47,1248.0,88.5,7.0,Ertiga VDI,Maruti,1
Ahmedabad,2013,Diesel,Manual,First,20.77,1248.0,88.8,5.75,Ertiga ZDI,Maruti,1
Kochi,2016,Petrol,Automatic,First,16.8,1497.0,116.3,8.73,City 1.5 V AT Sunroof,Honda,1
Hyderabad,2009,Petrol,Manual,First,19.7,796.0,46.3,1.7,Alto LXi BSIII,Maruti,0
