Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,Model,Brand
Mumbai,2013,37000,Diesel,Automatic,First,20.0,2143,5,14.0,A Class A180 CDI,Mercedes-Benz
Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591,5,10.9,Creta 1.6 SX,Hyundai
Bangalore,2010,81245,Petrol,Manual,First,18.9,998,5,2.45,Wagon R VXI BS IV,Maruti
Delhi,2013,70000,Diesel,Automatic,First,10.0,2148,5,15.8,E-Class 2009-2013 E 220 CDI Avantgarde,Mercedes-Benz
Mumbai,2017,4018,Petrol,Manual,First,18.88,1499,5,8.25,EcoSport 1.5 Ti VCT MT Titanium BE,Ford
Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995,5,8.5,Koleos 2.0 Diesel,Renault
Coimbatore,2016,56532,Diesel,Manual,First,16.0,2179,7,15.54,XUV500 W10 2WD,Mahindra
Hyderabad,2013,26875,Petrol,Manual,First,16.8,796,8,2.35,Omni E 8 Str STD,Maruti
Coimbatore,2015,72599,Petrol,Manual,First,22.5,998,5,4.32,Wagon R VXI,Maruti
Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499,7,3.9,Endeavour XLT TDCi 4X2,Ford
Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582,5,5.2,Verna 1.6 SX,Hyundai
Mumbai,2018,19500,Petrol,Manual,First,18.6,1197,5,5.85,i20 Magna 1.2,Hyundai
Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373,7,6.25,Ertiga ZXI,Maruti
Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179,7,17.63,XUV500 W9 AT,Mahindra
Mumbai,2017,26000,Diesel,Manual,First,23.65,1248,5,9.75,SX4 S Cross DDiS 200 Zeta,Maruti
Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199,5,4.1,Polo Diesel Comfortline 1.2L,Volkswagen
Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982,7,11.99,Fortuner 4x4 MT,Toyota
Kochi,2017,43773,Diesel,Manual,First,16.0,2179,7,13.54,XUV500 W10 2WD,Mahindra
Chennai,2016,23280,Petrol,Manual,First,18.7,1199,5,6.5,Jazz 1.2 VX i VTEC,Honda
Pune,2013,88000,Diesel,Manual,First,23.4,1248,5,4.75,Swift Dzire VDI,Maruti
Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591,5,5.6,Verna 1.6 SX VTVT,Hyundai
Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198,7,29.2,Endeavour 3.2 Titanium AT 4X4,Ford
Kolkata,2018,11000,Petrol,Manual,First,18.6,1197,5,6.35,i20 1.2 Asta Option,Hyundai
Mumbai,2013,60669,Petrol,Manual,First,16.8,1497,5,4.95,City 1.5 V MT Sunroof,Honda
Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498,5,8.5,Amaze VX Diesel,Honda
Kolkata,2013,35000,Petrol,Manual,First,17.1,1591,5,4.5,Verna 1.6 SX VTVT (O),Hyundai
Chennai,2015,65000,Diesel,Manual,First,24.2,1498,7,5.5,Mobilio S i DTEC,Honda
Kochi,2013,39929,Diesel,Manual,First,20.77,1248,7,6.56,Ertiga ZDI,Maruti
Pune,2014,49000,Petrol,Manual,First,24.07,998,5,2.3,Alto K10 LXI,Maruti
Pune,2004,77757,Diesel,Manual,Second,13.1,2446,10,3.5,Qualis FS B2,Toyota
Kochi,2016,21456,Petrol,Manual,First,20.36,1197,5,4.55,i10 Sportz,Hyundai
Bangalore,2009,74000,Diesel,Automatic,Second,17.0,1896,5,7.75,Laura 1.9 TDI AT Ambiente,Skoda
Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197,5,5.25,i20 Asta Option 1.2,Hyundai
Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993,5,23.29,5 Series 2003-2012 530d Highline,BMW
Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995,5,23.99,3 Series 320d M Sport,BMW
Pune,2010,80000,Petrol,Manual,First,14.49,1399,5,1.79,Aveo 1.4 LT ABS BSIV,Chevrolet
Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143,5,13.9,E-Class 2009-2013 E250 CDI Elegance,Mercedes-Benz
Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968,5,18.95,A6 2011-2015 2.0 TDI Premium Plus,Audi
Kolkata,2014,40000,Petrol,Manual,First,20.51,998,5,2.49,Wagon R LXI BS IV,Maruti
Jaipur,2016,4152,Petrol,Manual,First,25.17,799,5,3.15,KWID RXT,Renault
Mumbai,2017,51000,Diesel,Manual,First,21.66,1498,5,6.45,Ameo 1.5 TDI Highline,Volkswagen
Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199,5,4.25,Polo Diesel Comfortline 1.2L,Volkswagen
Hyderabad,2014,58500,Petrol,Manual,First,22.74,796,5,2.75,Alto 800 LXI,Maruti
Kochi,2017,58620,Petrol,Manual,First,18.6,1197,5,7.14,i20 Asta Option 1.2,Hyundai
Mumbai,2012,29605,Petrol,Manual,First,18.3,1197,5,2.44,Etios Liva G,Toyota
Jaipur,2012,71172,Petrol,Manual,Third,17.0,1197,5,3.5,i20 1.2 Sportz,Hyundai
Chennai,2017,12000,Diesel,Manual,First,22.54,1396,5,7.3,i20 1.4 Asta,Hyundai
Kolkata,2014,25000,Petrol,Manual,First,20.51,998,5,2.75,Wagon R LXI Optional,Maruti
Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396,5,8.2,i20 1.4 Asta Option,Hyundai
Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197,5,6.51,Polo GT TSI,Volkswagen
Pune,2015,92000,Diesel,Manual,First,20.0,1399,5,4.25,Figo Diesel Titanium,Ford
Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197,5,6.21,Swift ZXI,Maruti
Kochi,2016,52625,Diesel,Manual,First,24.0,1120,5,4.58,Grand i10 CRDi Magna,Hyundai
Chennai,2016,215000,Diesel,Manual,First,14.02,2179,7,7.5,Xylo H4,Mahindra
Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086,5,4.09,i10 Magna 1.1,Hyundai
Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968,5,10.75,Octavia Elegance 2.0 TDI AT,Skoda
Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993,7,41.5,X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW
Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998,5,4.4,Celerio VXI AT,Maruti
Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598,5,6.25,Vento Diesel Comfortline,Volkswagen
Pune,2011,99606,Diesel,Automatic,Second,16.07,1995,5,10.5,3 Series 320d Highline,BMW
Mumbai,2014,64000,Diesel,Manual,First,20.77,1248,7,7.25,Ertiga ZDI,Maruti
Hyderabad,2013,51000,Diesel,Manual,First,20.0,1399,5,3.2,Figo Diesel ZXI,Ford
Mumbai,2014,57000,Petrol,Manual,First,16.47,1198,5,3.95,Polo 1.2 MPI Highline,Volkswagen
Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967,5,12.07,A6 3.0 TDI quattro,Audi
Pune,2017,43200,Diesel,Manual,First,13.68,2393,7,18.6,Innova Crysta 2.4 ZX MT,Toyota
Delhi,2013,66000,Diesel,Automatic,First,22.32,1582,5,5.7,Verna 1.6 CRDi EX AT,Hyundai
Kolkata,2013,31000,Petrol,Manual,First,17.92,1086,5,1.75,Santro Xing GL Plus,Hyundai
Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968,5,10.99,A4 2.0 TDI,Audi
Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968,5,14.5,A4 2.0 TDI,Audi
Jaipur,2009,100000,Diesel,Manual,First,17.0,1896,5,3.11,Laura 1.9 TDI MT Ambiente,Skoda
Coimbatore,2015,63856,Petrol,Automatic,First,13.7,1997,5,13.96,CR-V 2.0L 2WD AT,Honda
Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582,5,7.11,Verna 1.6 SX CRDi (O),Hyundai
Chennai,2014,23000,Diesel,Manual,First,24.5,1498,7,6.9,Mobilio RS i DTEC,Honda
Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197,5,7.77,i20 1.2 Asta Option,Hyundai
Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494,8,5.5,Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota
Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197,5,5.35,i20 Magna 1.2,Hyundai
Chennai,2011,99000,Diesel,Manual,Second,13.6,2523,7,4.5,Bolero VLX BS IV,Mahindra
Jaipur,2014,72000,Diesel,Manual,First,20.34,1498,5,4.75,Vento 1.5 TDI Comfortline,Volkswagen
Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179,5,32.8,XF 2.2 Litre Luxury,Jaguar
Mumbai,2005,102000,Petrol,Manual,First,17.3,993,5,0.7,Zen LXi - BS III,Maruti
Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982,7,10.99,Fortuner 3.0 Diesel,Toyota
Coimbatore,2015,61717,Petrol,Automatic,First,18.9,1197,5,5.57,Grand i10 AT Asta,Hyundai
Jaipur,2018,25302,Diesel,Manual,First,25.4,1186,5,5.9,Xcent 1.2 CRDi S,Hyundai
Coimbatore,2016,47016,Petrol,Manual,First,15.29,1591,5,9.43,Creta 1.6 VTVT S,Hyundai
Bangalore,2010,69000,Petrol,Manual,First,20.36,1197,5,2.9,i10 Sportz,Hyundai
Delhi,2016,32700,Petrol,Manual,First,19.4,1198,5,3.68,Brio S MT,Honda
Coimbatore,2015,101337,Diesel,Automatic,First,12.55,2982,7,21.67,Fortuner 4x2 AT,Toyota
Ahmedabad,2011,59000,Diesel,Automatic,First,16.55,1968,5,12.5,A4 2.0 TDI Multitronic,Audi
Kochi,2018,41736,Diesel,Automatic,First,11.36,2755,7,19.92,Innova Crysta 2.8 ZX AT,Toyota
Jaipur,2014,71649,Diesel,Manual,First,25.1,1498,5,6.75,City i DTEC VX,Honda
Kochi,2015,80606,Diesel,Manual,First,25.1,1498,5,6.96,City i DTEC VX,Honda
Jaipur,2017,63262,Petrol,Manual,First,21.7,999,5,3.25,KWID 1.0 RXT Optional,Renault
Hyderabad,2018,5456,Diesel,Manual,First,28.4,1248,5,8.65,Swift DDiS ZDI Plus,Maruti
Pune,2017,7500,Petrol,Automatic,First,23.1,998,5,5.0,Celerio VXI Optional AMT,Maruti
Delhi,2011,66000,Diesel,Manual,First,15.1,2179,7,5.5,XUV500 W8 2WD,Mahindra
Jaipur,2010,66770,Petrol,Manual,Second,20.36,1197,5,2.6,i10 Magna,Hyundai
Kochi,2014,58472,Petrol,Manual,First,19.81,1086,5,3.41,i10 Magna 1.1,Hyundai
Kolkata,2011,46687,Petrol,Manual,First,22.0,1197,5,2.7,Dzire VXI,Maruti
Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995,5,5.5,Grand Vitara AT,Maruti
Kolkata,2012,7000,Petrol,Automatic,First,14.33,1984,4,35.0,TT 40 TFSI,Audi
Mumbai,2011,48000,Petrol,Automatic,Second,14.74,1991,5,9.75,New C-Class C 200 CGI,Mercedes-Benz
Mumbai,2013,47000,Diesel,Manual,First,21.64,1461,5,4.25,Sunny 2011-2014 Diesel XV,Nissan
Ahmedabad,2015,51530,Petrol,Manual,First,18.9,998,5,3.2,Wagon R LXI,Maruti
Bangalore,2014,25789,Diesel,Manual,Second,23.4,1248,5,6.85,Swift Dzire ZDI,Maruti
Delhi,2015,48000,Diesel,Manual,First,25.8,1498,5,4.5,Amaze S i-Dtech,Honda
Delhi,2012,52000,Diesel,Manual,First,28.4,1248,5,3.55,Swift ZDI,Maruti
Hyderabad,2008,131000,Diesel,Manual,First,10.5,2609,7,3.6,Scorpio LX 2.6 Turbo,Mahindra
Kochi,2015,42076,Diesel,Automatic,First,13.0,2143,5,21.8,E-Class E250 CDI Avantgrade,Mercedes-Benz
Mumbai,2012,76000,Diesel,Manual,Second,13.0,2982,7,13.5,Fortuner 4x2 Manual,Toyota
Delhi,2010,43000,Petrol,Manual,Second,16.8,1497,5,3.75,City V MT,Honda
Pune,2018,17000,Petrol,Automatic,First,19.16,2494,5,32.0,Camry Hybrid,Toyota
Coimbatore,2016,60805,Diesel,Manual,First,26.0,1498,5,8.07,City i DTec V,Honda
Kochi,2012,58775,Diesel,Manual,First,19.33,1968,5,5.64,Jetta 2012-2014 2.0L TDI Trendline,Volkswagen
Hyderabad,2013,70181,Diesel,Automatic,First,17.68,1968,5,23.99,A6 2011-2015 2.0 TDI,Audi
Coimbatore,2016,85827,Diesel,Manual,First,20.77,1248,7,7.5,Ertiga VDI,Maruti
Jaipur,2016,58205,Diesel,Automatic,First,19.27,2143,5,27.0,New C-Class C 220 CDI Style,Mercedes-Benz
Mumbai,2008,91000,Diesel,Manual,Second,19.3,1248,5,2.85,Swift Dzire Vdi BSIV,Maruti
Pune,2012,74000,Diesel,Manual,First,19.01,1461,5,6.35,Duster 110PS Diesel RxZ Pack,Renault
Hyderabad,2010,79324,Diesel,Manual,First,21.1,1248,5,3.3,Ritz VDi,Maruti
Bangalore,2013,38623,Petrol,Manual,First,19.1,1197,5,5.0,Swift Dzire VXI,Maruti
Coimbatore,2014,59923,Diesel,Manual,First,22.9,1248,5,6.46,Swift ZDi,Maruti
Jaipur,2017,23360,Petrol,Manual,First,21.1,814,5,3.75,EON Sportz,Hyundai
Kochi,2003,61495,Petrol,Manual,Third,17.3,993,5,1.52,Zen VXI BSII,Maruti
Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196,7,3.61,Eeco 7 Seater Standard,Maruti
Coimbatore,2017,40318,Diesel,Automatic,First,14.16,1968,5,43.74,Q5 30 TDI quattro Premium,Audi
Chennai,2014,60000,Diesel,Automatic,First,15.73,1968,5,20.0,Q3 2.0 TDI,Audi
Hyderabad,2010,130000,Diesel,Manual,First,19.3,1248,5,3.65,Swift Dzire VDi,Maruti
Mumbai,2013,20000,Diesel,Manual,First,14.07,1978,10,5.25,Sumo DX,Tata
Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497,5,8.65,City i-VTEC CVT VX,Honda
Delhi,2015,150000,Diesel,Manual,First,25.0,1396,5,2.5,Indigo eCS eLX BS IV,Tata
Chennai,2014,28000,Petrol,Automatic,First,16.93,1197,5,7.75,Vento TSI,Volkswagen
Bangalore,2015,74000,Petrol,Manual,First,23.1,998,5,4.15,Celerio VXI,Maruti
Delhi,2011,75000,Diesel,Manual,First,11.5,2982,7,10.85,Fortuner 3.0 Diesel,Toyota
Delhi,2010,76000,Petrol,Automatic,Second,11.3,2360,5,5.53,Outlander 2.4,Mitsubishi
Pune,2014,64889,Diesel,Automatic,First,15.5,1896,5,11.5,Jetta 2007-2011 1.9 Highline TDI,Volkswagen
Kolkata,2015,43000,Diesel,Manual,First,19.67,1582,5,9.25,Creta 1.6 CRDi SX,Hyundai
Pune,2011,47490,Petrol,Manual,First,17.5,1198,5,2.29,Fabia 1.2 MPI Ambiente Petrol,Skoda
Chennai,2015,80000,Diesel,Manual,First,22.77,1498,5,7.0,EcoSport 1.5 TDCi Titanium,Ford
Bangalore,2007,60000,Petrol,Manual,Second,18.2,1061,5,1.65,Zen Estilo 1.1 LXI BSIII,Maruti
Ahmedabad,2017,6006,Petrol,Manual,First,20.73,1373,5,8.25,Ciaz 1.4 Delta,Maruti
Kochi,2011,71703,Petrol,Automatic,First,14.74,1991,5,9.14,New C-Class C 200 Avantgarde Edition C,Mercedes-Benz
Hyderabad,2016,33000,Petrol,Manual,First,17.8,1198,5,6.5,Amaze SX i-VTEC,Honda
Kolkata,2012,60000,Diesel,Manual,First,23.59,1364,5,2.95,Etios GD,Toyota
Jaipur,2015,91000,Diesel,Manual,First,19.87,1461,5,5.75,Duster 85PS Diesel RxL,Renault
Kolkata,2011,43000,Petrol,Manual,Second,16.47,1198,5,2.1,Polo Petrol Highline 1.2L,Volkswagen
Coimbatore,2017,63770,Diesel,Manual,First,19.67,1582,5,13.55,Creta 1.6 SX Plus Diesel,Hyundai
Kolkata,2012,43510,Diesel,Automatic,First,14.74,2993,5,20.5,XF Diesel,Jaguar
Mumbai,2017,52000,Diesel,Manual,First,16.3,1956,5,20.0,Compass 2.0 Limited 4X4,Jeep
Kolkata,2016,29000,Diesel,Manual,First,27.39,1248,5,6.5,Baleno Alpha Diesel,Maruti
Ahmedabad,2016,56000,Diesel,Manual,First,28.09,1248,5,7.5,Ciaz ZDi SHVS,Maruti
Jaipur,2007,76000,Petrol,Manual,Second,15.0,1586,5,2.15,SX4 Vxi BSIII,Maruti
Coimbatore,2015,53615,Diesel,Manual,First,22.7,1582,5,8.44,Elantra CRDi SX,Hyundai
Bangalore,2013,132000,Diesel,Manual,First,13.5,2477,7,12.49,Pajero Sport 4X4,Mitsubishi
Pune,2017,14800,Petrol,Manual,First,17.0,1198,5,5.48,Ameo 1.2 MPI Comfortline,Volkswagen
Hyderabad,2013,35433,Petrol,Manual,First,18.5,1197,5,4.2,Ritz VXi,Maruti
Hyderabad,2013,82966,Diesel,Manual,First,16.8,1493,5,7.2,Verna CRDi SX,Hyundai
Jaipur,2014,96000,Diesel,Manual,First,23.4,1248,5,4.8,Swift Dzire Tour LDI,Maruti
Kochi,2017,39528,Diesel,Manual,First,25.32,1198,6,5.83,KUV 100 mFALCON D75 K6,Mahindra
Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393,7,18.39,Innova Crysta 2.4 ZX MT,Toyota
Pune,2016,14930,Petrol,Manual,First,21.4,1197,5,5.85,Baleno Delta 1.2,Maruti
Mumbai,2016,38000,Diesel,Manual,First,27.3,1498,5,6.21,Jazz VX Diesel,Honda
Delhi,2013,71000,Petrol,Manual,First,17.0,1197,5,3.65,i20 1.2 Asta,Hyundai
Delhi,2012,71000,Diesel,Manual,First,23.0,1396,5,3.7,i20 Sportz Diesel,Hyundai
Pune,2015,50000,Diesel,Automatic,First,19.27,2143,5,30.0,New C-Class C 220d Avantgarde Edition C,Mercedes-Benz
Kochi,2016,48163,Petrol,Manual,First,19.1,1197,5,4.85,Xcent 1.2 Kappa Base,Hyundai
Coimbatore,2017,19168,Petrol,Automatic,First,18.9,1197,5,6.93,Grand i10 AT Asta,Hyundai
Kolkata,2016,26000,Petrol,Manual,First,22.74,796,5,2.6,Alto 800 VXI,Maruti
Kolkata,2014,37400,Petrol,Manual,First,18.2,1199,5,1.89,Sail Hatchback 1.2 LS,Chevrolet
Mumbai,2012,95000,Petrol,Automatic,First,13.7,1798,5,10.0,Superb Elegance 1.8 TSI AT,Skoda
Kolkata,2009,34000,Diesel,Automatic,First,16.55,1968,5,9.95,A4 2.0 TDI,Audi
Mumbai,2014,95000,Diesel,Manual,Second,12.8,2494,8,9.45,Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota
Coimbatore,2017,13689,Diesel,Automatic,First,17.9,2143,5,28.25,CLA 200 CDI Sport,Mercedes-Benz
Jaipur,2008,84000,Petrol,Manual,Second,19.81,1086,5,1.8,i10 Era,Hyundai
Kolkata,2008,47000,Petrol,Manual,Second,17.5,1298,5,1.4,Swift Dzire VXi,Maruti
Ahmedabad,2015,60001,Diesel,Automatic,First,21.66,1498,5,7.25,Rapid 1.5 TDI AT Ambition,Skoda
Hyderabad,2012,96000,Diesel,Manual,First,21.1,1248,5,3.6,Ritz VDi,Maruti
Jaipur,2004,47300,Petrol,Manual,Second,14.4,1599,5,1.2,Accent GLS 1.6,Hyundai
Coimbatore,2014,28246,Petrol,Manual,Second,17.8,1198,5,4.94,Amaze SX i-VTEC,Honda
Delhi,2007,65000,Petrol,Manual,Second,18.9,998,5,1.25,Wagon R LXI,Maruti
Chennai,2013,68000,Diesel,Manual,Second,22.07,1199,5,4.8,Polo Diesel Comfortline 1.2L,Volkswagen
Kochi,2019,11209,Diesel,Automatic,First,12.62,2198,7,31.15,Endeavour 2.2 Trend AT 4X2,Ford
Pune,2011,41980,Petrol,Manual,Second,17.0,1197,5,3.3,i20 1.2 Sportz,Hyundai
Bangalore,2012,65000,Diesel,Manual,First,25.44,936,5,2.4,Beat Diesel PS,Chevrolet
Kolkata,2010,38000,Petrol,Manual,First,14.8,1799,5,2.0,Civic 2010-2013 1.8 V MT,Honda
Pune,2014,51000,Petrol,Manual,First,20.51,998,5,3.1,Wagon R VXI BS IV,Maruti
Kochi,2014,33855,Petrol,Manual,First,15.0,1598,5,5.09,Rapid 1.6 MPI Ambition Plus,Skoda
Pune,2006,146000,Petrol,Manual,Second,15.4,1590,5,1.05,Baleno Vxi - BSIII,Maruti
Bangalore,2015,47037,Diesel,Manual,Second,22.77,1498,5,7.0,EcoSport 1.5 TDCi Titanium,Ford
Ahmedabad,2010,58000,Petrol,Manual,Second,13.2,1495,5,2.5,Accent GLE,Hyundai
Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995,5,17.5,5 Series 520d Luxury Line,BMW
Chennai,2011,91211,Petrol,Manual,First,20.92,998,5,2.1,Alto K10 2010-2014 VXI,Maruti
Bangalore,2013,84000,Diesel,Automatic,First,15.73,1968,5,17.75,Q3 2012-2015 2.0 TDI Quattro Premium Plus,Audi
Bangalore,2005,67000,Petrol,Automatic,Second,11.3,1794,5,2.45,Corolla H4,Toyota
Pune,2011,106976,Diesel,Automatic,First,13.5,2400,5,13.8,XC60 D5,Volvo
Kolkata,2016,27210,Diesel,Manual,First,27.3,1498,5,5.85,Jazz 1.5 VX i DTEC,Honda
Delhi,2017,26322,Diesel,Manual,First,28.09,1248,5,8.9,Ciaz 1.3 Alpha,Maruti
Mumbai,2016,9107,Petrol,Manual,First,20.4,1197,5,5.15,Swift VXI BSIV,Maruti
Kochi,2015,63983,Diesel,Automatic,First,19.27,2143,5,16.56,New C-Class C 220 CDI Avantgarde,Mercedes-Benz
Chennai,2010,134000,Petrol,Manual,Second,18.9,1061,5,1.65,Wagon R VXI Minor,Maruti
Pune,2015,11000,Petrol,Automatic,First,15.5,1595,5,16.0,A Class A180 Sport,Mercedes-Benz
Coimbatore,2017,24852,Diesel,Automatic,First,26.59,1248,5,8.08,Swift Dzire AMT ZDI,Maruti
Pune,2014,37632,Petrol,Automatic,First,18.9,1197,5,4.5,Grand i10 AT Asta,Hyundai
Chennai,2013,55000,Petrol,Manual,Second,16.95,1498,5,4.3,Sunny 2011-2014 XV Special Edition,Nissan
Hyderabad,2010,81448,Petrol,Manual,First,19.0,998,5,2.6,A-Star Lxi,Maruti
Hyderabad,2018,1900,Petrol,Manual,First,25.17,799,5,4.45,KWID RXT Optional,Renault
Coimbatore,2012,54957,Petrol,Automatic,First,17.1,1591,5,5.37,Verna 1.6 SX VTVT (O) AT,Hyundai
Chennai,2008,55000,Petrol,Manual,Second,18.9,1061,5,1.75,Wagon R LXI Minor,Maruti
Kolkata,2013,21983,Diesel,Automatic,First,18.88,1995,5,16.5,3 Series 320d Sport Line,BMW
Delhi,2013,76000,Diesel,Automatic,First,18.48,1995,5,19.0,5 Series 2003-2012 520d,BMW
Jaipur,2016,65000,Diesel,Manual,First,25.0,1396,5,2.8,Indigo CS eVX,Tata
Hyderabad,2015,26000,Diesel,Manual,First,22.54,1396,5,6.2,i20 Sportz 1.4 CRDi,Hyundai
Kochi,2019,11571,Petrol,Manual,First,16.8,796,8,3.8,Omni E MPI STD BS IV,Maruti
Hyderabad,2014,81000,Diesel,Manual,First,25.2,1248,5,6.1,Swift ZDi,Maruti
Coimbatore,2019,23154,Diesel,Manual,First,23.0,1498,5,11.65,Ecosport Signature Edition Diesel,Ford
Mumbai,2014,26856,Petrol,Automatic,First,16.5,1198,5,4.15,Brio VX AT,Honda
Chennai,2017,67489,Diesel,Manual,First,13.68,2393,7,16.5,Innova Crysta 2.4 GX MT,Toyota
Bangalore,2008,176000,Diesel,Manual,Second,10.5,2179,8,4.3,Scorpio 2.6 LX,Mahindra
Kolkata,2010,18000,Petrol,Manual,First,18.5,1197,5,2.25,i20 1.2 Magna,Hyundai
Ahmedabad,2014,63003,Diesel,Manual,First,22.32,1582,5,6.75,Verna 1.6 SX,Hyundai
Chennai,2014,80000,Diesel,Manual,First,15.1,2179,7,9.4,XUV500 W6 2WD,Mahindra
Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498,5,5.39,Vento 1.5 TDI Comfortline,Volkswagen
Kochi,2019,18592,Diesel,Manual,First,26.59,1248,5,8.51,Swift Dzire VDI Optional,Maruti
Pune,2010,75695,Petrol,Manual,First,13.7,1368,5,1.85,Manza Aura Safire BS IV,Tata
Kolkata,2012,82000,Diesel,Manual,Second,22.9,1248,5,2.5,Swift VDI,Maruti
Chennai,2013,60000,Diesel,Manual,First,22.07,1199,5,4.75,Polo Diesel Highline 1.2L,Volkswagen
Pune,2009,138000,Petrol,Manual,Second,17.0,1497,5,3.5,City 1.5 V MT,Honda
Bangalore,2014,67000,Diesel,Manual,First,23.0,1396,5,5.5,i20 Asta (o) 1.4 CRDi (Diesel),Hyundai
Coimbatore,2012,42750,Petrol,Manual,First,17.0,1497,5,6.33,City 1.5 V MT,Honda
Kochi,2014,52398,Diesel,Manual,First,25.44,936,5,2.47,Beat Diesel,Chevrolet
Kochi,2014,36657,Petrol,Manual,First,16.2,995,5,3.3,Spark 1.0 LS,Chevrolet
Delhi,2011,77000,Diesel,Manual,Second,11.57,2179,7,3.5,New Safari DICOR 2.2 EX 4x2,Tata
Delhi,2014,85000,Diesel,Automatic,First,11.3,2987,7,38.75,GL-Class 350 CDI Blue Efficiency,Mercedes-Benz
Pune,2008,112500,Diesel,Automatic,First,11.5,2993,5,7.99,5 Series 2003-2012 530d Highline,BMW
Kochi,2013,105072,Diesel,Manual,First,14.24,2755,7,13.28,Fortuner 2.8 4WD MT,Toyota
Pune,2012,80000,Petrol,Automatic,First,11.25,1995,5,9.5,X1 sDrive 18i,BMW
Kochi,2019,3102,Diesel,Manual,First,20.37,1461,5,14.01,Captur 1.5 Diesel Platine Mono,Renault
Coimbatore,2016,14656,Diesel,Manual,First,24.4,1120,5,6.99,Xcent 1.1 CRDi S,Hyundai
Hyderabad,2010,105000,Diesel,Automatic,Second,13.2,1995,5,11.0,3 Series 320d,BMW
Hyderabad,2008,61000,Petrol,Automatic,Second,10.8,2497,5,11.0,5 Series 2010-2013 525i,BMW
Pune,2010,85046,Petrol,Manual,Second,18.06,1198,5,2.3,Micra XE,Nissan
Delhi,2014,48000,Diesel,Automatic,First,16.36,2179,5,26.5,XF 2.2 Litre Luxury,Jaguar
Mumbai,2017,4000,Petrol,Automatic,First,16.0,1368,5,17.75,Compass 1.4 Limited Option,Jeep
Delhi,2010,94000,Petrol,Automatic,Second,10.1,2354,5,4.8,CR-V 2.4 AT,Honda
Coimbatore,2013,61110,Petrol,Manual,First,18.6,1197,5,4.57,Swift VXI,Maruti
Chennai,2016,80000,Diesel,Manual,First,24.4,1120,5,3.5,Xcent 1.1 CRDi S,Hyundai
Kochi,2015,43190,Diesel,Manual,First,19.01,1461,5,7.61,Terrano XV Premium 110 PS,Nissan
Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968,5,25.0,A4 35 TDI Technology,Audi
Coimbatore,2016,44178,Petrol,Manual,First,18.9,1197,5,5.88,Grand i10 Asta Option,Hyundai
Hyderabad,2015,84415,Diesel,Manual,First,12.99,2494,8,13.5,Innova 2.5 G (Diesel) 8 Seater,Toyota
Kolkata,2015,35000,Petrol,Manual,First,18.5,1197,5,4.6,i20 1.2 Magna,Hyundai
Kolkata,2013,44000,Diesel,Manual,First,22.77,1498,5,4.9,EcoSport 1.5 TDCi Titanium,Ford
Hyderabad,2012,67635,Petrol,Manual,First,17.0,1497,5,5.25,City 1.5 S MT,Honda
