Location,Fuel_Type,Transmission,Owner_Type,Consumation,Seats,Price,Brand,Model,car_age,power/horse
Chennai,Petrol,Manual,First,25.17,5,2.6,Renault,KWID RXT,10,6.670838548185232
Hyderabad,Petrol,Manual,First,19.0,5,2.45,Maruti,A-Star Vxi,17,6.623246492985971
Kochi,Petrol,Automatic,First,14.8,5,11.57,Mercedes-Benz,B Class B180,12,7.567398119122257
Kolkata,Petrol,Manual,First,18.9,5,2.3,Maruti,Wagon R LXI BS IV,14,6.723446893787574
Jaipur,Diesel,Manual,First,25.2,5,5.9,Maruti,Swift VDI BSIV,10,5.929487179487179
Mumbai,Petrol,Automatic,First,17.0,5,7.2,Hyundai,Verna VTVT 1.6 AT SX Option,11,7.6241357636706475
Ahmedabad,Diesel,Automatic,First,22.0,5,5.9,Hyundai,Verna CRDi 1.6 AT SX Option,13,7.977243994943111
Chennai,Petrol,Manual,Second,16.8,5,6.0,Honda,City V MT,12,7.768871075484301
Kolkata,Petrol,Manual,First,16.0,5,1.95,Hyundai,i10 Magna Optional 1.1L,16,6.141804788213628
Coimbatore,Diesel,Manual,First,23.59,5,6.55,Toyota,Etios GD SP,10,4.914956011730206
Hyderabad,Diesel,Automatic,First,27.03,5,25.0,Volvo,S60 D4 Momentum,11,9.649568308786186
Kolkata,Diesel,Manual,First,20.0,5,2.65,Ford,Figo Diesel EXI,14,4.8641887062187275
Mumbai,Diesel,Automatic,First,13.0,5,69.5,Mercedes-Benz,E-Class 2015-2017 E350 CDI Avantgrade,9,8.87177770338132
Chennai,Diesel,Automatic,First,22.69,5,14.0,BMW,3 Series 320d Luxury Line,14,9.523809523809524
Pune,Petrol,Manual,Second,22.74,5,2.1,Maruti,Alto 800 VXI,12,5.942211055276381
Hyderabad,Diesel,Manual,First,13.68,7,20.4,Toyota,Innova Crysta 2.4 VX MT,9,6.176347680735479
Hyderabad,Petrol,Manual,First,18.78,5,5.68,Volkswagen,Polo 1.0 MPI Trendline,7,7.5075075075075075
Mumbai,Petrol,Manual,First,13.24,5,5.55,Nissan,Terrano XL,12,6.414267834793493
Mumbai,Diesel,Manual,First,13.5,7,12.75,Mitsubishi,Pajero Sport 4X4,13,7.087605974969721
Mumbai,Petrol,Manual,Second,14.8,5,3.35,Honda,Civic 2010-2013 1.8 S MT,14,7.237354085603112
Kolkata,Petrol,Manual,First,22.74,5,1.55,Maruti,Alto 800 LXI,13,5.942211055276381
Coimbatore,Diesel,Manual,Second,20.54,5,5.9,Volkswagen,Vento Diesel Highline,13,6.483103879849812
Hyderabad,Diesel,Automatic,First,12.35,5,18.98,Land,Rover Freelander 2 HSE,14,8.615878843506195
Mumbai,Petrol,Manual,First,13.7,5,11.51,Honda,CR-V 2.0L 2WD MT,12,7.70455683525288
Mumbai,Diesel,Manual,First,20.77,7,7.75,Maruti,Ertiga VDI,10,7.112179487179487
Chennai,Diesel,Manual,First,12.99,7,13.9,Toyota,Innova 2.5 GX (Diesel) 7 Seater,10,4.033680834001604
Kolkata,Petrol,Manual,First,15.0,5,1.35,Tata,Manza Aura Safire,16,6.578947368421052
Mumbai,Diesel,Automatic,Second,12.07,7,38.0,Audi,Q7 35 TDI Quattro Premium Plus,11,8.136164475901584
Mumbai,Petrol,Automatic,First,17.1,5,11.6,Hyundai,Verna 1.6 SX VTVT (O) AT,9,7.630421118793213
Hyderabad,Diesel,Automatic,First,21.5,5,12.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,9,7.242990654205607
Jaipur,Petrol,Manual,First,17.0,5,3.8,Honda,City 1.5 S MT,15,7.882431529726119
Mumbai,Diesel,Manual,First,20.0,5,3.25,Ford,Figo Diesel Titanium,12,4.8641887062187275
Mumbai,Petrol,Manual,First,18.7,5,6.4,Honda,Jazz 1.2 VX i VTEC,10,7.397831526271894
Bangalore,Petrol,Manual,Second,16.47,5,3.95,Volkswagen,Polo Petrol Highline 1.2L,14,6.168614357262104
Delhi,Petrol,Manual,First,17.4,5,3.57,Honda,City i-VTEC S,16,7.83567134268537
Mumbai,Petrol,Manual,Second,17.7,5,1.25,Honda,City ZX GXi,21,5.210420841683367
Kolkata,Petrol,Automatic,Second,12.0,5,12.5,Honda,CR-V 2.4L 4WD AT AVN,13,7.960917587085811
Ahmedabad,Diesel,Automatic,Second,18.12,5,23.0,BMW,5 Series 2013-2017 520d Luxury Line,12,9.523809523809524
Coimbatore,Diesel,Manual,First,12.05,8,6.32,Mahindra,Scorpio VLX 2.2 mHawk BSIII,14,5.507113354749885
Kolkata,Diesel,Manual,First,20.54,5,3.4,Volkswagen,Vento Diesel Comfortline,14,6.483103879849812
Jaipur,Petrol,Manual,Second,17.3,5,0.77,Maruti,Zen VX,27,6.042296072507553
Jaipur,Petrol,Manual,First,16.1,4,0.9,Maruti,800 DX BSII,17,4.648241206030151
Delhi,Petrol,Automatic,First,14.28,5,18.0,Toyota,Corolla Altis 1.8 VL CVT,9,7.676863181312569
Pune,Petrol,Automatic,First,14.59,5,19.0,BMW,3 Series 328i Sport Line,13,12.268402603905859
Chennai,Petrol,Manual,Third,13.8,5,1.1,Ford,Ikon 1.3 Flair,19,5.388760585065435
Pune,Petrol,Manual,Second,18.6,5,2.0,Chevrolet,Beat LT,14,6.622185154295246
Ahmedabad,Diesel,Manual,First,21.43,5,6.5,Toyota,Corolla Altis 1.4 DG,14,6.362903225806452
Bangalore,Diesel,Manual,First,16.0,7,9.45,Mahindra,XUV500 W4,12,6.424965580541533
Mumbai,Diesel,Manual,First,24.4,5,4.0,Hyundai,Xcent 1.1 CRDi Base,10,6.3392857142857135
Kochi,Diesel,Automatic,First,13.0,5,32.25,Mercedes-Benz,E-Class 2015-2017 E250 CDI Avantgarde,9,9.519365375641623
Pune,Petrol,Manual,First,20.36,5,2.1,Hyundai,i10 Sportz,17,6.591478696741855
Mumbai,Petrol,Automatic,Second,14.28,5,9.75,Toyota,Corolla Altis VL AT,11,7.676863181312569
Kolkata,Petrol,Manual,First,14.53,5,6.3,Toyota,Corolla 1.8 J,12,7.675194660734149
Hyderabad,Diesel,Automatic,First,17.32,5,21.0,Audi,Q3 2.0 TDI Quattro,13,9.34959349593496
Mumbai,Diesel,Manual,First,21.9,5,4.65,Hyundai,i20 Magna Optional 1.4 CRDi,12,6.3610315186246424
Mumbai,Diesel,Automatic,Second,19.27,5,17.0,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,13,7.821745216985534
Pune,Diesel,Manual,First,21.1,5,4.35,Maruti,Ritz VDi,13,5.9214743589743595
Coimbatore,Diesel,Manual,First,19.67,5,14.82,Hyundai,Creta 1.6 SX Plus Diesel,9,7.977243994943111
Delhi,Diesel,Automatic,First,13.6,5,40.0,Jaguar,XE 2.0L Diesel Prestige,8,8.854427213606805
Chennai,Diesel,Manual,First,14.95,7,6.15,Mahindra,Xylo D4,10,3.7645640819606268
Ahmedabad,Diesel,Manual,First,12.99,7,11.25,Toyota,Innova 2.5 G (Diesel) 7 Seater,12,4.033680834001604
Pune,Petrol,Automatic,First,19.16,5,32.0,Toyota,Camry 2.5 Hybrid,8,6.323175621491579
Coimbatore,Diesel,Automatic,First,13.22,5,45.62,Audi,Q5 3.0 TDI Quattro,8,8.136164475901584
Kochi,Diesel,Manual,First,28.4,5,6.24,Maruti,Swift VDI,9,5.929487179487179
Chennai,Diesel,Manual,First,20.77,7,4.8,Maruti,Ertiga VDI Limited Edition,11,7.112179487179487
Chennai,Petrol,Manual,Second,16.1,5,4.5,Maruti,Swift VXi BSIV,12,7.101086048454469
Kochi,Petrol,Manual,First,20.36,5,3.87,Hyundai,i10 Sportz,11,6.591478696741855
Delhi,Petrol,Manual,First,20.36,5,2.75,Hyundai,i10 Sportz,13,6.591478696741855
Kochi,Petrol,Manual,First,21.4,5,6.57,Maruti,Baleno Sigma 1.2,8,6.942355889724311
Jaipur,Petrol,Manual,First,16.36,5,2.0,Hyundai,Accent Executive,16,6.2675585284280935
Ahmedabad,Petrol,Manual,First,19.4,5,3.65,Honda,Brio S MT,14,7.245409015025041
Hyderabad,Diesel,Manual,First,22.9,5,6.95,Maruti,Swift ZDi,10,5.929487179487179
Bangalore,Petrol,Manual,First,20.14,5,5.5,Hyundai,Xcent 1.2 VTVT S,12,6.838763575605681
Kolkata,Diesel,Manual,First,16.0,7,7.0,Mahindra,XUV500 W8 2WD,13,6.424965580541533
Delhi,Diesel,Automatic,First,13.0,5,24.0,Mercedes-Benz,E-Class E250 CDI Avantgrade,12,9.384041063929072
Bangalore,Diesel,Automatic,Second,0.0,5,11.0,Land,Rover Freelander 2 TD4 S,16,5.277650298301973
Bangalore,Diesel,Automatic,First,19.27,5,32.5,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,10,7.932804479701354
Kochi,Diesel,Manual,First,21.27,5,6.45,Hyundai,i20 Asta 1.4 CRDi,11,6.358166189111748
Mumbai,Diesel,Automatic,First,19.3,5,15.75,Skoda,Octavia Elegance 2.0 TDI AT,11,7.164634146341463
Mumbai,Petrol,Manual,First,17.0,5,5.5,Honda,City 1.5 S MT,12,7.882431529726119
Kochi,Diesel,Automatic,First,12.55,7,19.03,Toyota,Fortuner 4x2 AT,11,5.650570087189806
Kolkata,Diesel,Automatic,First,17.32,5,15.25,Audi,Q3 2.0 TDI Quattro,13,9.34959349593496
Hyderabad,Petrol,Manual,First,20.92,5,2.4,Maruti,Alto K10 2010-2014 VXI,14,6.723446893787574
Chennai,Diesel,Manual,First,23.03,5,2.3,Tata,Indigo eCS LX BSIV,15,4.9426934097421205
Kochi,Diesel,Automatic,First,17.11,5,14.35,Audi,A4 2.0 TDI 177 Bhp Premium Plus,12,8.858231707317074
Kochi,Petrol,Automatic,First,18.0,5,11.97,Honda,City i-VTEC CVT VX,8,7.83567134268537
Jaipur,Petrol,Manual,Second,0.0,5,1.6,Hyundai,Santro GLS I - Euro II,17,11.339028401698704
Ahmedabad,Diesel,Manual,First,14.24,7,18.9,Toyota,Fortuner 2.8 2WD MT,11,6.333938294010889
Ahmedabad,Petrol,Manual,First,18.9,5,5.4,Hyundai,Grand i10 Sportz,9,6.8504594820384295
Hyderabad,Petrol,Manual,First,15.1,7,2.95,Maruti,Eeco 7 Seater Standard,11,6.103678929765886
Bangalore,Petrol,Manual,First,16.47,5,5.1,Volkswagen,Polo Petrol Highline 1.2L,13,6.168614357262104
Jaipur,Petrol,Manual,First,18.9,5,1.5,Maruti,Wagon R LXI Minor,20,6.314797360980208
Bangalore,Petrol,Manual,First,17.0,5,4.9,Honda,City 1.5 V MT,15,7.882431529726119
Mumbai,Petrol,Manual,First,14.8,5,2.9,Honda,Civic 2010-2013 1.8 S MT,16,7.237354085603112
Pune,Petrol,Manual,First,13.0,5,1.15,Honda,City 1.5 EXI,21,6.697923643670463
Kolkata,Petrol,Manual,First,18.5,5,2.3,Hyundai,i20 1.2 Magna,16,6.683375104427736
Kochi,Diesel,Manual,First,24.0,5,5.99,Hyundai,Grand i10 CRDi Sportz Celebration Edition,8,6.25
Pune,Petrol,Automatic,Third,14.4,5,3.4,Volkswagen,Vento Petrol Highline AT,15,6.483103879849812
Kolkata,Petrol,Manual,First,20.36,5,1.7,Hyundai,i10 Sportz 1.2,17,6.591478696741855
Kolkata,Petrol,Manual,First,17.0,5,1.99,Hyundai,i20 Asta,17,6.683375104427736
Pune,Petrol,Manual,First,18.6,5,2.5,Chevrolet,Beat LS,14,6.622185154295246
Hyderabad,Diesel,Manual,First,22.07,5,4.85,Volkswagen,Polo Diesel Highline 1.2L,13,6.163469557964971
Hyderabad,Petrol,Manual,First,15.6,5,2.65,Ford,Figo Petrol LXI,16,5.852842809364549
Kochi,Petrol,Automatic,First,9.9,2,27.35,Audi,TT 2.0 TFSI,12,10.473790322580646
Jaipur,Diesel,Manual,Second,25.1,5,6.9,Honda,City i DTEC VX,11,6.582109479305741
Hyderabad,Diesel,Manual,First,20.0,5,3.5,Ford,Figo Diesel Titanium,13,4.8641887062187275
Delhi,Diesel,Manual,First,12.99,7,12.5,Toyota,Innova 2.5 ZX Diesel 7 Seater,11,4.033680834001604
Delhi,Petrol,Automatic,First,19.12,5,9.2,Maruti,Ciaz 1.4 AT Alpha,9,6.635105608157319
Mumbai,Petrol,Automatic,First,18.9,5,4.9,Hyundai,Grand i10 AT Asta,11,6.8504594820384295
Kochi,Petrol,Manual,First,18.88,5,5.55,Ford,EcoSport 1.0 Ecoboost Titanium Plus BE,12,12.336336336336336
Ahmedabad,Petrol,Automatic,First,14.7,5,13.5,Skoda,Octavia Ambition 1.8 TSI AT,12,9.877641824249165
Kolkata,Diesel,Manual,First,20.4,5,2.6,Fiat,Linea Emotion (Diesel),16,7.347756410256411
Jaipur,Petrol,Manual,First,16.1,5,4.5,Maruti,Swift Lxi BSIII,11,6.79506933744222
Delhi,Diesel,Automatic,Second,11.8,7,34.0,Land,Rover Discovery 4 TDV6 SE,13,6.0140327430671565
Hyderabad,Diesel,Manual,First,12.8,7,12.0,Toyota,Innova 2.5 V Diesel 7-seater,14,4.0898155573376105
Mumbai,Diesel,Manual,First,28.4,5,5.25,Maruti,Swift LDI,11,5.929487179487179
Kochi,Diesel,Automatic,First,17.68,5,21.56,Audi,A6 2011-2015 2.0 TDI Premium Plus,12,8.858231707317074
Coimbatore,Diesel,Automatic,First,22.48,5,24.68,BMW,5 Series 520d Luxury Line,14,9.523809523809524
Delhi,Petrol,Manual,First,18.5,5,3.67,Hyundai,i20 Magna Optional 1.2,13,6.925647451963242
Mumbai,Diesel,Automatic,First,17.05,5,29.5,BMW,X1 M Sport sDrive 20d,10,9.523809523809524
Delhi,Petrol,Manual,First,17.6,5,3.1,Toyota,Etios G,14,5.93114973262032
Ahmedabad,Diesel,Manual,First,17.0,5,2.9,Tata,Indigo LX,11,4.98220640569395
Bangalore,Diesel,Automatic,Second,0.0,5,43.0,Mercedes-Benz,M-Class ML 350 4Matic,12,5.523937060595915
Mumbai,Petrol,Automatic,First,10.98,4,15.95,Volkswagen,Beetle 2.0,17,5.766129032258065
Hyderabad,Diesel,Manual,First,19.7,5,4.5,Volkswagen,Polo GT TDI,15,6.483103879849812
Delhi,Diesel,Manual,First,24.0,5,3.49,Hyundai,Grand i10 CRDi Magna,12,6.25
Delhi,Diesel,Manual,First,25.2,5,4.25,Maruti,Swift VDI BSIV,12,5.929487179487179
Chennai,Diesel,Manual,Second,24.0,5,1.9,Hyundai,Verna CRDi 1.4 E,18,6.358166189111748
Mumbai,Diesel,Automatic,First,16.73,5,16.57,BMW,5 Series 2003-2012 525d,15,10.927318295739347
Bangalore,Petrol,Manual,First,17.0,5,5.75,Honda,City 1.5 S MT,14,7.882431529726119
Delhi,Diesel,Automatic,Second,16.55,5,14.0,Audi,A4 2.0 TDI,13,7.495426829268292
Jaipur,Diesel,Manual,Second,19.5,5,2.5,Fiat,Linea Classic Plus 1.3 Multijet,13,6.009615384615385
Ahmedabad,Petrol,Manual,First,13.0,5,1.2,Honda,City 1.3 EXI,24,6.701414743112435
Pune,Petrol,Manual,Second,15.5,5,0.85,Fiat,Petra 1.2 EL,21,9.120522844844608
Kochi,Diesel,Automatic,First,22.69,5,13.95,BMW,3 Series 320d Luxury Line,13,9.523809523809524
Chennai,Petrol,Manual,First,16.6,5,1.6,Ford,Fiesta 1.4 Duratec EXI,19,4.899135446685879
Coimbatore,Petrol,Automatic,First,21.9,4,3.6,Tata,Nano XTA,10,6.0064102564102555
Coimbatore,Petrol,Manual,First,20.89,5,6.06,Maruti,Ignis 1.2 Delta,7,6.83375104427736
Coimbatore,Petrol,Manual,Second,17.5,5,5.29,Maruti,Swift Dzire ZXi,13,6.610169491525424
Jaipur,Diesel,Manual,First,22.7,5,5.75,Ford,Ecosport 1.5 DV5 MT Titanium,12,5.9973297730307085
Coimbatore,Petrol,Manual,First,19.1,5,5.72,Maruti,Swift Dzire VXI,12,7.167919799498747
Kochi,Petrol,Automatic,First,16.95,5,4.39,Hyundai,i10 Sportz AT,12,6.591478696741855
Coimbatore,Diesel,Manual,First,15.1,7,11.05,Mahindra,XUV500 W6 2WD,10,6.424965580541533
Delhi,Diesel,Manual,Second,22.54,5,4.83,Hyundai,i20 Magna 1.4 CRDi,11,6.356017191977077
Chennai,Diesel,Manual,Second,21.27,5,4.5,Hyundai,i20 Asta 1.4 CRDi,14,6.358166189111748
Mumbai,Diesel,Automatic,Second,16.46,5,19.5,BMW,7 Series 730Ld,15,8.620113598396257
Mumbai,Petrol,Automatic,First,14.3,5,8.75,Skoda,Rapid 1.6 MPI AT Style Plus,9,6.478097622027534
Mumbai,Diesel,Automatic,First,14.75,7,67.0,Audi,Q7 45 TDI Quattro Technology,10,8.257499157398044
Kochi,Petrol,Manual,First,17.4,5,8.4,Honda,City i VTEC VX,10,7.83567134268537
Mumbai,Petrol,Manual,First,19.1,5,4.99,Hyundai,Xcent 1.2 Kappa SX,10,6.8504594820384295
Coimbatore,Diesel,Manual,First,26.0,5,8.18,Honda,City i DTec E,10,6.582109479305741
Pune,Petrol,Manual,First,18.4,5,2.9,Honda,Brio S Option MT,14,7.245409015025041
Jaipur,Diesel,Manual,First,28.09,5,7.1,Maruti,Ciaz ZDi Plus SHVS,11,7.091346153846153
Pune,Diesel,Manual,First,26.59,5,7.05,Maruti,Swift Dzire VDI Optional,10,5.929487179487179
Pune,Petrol,Automatic,First,11.1,5,17.5,Honda,CR-V 2.4L 4WD AT,11,6.7459643160577745
Mumbai,Petrol,Automatic,Second,14.53,5,3.41,Toyota,Corolla Altis 2008-2013 1.8 VL AT,18,7.697881828316611
Pune,Petrol,Manual,First,0.0,5,1.3,Maruti,Baleno Vxi,21,7.124332939180506
Coimbatore,Petrol,Manual,First,17.0,5,5.68,Honda,City 1.5 V MT,14,7.882431529726119
Bangalore,Diesel,Manual,First,12.05,9,4.1,Mahindra,Scorpio LX BS IV,19,5.507113354749885
Delhi,Petrol,Manual,First,13.4,5,4.0,Skoda,Laura 1.8 TSI Ambiente,15,8.776418242491658
Hyderabad,Diesel,Automatic,First,18.88,5,30.0,BMW,3 Series 320d Sport Line,11,9.223057644110275
Chennai,Petrol,Manual,First,15.0,5,1.8,Maruti,SX4 Zxi BSIII,19,6.600252206809584
Kochi,Petrol,Manual,First,20.73,5,6.93,Maruti,Ciaz VXi Plus,11,6.635105608157319
Bangalore,Diesel,Automatic,First,10.2,7,70.0,Land,Rover Range Rover 3.6 TDV8 Vogue SE Diesel,14,7.052896725440807
Ahmedabad,Diesel,Manual,First,12.99,7,7.9,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,13,4.0096230954290295
Kochi,Petrol,Manual,First,0.0,5,2.78,Hyundai,Santro Xing GL,15,5.70902394106814
Chennai,Diesel,Automatic,First,13.01,7,14.4,Hyundai,Santa Fe 4WD AT,12,8.835834470213735
Mumbai,Petrol,Automatic,Second,11.74,5,13.5,Mercedes-Benz,New C-Class C250 Avantgarde,15,10.356347438752785
Coimbatore,Petrol,Manual,First,19.7,5,2.88,Maruti,Alto LXi,14,5.816582914572864
Kolkata,Petrol,Manual,First,24.7,5,2.15,Maruti,Alto 800 2016-2019 LXI,10,5.942211055276381
Pune,Petrol,Manual,First,16.95,5,3.75,Nissan,Sunny 2011-2014 XV,13,6.522029372496663
Mumbai,Petrol,Manual,First,24.7,5,3.6,Maruti,Alto 800 2016-2019 VXI,7,5.942211055276381
Kolkata,Petrol,Manual,First,24.07,5,3.6,Maruti,Alto K10 VXI,8,6.723446893787574
Coimbatore,Petrol,Automatic,First,18.9,5,7.55,Hyundai,Grand i10 1.2 Kappa Sportz AT,8,6.838763575605681
Kolkata,Diesel,Manual,First,24.2,7,4.7,Honda,Mobilio S i DTEC,11,6.582109479305741
Jaipur,Diesel,Manual,Second,18.8,5,1.6,Tata,Manza Aqua Quadrajet,16,7.211538461538461
Pune,Diesel,Manual,First,16.52,5,3.34,Chevrolet,Optra Magnum 2.0 LT,15,6.212958312405827
Kochi,Petrol,Automatic,First,18.0,5,9.1,Honda,City i VTEC CVT VX,10,7.83567134268537
Kochi,Petrol,Manual,First,18.9,5,6.17,Hyundai,Grand i10 1.2 Kappa Sportz,7,6.838763575605681
Hyderabad,Diesel,Manual,First,22.0,5,2.5,Hyundai,Verna CRDi 1.6 SX,18,7.977243994943111
Kolkata,Petrol,Manual,First,18.44,5,3.0,Nissan,Micra XL,10,6.260434056761269
Jaipur,Diesel,Manual,First,22.32,5,5.75,Hyundai,Verna 1.6 SX,14,7.984829329962073
Bangalore,Petrol,Manual,First,15.29,5,10.75,Hyundai,Creta 1.6 VTVT E Plus,9,7.6241357636706475
Jaipur,Petrol,Manual,Second,20.51,5,2.85,Maruti,Wagon R VXI BS IV,13,6.717434869739479
Chennai,Petrol,Automatic,First,10.2,5,6.5,Honda,Accord 2.4 Elegance A/T,18,7.646559048428207
Bangalore,Petrol,Automatic,First,16.8,5,9.45,Honda,City 1.5 S AT,10,7.882431529726119
Delhi,Diesel,Manual,First,27.39,5,6.75,Maruti,Baleno Alpha 1.3,10,5.929487179487179
Coimbatore,Diesel,Manual,First,26.0,5,7.75,Honda,City i DTec V,9,6.582109479305741
Kochi,Diesel,Manual,First,22.54,5,4.4,Hyundai,i20 Era 1.4 CRDi,12,6.358166189111748
Jaipur,Diesel,Automatic,First,13.0,5,42.0,Mercedes-Benz,E-Class 2015-2017 E350 Edition E,11,8.87177770338132
Kochi,Diesel,Manual,First,19.01,5,5.67,Nissan,Terrano XV 110 PS,12,7.426420260095824
Bangalore,Diesel,Automatic,First,19.6,5,11.5,Renault,Duster 110PS Diesel RxZ AMT,10,7.42299794661191
Pune,Petrol,Manual,First,18.9,5,1.69,Maruti,Wagon R LXI Minor,17,6.723446893787574
Jaipur,Diesel,Manual,Second,17.1,5,1.8,Hyundai,Getz 1.5 CRDi GVS,17,7.367716008037509
Mumbai,Petrol,Manual,First,18.5,5,3.2,Maruti,Ritz LXi,10,7.167919799498747
Kochi,Diesel,Automatic,First,22.48,5,45.86,BMW,5 Series 520d Sport Line,7,9.410526315789475
Hyderabad,Petrol,Manual,First,16.47,5,5.1,Volkswagen,Polo 1.2 MPI Highline,10,6.176961602671119
Pune,Diesel,Manual,First,17.8,5,4.85,Maruti,Swift VDI BSIV,13,9.076674177321317
Mumbai,Petrol,Manual,Second,15.6,5,2.4,Ford,Figo Petrol ZXI,16,5.852842809364549
Hyderabad,Diesel,Automatic,First,18.88,5,22.0,BMW,3 Series 320d Luxury Line,13,9.223057644110275
Delhi,Diesel,Manual,First,22.32,5,4.28,Hyundai,Verna 1.6 SX CRDi (O),14,7.984829329962073
Coimbatore,Diesel,Manual,First,20.45,5,5.67,Renault,Duster 85PS Diesel RxL,11,5.7357973990417515
Bangalore,Petrol,Automatic,First,18.9,5,6.2,Hyundai,Grand i10 1.2 Kappa Magna AT,8,6.838763575605681
Bangalore,Diesel,Automatic,Second,17.05,5,14.49,BMW,X1 sDrive20d,13,9.223057644110275
Pune,Diesel,Manual,First,21.1,5,3.0,Maruti,Ritz VDi,16,5.9214743589743595
Jaipur,Petrol,Manual,Second,19.81,5,2.25,Hyundai,i10 Era 1.1 iTech SE,16,6.266114180478821
Kochi,Diesel,Automatic,First,15.97,7,43.78,BMW,X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,10,8.620113598396257
Kochi,Petrol,Manual,First,16.8,5,11.45,Honda,City V MT Exclusive,7,7.768871075484301
Delhi,Diesel,Automatic,First,11.18,7,10.5,Mahindra,Ssangyong Rexton RX7,12,6.824925816023739
Coimbatore,Diesel,Manual,First,22.7,5,7.48,Ford,Ecosport 1.5 DV5 MT Titanium Optional,11,5.9973297730307085
Coimbatore,Petrol,Manual,First,19.7,5,3.1,Maruti,Alto LXi,16,5.816582914572864
Mumbai,Petrol,Manual,First,16.47,5,2.55,Volkswagen,Polo 1.2 MPI Highline,15,6.176961602671119
Jaipur,Diesel,Manual,First,22.07,5,3.5,Volkswagen,Polo Diesel Comfortline 1.2L,13,6.163469557964971
Kolkata,Diesel,Manual,First,22.07,5,2.59,Volkswagen,Polo Diesel Highline 1.2L,14,6.163469557964971
Kolkata,Diesel,Manual,First,20.77,7,5.45,Maruti,Ertiga ZDI,13,7.115384615384615
Kolkata,Diesel,Manual,First,22.77,5,6.0,Ford,EcoSport 1.5 TDCi Ambiente,9,6.5814419225634175
Kolkata,Diesel,Automatic,First,11.36,7,15.49,Toyota,Innova Crysta 2.8 ZX AT,10,6.2250453720508165
Mumbai,Petrol,Automatic,Second,10.8,5,12.5,BMW,5 Series 523i Sedan,16,6.0072086503804565
Kolkata,Diesel,Manual,First,23.4,5,4.75,Maruti,Swift Dzire Tour LDI,9,5.929487179487179
Mumbai,Petrol,Manual,First,18.88,5,7.85,Ford,Ecosport 1.0 Ecoboost Platinum Edition,9,12.336336336336336
Ahmedabad,Diesel,Manual,First,16.8,5,6.0,Hyundai,Verna CRDi SX,13,7.367716008037509
Mumbai,Petrol,Manual,First,17.57,5,4.0,Tata,Zest Revotron 1.2T XM,10,7.435037720033528
Mumbai,Diesel,Automatic,First,14.4,5,28.75,Audi,A7 2011-2015 3.0 TDI Quattro,15,8.136164475901584
Pune,Diesel,Manual,First,22.3,5,2.5,Tata,Indica Vista Quadrajet VX,14,5.929487179487179
Delhi,Diesel,Manual,First,26.59,5,5.5,Maruti,Swift Dzire VDI,11,5.929487179487179
Kolkata,Petrol,Manual,First,16.0,5,1.59,Fiat,Linea Emotion,16,6.578947368421052
Mumbai,Petrol,Manual,First,18.6,5,6.22,Hyundai,i20 1.2 Spotz,9,6.836257309941521
Kolkata,Petrol,Manual,First,21.1,5,2.75,Hyundai,EON Era Plus,10,6.781326781326781
Chennai,Petrol,Manual,Second,0.0,5,1.35,Hyundai,Santro Xing XL,19,10.4306531982477
Pune,Diesel,Automatic,First,17.9,5,25.0,Mercedes-Benz,GLA Class 200 CDI SPORT,9,6.346243583761082
Delhi,Petrol,Manual,First,23.1,5,2.8,Maruti,Celerio VXI,12,6.717434869739479
Mumbai,Petrol,Manual,Second,17.8,5,2.45,Chevrolet,Beat LT,12,6.40533778148457
Pune,Petrol,Automatic,First,19.0,5,6.35,Honda,Jazz 1.2 V AT i VTEC Privilege,10,7.397831526271894
Mumbai,Diesel,Automatic,Third,16.07,5,8.0,BMW,3 Series 320d Highline,17,9.072681704260651
Bangalore,Diesel,Manual,First,19.01,5,8.25,Renault,Duster 110PS Diesel RxL,12,7.42299794661191
Mumbai,Petrol,Automatic,First,17.01,5,5.95,Ford,Figo 2015-2019 1.5P Titanium AT,9,7.364909939959974
Kochi,Diesel,Manual,First,13.68,7,19.92,Toyota,Innova Crysta 2.4 VX MT,8,6.176347680735479
Kochi,Diesel,Manual,First,25.44,5,3.15,Chevrolet,Beat Diesel LS,10,6.014957264957264
Chennai,Petrol,Automatic,First,17.21,4,5.75,Volkswagen,Polo GTI,12,10.511679644048943
Kochi,Diesel,Automatic,First,10.91,7,32.44,Ford,Endeavour 3.2 Trend AT 4X4,8,6.16635397123202
Kochi,Diesel,Automatic,Second,22.32,5,8.01,Hyundai,Verna 1.6 SX CRDI (O) AT,10,7.984829329962073
Coimbatore,Petrol,Manual,First,18.16,5,6.48,Ford,Figo 2015-2019 1.2P Titanium Opt MT,9,7.25752508361204
Jaipur,Petrol,Manual,First,16.1,4,0.75,Maruti,800 AC,19,4.648241206030151
Kolkata,Diesel,Manual,First,26.0,5,5.0,Honda,City i DTEC V,12,6.582109479305741
Mumbai,Diesel,Manual,First,16.0,7,7.75,Mahindra,XUV500 W8 2WD,14,6.424965580541533
Chennai,Diesel,Manual,First,20.0,5,2.6,Ford,Figo Diesel ZXI,16,4.8606147248034315
Pune,Petrol,Manual,First,17.0,5,9.2,Ford,EcoSport 1.5 Petrol Titanium,8,8.10688042752171
